Harrison Butker,KC,28.0,32.0,49.1,133.2
,high,29.1,32.8,51.6,147.9
,low,27.0,31.2,46.7,132.4
Wil Lutz,NO,27.0,30.8,46.5,127.6
,high,27.2,31.0,46.7,143.6
,low,26.8,30.7,46.3,126.8
Justin Tucker,BAL,25.7,29.2,45.6,122.6
,high,27.0,30.3,48.0,134.5
,low,24.4,28.2,43.2,124.2
Greg Zuerlein,DAL,26.1,31.5,42.3,120.6
,high,26.4,31.9,45.6,134.7
,low,25.8,31.2,39.0,116.5
Robbie Gould,SF,26.4,31.8,38.6,117.7
,high,26.4,31.9,39.0,126.8
,low,26.3,31.8,38.3,118.0
Jason Myers,SEA,25.5,30.9,40.4,116.8
,high,27.0,32.6,41.4,132.7
,low,24.0,29.2,39.4,113.4
Ka'imi Fairbairn,HOU,26.5,31.4,36.9,116.5
,high,28.4,33.0,38.9,134.9
,low,24.6,29.8,35.0,112.6
Matt Prater,DET,26.6,31.5,36.1,115.9
,high,27.5,32.3,37.9,121.8
,low,25.7,30.8,34.2,120.4
Dan Bailey,MIN,26.2,30.5,36.4,115.0
,high,27.2,31.1,37.2,130.5
,low,25.2,29.8,35.6,111.1
Mason Crosby,GB,24.9,29.1,39.8,114.5
,high,25.8,29.9,40.8,131.2
,low,24.1,28.4,38.8,111.1
Jake Elliott,PHI,26.2,31.5,35.9,114.5
,high,26.6,32.4,37.5,125.4
,low,25.8,30.6,34.4,114.9
Sam Sloman,TEN,26.0,31.7,35.7,113.8
,high,26.9,32.5,36.9,122.1
,low,25.2,30.9,34.6,115.1
Austin Seibert,CIN,26.2,31.1,35.1,113.6
,high,26.5,31.5,38.7,124.9
,low,25.8,30.8,31.6,116.1
Rodrigo Blankenship,IND,26.0,31.6,34.9,113.0
,high,26.5,32.1,37.8,119.4
,low,25.6,31.1,32.1,117.3
Chris Boswell,PIT,25.8,30.5,35.1,112.4
,high,26.3,31.0,38.0,118.7
,low,25.3,30.0,32.2,116.9
Stephen Gostkowski,TEN,24.5,29.5,38.1,111.7
,high,26.7,31.8,38.9,127.2
,low,22.4,27.2,37.2,106.0
Zane Gonzalez,ARI,25.1,31.1,35.9,111.3
,high,25.1,31.5,38.3,120.3
,low,25.1,30.8,33.6,113.7
Tyler Bass,BUF,26.6,32.1,31.1,110.8
,high,26.7,32.3,32.3,120.6
,low,26.5,31.8,29.9,112.3
Michael Badgley,LAC,24.6,29.5,36.1,109.9
,high,25.6,30.9,40.8,120.0
,low,23.7,28.1,31.4,108.1
Brandon McManus,DEN,26.4,31.7,30.1,109.3
,high,26.5,32.4,32.7,118.3
,low,26.3,31.0,27.5,111.6
Younghoe Koo,ATL,24.9,29.6,34.5,109.2
,high,27.0,32.3,35.2,116.1
,low,22.8,26.9,33.8,112.4
Nick Folk,NE,24.1,29.5,36.4,108.8
,high,24.3,29.8,38.8,120.6
,low,24.0,29.2,34.0,106.9
Josh Lambo,JAC,26.9,30.0,27.6,108.3
,high,27.2,30.2,29.3,125.4
,low,26.6,29.8,25.9,105.6
Ryan Succop,TB,24.0,31.7,36.2,108.3
,high,24.7,32.2,39.8,113.9
,low,23.3,31.2,32.7,112.4
Jason Sanders,MIA,25.3,30.6,31.9,107.7
,high,25.8,30.7,34.4,123.6
,low,24.8,30.5,29.5,103.8
Joey Slye,CAR,25.6,30.3,28.2,104.9
,high,26.0,31.0,30.9,117.2
,low,25.1,29.6,25.6,108.9
Graham Gano,NYG,24.4,29.2,31.1,104.2
,high,25.1,30.0,35.7,110.9
,low,23.7,28.5,26.5,105.9
Dustin Hopkins,WAS,24.7,29.5,29.3,103.3
,high,26.0,31.2,30.8,122.8
,low,23.3,27.8,27.8,97.8
Daniel Carlson,LV,23.4,30.7,32.7,102.7
,high,24.7,31.3,34.1,108.2
,low,22.0,30.1,31.2,104.8
