Harrison Butker,KC,26.7,32.8,43.7,123.7
,high,29.1,32.8,46.7,147.9
,low,24.2,32.8,40.6,113.3
Robbie Gould,SF,26.5,31.9,40.0,119.6
,high,26.7,31.9,41.8,126.8
,low,26.4,31.9,38.3,121.8
Wil Lutz,NO,25.1,30.7,44.4,119.5
,high,27.2,30.7,46.7,143.6
,low,22.9,30.7,42.0,110.8
Justin Tucker,BAL,24.4,28.2,43.8,116.9
,high,24.4,28.2,48.0,134.5
,low,24.4,28.2,39.5,112.8
Jason Myers,SEA,26.7,32.6,36.1,116.1
,high,27.0,32.6,39.4,132.7
,low,26.3,32.6,32.8,111.8
Greg Zuerlein,DAL,24.2,31.2,42.4,115.1
,high,26.4,31.2,45.6,134.7
,low,22.1,31.2,39.3,105.5
Stephen Gostkowski,TEN,24.8,31.8,39.2,113.7
,high,26.7,31.8,41.2,127.2
,low,23.0,31.8,37.2,110.1
Mason Crosby,GB,24.2,29.9,40.6,113.1
,high,25.8,29.9,40.8,131.2
,low,22.6,29.9,40.5,108.2
Jake Elliott,PHI,26.8,32.4,32.6,112.9
,high,27.0,32.4,34.4,125.4
,low,26.6,32.4,30.7,111.7
Austin Seibert,CIN,25.9,31.5,33.3,110.9
,high,26.5,31.5,35.1,124.9
,low,25.2,31.5,31.6,110.7
Jason Sanders,MIA,26.1,30.7,32.4,110.7
,high,26.5,30.7,34.4,123.6
,low,25.8,30.7,30.3,109.7
Nick Folk,NE,24.0,29.2,38.8,110.7
,high,24.0,29.2,38.8,120.6
,low,24.0,29.2,38.8,120.6
Dan Bailey,MIN,25.0,31.1,35.7,110.7
,high,27.2,31.1,37.2,130.5
,low,22.8,31.1,34.1,102.5
Daniel Carlson,LV,23.8,30.1,36.5,107.9
,high,25.6,30.1,41.9,118.7
,low,22.0,30.1,31.2,104.8
Ka'imi Fairbairn,HOU,25.2,33.0,32.2,107.9
,high,28.4,33.0,35.0,134.9
,low,22.1,33.0,29.3,95.5
Randy Bullock,CIN,26.6,28.4,27.7,107.6
,high,29.9,28.4,30.5,114.7
,low,23.3,28.4,24.9,109.5
Michael Badgley,LAC,24.3,28.1,34.7,107.5
,high,24.9,28.1,40.8,120.0
,low,23.7,28.1,28.6,103.2
Matt Prater,DET,24.6,30.8,33.6,107.3
,high,25.7,30.8,34.2,121.8
,low,23.4,30.8,33.0,103.3
Brandon McManus,DEN,25.1,32.4,31.7,107.0
,high,26.5,32.4,35.9,118.3
,low,23.7,32.4,27.5,107.0
Chris Boswell,PIT,25.1,30.0,31.6,106.9
,high,25.3,30.0,32.2,118.7
,low,25.0,30.0,30.9,105.8
Josh Lambo,JAC,24.9,30.2,31.5,106.1
,high,27.2,30.2,33.8,125.4
,low,22.5,30.2,29.3,101.3
Rodrigo Blankenship,IND,24.2,31.1,33.1,105.7
,high,25.6,31.1,34.1,119.4
,low,22.8,31.1,32.1,102.6
Younghoe Koo,ATL,23.3,26.9,35.7,105.5
,high,23.8,26.9,37.5,112.4
,low,22.8,26.9,33.8,108.7
Zane Gonzalez,ARI,23.7,31.5,32.8,103.8
,high,25.1,31.5,33.6,120.3
,low,22.3,31.5,32.0,98.9
Sam Sloman,TEN,23.7,30.9,32.3,103.6
,high,25.2,30.9,36.9,122.1
,low,22.3,30.9,27.8,94.6
Joey Slye,CAR,24.5,29.6,29.2,102.8
,high,25.1,29.6,32.8,117.2
,low,24.0,29.6,25.6,104.6
Tyler Bass,BUF,24.2,31.8,29.5,102.0
,high,26.5,31.8,29.9,120.6
,low,21.9,31.8,29.2,94.8
Ryan Succop,TB,23.7,32.2,30.4,101.4
,high,24.0,32.2,32.7,112.4
,low,23.3,32.2,28.2,100.2
Dustin Hopkins,WAS,24.1,31.2,28.0,100.3
,high,26.0,31.2,30.8,122.8
,low,22.3,31.2,25.1,91.9
Sam Ficken,NYJ,23.6,30.9,29.2,99.9
,high,23.9,30.9,33.7,105.4
,low,23.3,30.9,24.6,103.7
Graham Gano,NYG,22.6,28.5,31.4,99.2
,high,23.7,28.5,36.2,105.9
,low,21.6,28.5,26.5,100.9
Eddy Pineiro,CHI,20.6,24.6,25.4,87.3
,high,20.6,24.6,25.4,95.1
,low,20.6,24.6,25.4,95.1
Cairo Santos,CHI,4.0,5.7,7.5,19.4
,high,4.0,5.7,7.5,20.6
,low,4.0,5.7,7.5,20.6
