Lamar Jackson,BAL,467.4,298.6,"3,482.9",29.7,11.9,151.7,927.5,5.0,4.2,349.1
,high,468.0,300.0,"3,527.0",34.0,9.9,156.5,950.0,6.1,3.0,368.1
,low,466.8,297.2,"3,438.7",25.5,14.0,147.0,905.1,4.0,5.3,336.1
Patrick Mahomes II,KC,556.7,362.6,"4,491.0",34.1,9.8,63.5,329.0,3.9,3.0,346.8
,high,560.0,364.0,"4,529.0",34.1,9.5,65.0,375.0,4.0,2.0,358.7
,low,553.4,361.2,"4,453.0",34.0,10.0,62.0,283.0,3.8,3.9,338.9
Deshaun Watson,HOU,515.8,341.4,"4,046.5",25.9,13.8,90.3,519.6,5.1,3.7,312.7
,high,516.0,346.0,"4,075.0",27.7,11.6,93.0,520.0,6.0,3.0,316.4
,low,515.7,336.7,"4,017.9",24.0,16.0,87.7,519.2,4.1,4.4,315.0
Dak Prescott,DAL,564.3,368.2,"4,513.6",27.8,12.4,57.1,270.6,4.4,3.9,312.7
,high,579.0,382.0,"4,698.0",29.0,10.9,65.0,294.0,5.0,3.7,335.3
,low,549.5,354.5,"4,329.3",26.7,14.0,49.3,247.2,3.8,4.0,298.0
Russell Wilson,SEA,473.9,309.3,"3,824.9",28.7,8.8,72.7,382.4,2.0,2.9,294.6
,high,479.0,321.0,"3,962.0",29.4,8.6,73.5,397.8,2.0,2.0,301.2
,low,468.7,297.7,"3,687.8",28.0,9.0,72.0,367.0,2.0,3.8,292.1
Kyler Murray,ARI,552.1,357.1,"3,823.6",25.7,13.6,86.0,513.1,3.3,2.7,294.3
,high,560.0,365.0,"3,831.2",26.3,12.2,87.0,555.0,3.7,2.0,296.5
,low,544.1,349.3,"3,816.0",25.0,15.0,85.0,471.2,3.0,3.4,296.1
Josh Allen,BUF,511.0,299.6,"3,490.9",21.2,14.0,101.6,625.6,6.8,4.7,290.5
,high,542.0,310.0,"3,568.0",23.0,10.9,106.0,699.0,8.0,4.0,318.6
,low,480.0,289.3,"3,413.7",19.5,17.0,97.3,552.2,5.6,5.4,270.3
Tom Brady,TB,559.3,349.7,"4,465.0",29.9,11.2,24.3,32.3,1.8,2.1,285.7
,high,575.7,362.4,"4,517.0",30.8,9.4,24.5,37.0,2.0,1.0,287.0
,low,543.0,337.0,"4,413.0",29.0,13.0,24.0,27.6,1.6,3.1,286.4
Matt Ryan,ATL,620.6,410.7,"4,654.5",28.1,14.7,33.0,125.9,1.5,4.6,281.5
,high,642.0,432.0,"4,794.0",28.2,12.4,34.0,127.0,2.0,4.3,294.5
,low,599.1,389.4,"4,515.1",28.0,17.0,32.1,124.8,1.0,5.0,278.6
Drew Brees,NO,518.5,365.8,"3,928.6",29.9,9.5,20.9,21.6,1.6,1.8,266.2
,high,520.0,367.0,"4,021.2",30.0,9.0,22.0,32.0,2.0,1.0,268.6
,low,517.0,364.5,"3,836.0",29.9,10.0,19.9,11.2,1.3,2.6,265.8
Aaron Rodgers,GB,546.8,342.8,"3,933.5",25.2,7.3,47.4,219.9,1.1,3.7,264.9
,high,559.0,349.0,"3,979.0",25.4,6.0,52.0,234.0,1.2,3.4,276.6
,low,534.6,336.7,"3,888.0",25.0,8.6,42.7,205.8,1.0,4.0,261.3
Carson Wentz,PHI,563.4,365.9,"3,981.1",27.4,10.1,53.7,200.0,1.4,6.1,264.4
,high,598.0,392.0,"4,157.0",28.0,9.1,54.3,213.1,1.7,5.3,281.0
,low,528.7,339.8,"3,805.3",26.7,11.0,53.0,187.0,1.0,7.0,261.8
