Lamar Jackson,BAL,468.0,300.0,"3,582.6",30.0,12.9,147.0,"1,013.1",5.0,2.4,363.8
,high,468.0,300.0,"3,638.1",34.0,11.9,147.0,"1,076.2",5.9,1.9,368.1
,low,468.0,300.0,"3,527.0",26.1,14.0,147.0,950.0,4.0,3.0,366.2
Patrick Mahomes II,KC,560.0,364.0,"4,572.7",33.1,11.5,65.0,391.7,3.6,1.2,350.4
,high,560.0,364.0,"4,616.3",34.0,10.0,65.0,408.4,4.0,0.4,358.7
,low,560.0,364.0,"4,529.0",32.3,13.1,65.0,375.0,3.1,2.0,348.3
Deshaun Watson,HOU,516.0,346.0,"4,064.2",25.3,13.0,93.0,526.2,4.9,1.8,316.2
,high,516.0,346.0,"4,075.0",26.6,10.0,93.0,532.4,6.0,0.5,327.2
,low,516.0,346.0,"4,053.3",24.0,16.0,93.0,520.0,3.8,3.0,315.0
Dak Prescott,DAL,579.0,382.0,"4,583.5",29.2,13.5,65.0,243.4,3.6,2.3,314.4
,high,579.0,382.0,"4,698.0",29.4,13.0,65.0,294.0,5.0,0.6,335.3
,low,579.0,382.0,"4,468.9",29.0,14.0,65.0,192.8,2.2,4.0,304.4
Russell Wilson,SEA,479.0,321.0,"3,924.4",28.4,8.5,72.0,382.1,2.2,1.6,302.2
,high,479.0,321.0,"3,962.0",28.9,8.0,72.0,397.3,2.5,1.2,309.1
,low,479.0,321.0,"3,886.9",28.0,9.0,72.0,367.0,2.0,2.0,301.2
Josh Allen,BUF,542.0,310.0,"3,522.6",21.2,14.8,106.0,677.0,6.3,2.9,295.9
,high,542.0,310.0,"3,568.0",23.0,12.6,106.0,699.0,8.0,1.7,318.6
,low,542.0,310.0,"3,477.2",19.3,17.0,106.0,655.0,4.7,4.0,285.6
Matt Ryan,ATL,642.0,432.0,"4,733.0",28.5,14.9,34.0,139.0,1.8,3.2,292.0
,high,642.0,432.0,"4,794.0",29.0,12.8,34.0,150.9,2.0,1.4,305.6
,low,642.0,432.0,"4,672.0",28.0,17.0,34.0,127.0,1.7,5.0,294.5
Kyler Murray,ARI,560.0,365.0,"3,833.2",24.4,13.6,85.0,500.5,3.3,1.9,289.8
,high,560.0,365.0,"3,850.5",25.0,12.3,85.0,555.0,3.6,1.7,296.1
,low,560.0,365.0,"3,816.0",23.9,15.0,85.0,446.0,3.0,2.0,291.9
Aaron Rodgers,GB,559.0,349.0,"4,061.9",27.0,7.5,52.0,189.4,1.3,2.4,277.4
,high,559.0,349.0,"4,144.7",29.0,6.0,52.0,234.0,1.6,0.8,292.5
,low,559.0,349.0,"3,979.0",25.0,9.0,52.0,144.8,1.0,4.0,276.6
Tom Brady,TB,543.0,337.0,"4,393.4",28.4,11.8,24.0,30.1,1.6,0.9,276.6
,high,543.0,337.0,"4,517.0",29.0,10.6,24.0,37.0,2.0,0.7,286.4
,low,543.0,337.0,"4,269.8",27.9,13.0,24.0,23.2,1.1,1.0,269.8
Drew Brees,NO,517.0,367.0,"4,193.1",29.3,10.4,22.0,18.6,1.3,0.7,272.7
,high,517.0,367.0,"4,550.1",30.0,10.0,22.0,32.0,2.0,0.4,279.9
,low,517.0,367.0,"3,836.0",28.6,10.7,22.0,5.1,0.7,1.0,268.6
Carson Wentz,PHI,598.0,392.0,"4,069.0",27.1,11.9,53.0,197.1,1.4,4.2,266.9
,high,598.0,392.0,"4,157.0",28.0,11.0,53.0,207.1,1.8,1.4,281.0
,low,598.0,392.0,"3,980.9",26.2,12.7,53.0,187.0,1.0,7.0,272.3
Cam Newton,NE,522.0,311.0,"3,634.0",22.5,13.3,124.0,404.8,3.3,1.4,265.8
,high,522.0,311.0,"3,919.0",23.9,12.0,124.0,499.0,4.0,0.9,271.8
,low,522.0,311.0,"3,349.0",21.0,14.6,124.0,310.7,2.5,2.0,267.9
