Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass TDs,Ints Thrown,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Blaine Gabbert,TB,,,457.3,2.4,2.3,,15.8,0.2,0.1,27.0
Baker Mayfield,CLE,,,"4,054.2",26.9,14.8,,193.8,1.7,0.8,272.7
Kyler Murray,ARI,,,"3,850.5",23.9,12.3,,446.0,3.6,1.7,291.9
Mason Rudolph,PIT,,,527.9,2.0,3.0,,9.0,0.3,0.3,26.3
Jared Goff,LAR,,,"4,236.3",27.5,14.7,,108.5,1.3,1.2,267.9
Gardner Minshew II,JAC,,,"3,931.7",25.7,14.1,,453.0,2.3,2.9,288.7
Teddy Bridgewater,CAR,,,"3,911.3",26.1,11.5,,172.9,1.5,1.0,264.0
Nick Foles,CHI,,,,,,,,,,
Deshaun Watson,HOU,,,"4,053.3",26.6,10.0,,532.4,3.8,0.5,327.2
Jalen Hurts,PHI,,,740.6,4.0,3.2,,90.3,0.8,0.3,54.1
AJ McCarron,HOU,,,378.1,1.8,1.5,,15.4,0.2,0.2,22.4
Ryan Finley,CIN,,,,,,,,0.0,,
Jeff Driskel,DEN,,,425.4,1.9,1.8,,29.4,0.4,0.1,27.0
Cam Newton,NE,,,"3,919.0",23.9,14.6,,310.7,2.5,0.9,271.8
Tua Tagovailoa,MIA,,,"2,562.9",15.4,11.2,,239.8,1.8,0.8,176.9
Lamar Jackson,BAL,,,"3,638.1",26.1,11.9,,"1,076.2",5.9,1.9,366.2
Tom Brady,TB,,,"4,269.8",27.9,10.6,,23.2,1.1,0.7,269.8
Geno Smith,SEA,,,319.4,1.5,1.4,,26.9,0.2,0.2,20.5
Dak Prescott,DAL,,,"4,468.9",29.4,13.0,,192.8,2.2,0.6,304.4
Kirk Cousins,MIN,,,"3,924.8",27.0,11.5,,23.2,0.7,0.7,252.5
Mitchell Trubisky,CHI,,,"3,993.3",24.3,13.7,,438.5,2.5,0.8,292.8
Jarrett Stidham,NE,,,,,,,,,,
Sean Mannion,MIN,,,310.9,1.5,1.9,,13.2,0.3,0.3,18.0
Marcus Mariota,LV,,,,,,,,0.0,0.0,
Daniel Jones,NYG,,,"3,916.1",25.7,18.7,,289.4,2.7,1.9,266.8
Matthew Stafford,DET,,,"4,197.1",26.7,11.1,,85.6,1.1,1.2,266.1
Chad Henne,KC,,,,,,,,,,
Kyle Allen,WAS,,,449.8,1.4,2.2,,0.7,0.2,0.2,21.1
Jimmy Garoppolo,SF,,,"4,033.4",27.3,13.7,,127.5,1.5,1.5,266.0
Aaron Rodgers,GB,,,"4,144.7",29.0,9.0,,144.8,1.6,0.8,292.5
Logan Woodside,TEN,,,476.7,2.1,2.4,,12.5,0.2,0.2,26.1
Robert Griffin III,BAL,,,,,,,,,,
John Wolford,LAR,,,526.1,2.3,2.4,,107.9,0.8,0.3,41.4
Matt Barkley,BUF,,,,,,,,,,
Sam Darnold,NYJ,,,"3,793.7",23.2,14.7,,169.3,1.5,1.3,242.0
Colt McCoy,NYG,,,,,,,,0.0,,
Phillip Walker,CAR,,,540.0,2.2,2.8,,118.5,0.7,0.3,41.6
Ryan Tannehill,TEN,,,"3,724.6",25.8,11.2,,283.4,2.6,1.6,273.2
Nick Mullens,SF,,,,,,,,0.0,,
Drew Lock,DEN,,,"3,757.3",23.7,13.5,,228.8,1.8,1.9,250.0
Chase Daniel,DET,,,441.9,2.0,1.7,,12.6,0.1,0.1,24.7
Carson Wentz,PHI,,,"3,980.9",26.2,12.7,,207.1,1.8,1.4,272.3
Matt Ryan,ATL,,,"4,672.0",29.0,12.8,,150.9,1.7,1.4,305.6
Joe Burrow,CIN,,,"3,733.7",22.3,16.1,,379.9,2.9,1.2,262.5
Derek Carr,LV,,,"4,406.8",29.1,12.0,,85.9,1.1,1.5,281.6
Philip Rivers,IND,,,"4,087.5",26.1,11.5,,0.0,0.4,0.4,252.8
Jacoby Brissett,IND,,,446.4,2.0,1.4,,19.0,0.4,0.2,27.6
Ryan Fitzpatrick,MIA,,,"1,722.8",10.1,6.3,,128.0,1.2,0.4,117.9
Josh Allen,BUF,,,"3,477.2",19.3,12.6,,655.0,4.7,1.7,285.6
Justin Herbert,LAC,,,"1,908.0",10.5,8.5,,324.4,1.6,0.7,143.6
Tyrod Taylor,LAC,,,"1,822.7",10.4,5.4,,265.3,1.7,0.3,141.5
Ben Roethlisberger,PIT,,,"3,888.2",24.2,11.8,,63.3,1.1,0.6,245.9
Patrick Mahomes II,KC,,,"4,616.3",32.3,13.1,,408.4,3.1,0.4,348.3
Taysom Hill,NO,,,30.1,0.2,0.3,,324.9,1.0,0.4,39.3
Jameis Winston,NO,,,591.4,4.0,2.2,,30.4,0.4,0.2,41.4
Drew Brees,NO,,,"4,550.1",28.6,10.7,,5.1,0.7,0.4,279.9
Russell Wilson,SEA,,,"3,886.9",28.9,8.0,,397.3,2.5,1.2,309.1
Dwayne Haskins,WAS,,,"3,161.4",18.2,14.5,,162.5,1.7,0.9,197.5
Andy Dalton,DAL,,,468.9,2.4,1.8,,10.4,0.2,0.1,27.6
Case Keenum,CLE,,,,,,,,,,
