Lamar Jackson,BAL,501.1,325.9,"3,599.8",27.4,11.2,170.2,966.9,6.7,1.9,364.2
,high,501.1,325.9,"3,638.1",28.7,10.5,170.2,"1,076.2",7.4,1.9,366.2
,low,501.1,325.9,"3,561.5",26.1,11.9,170.2,857.7,5.9,1.9,359.2
Patrick Mahomes II,KC,593.6,387.0,"4,655.4",35.1,12.4,46.9,302.8,2.6,0.4,346.9
,high,593.6,387.0,"4,694.4",38.0,11.7,46.9,408.4,3.1,0.4,348.3
,low,593.6,387.0,"4,616.3",32.3,13.1,46.9,197.2,2.1,0.4,344.9
Deshaun Watson,HOU,549.9,361.3,"4,084.3",27.4,11.4,95.8,481.5,4.0,0.5,321.5
,high,549.9,361.3,"4,115.3",28.2,10.0,95.8,532.4,4.3,0.5,327.2
,low,549.9,361.3,"4,053.3",26.6,12.8,95.8,430.7,3.8,0.5,315.3
Dak Prescott,DAL,570.3,369.5,"4,484.7",29.7,11.7,57.2,223.6,2.9,0.6,313.8
,high,570.3,369.5,"4,500.6",30.1,10.4,57.2,254.4,3.7,0.6,322.7
,low,570.3,369.5,"4,468.9",29.4,13.0,57.2,192.8,2.2,0.6,304.4
Russell Wilson,SEA,526.3,344.3,"3,951.6",30.1,8.4,70.4,383.8,2.2,1.2,311.1
,high,526.3,344.3,"4,016.3",31.3,8.0,70.4,397.3,2.5,1.2,313.8
,low,526.3,344.3,"3,886.9",28.9,8.7,70.4,370.3,2.0,1.2,309.1
Matt Ryan,ATL,614.8,403.8,"4,693.4",28.1,12.0,34.4,139.0,1.3,1.4,295.0
,high,614.8,403.8,"4,714.9",29.0,11.2,34.4,150.9,1.7,1.4,305.6
,low,614.8,403.8,"4,672.0",27.2,12.8,34.4,127.2,0.9,1.4,287.6
Kyler Murray,ARI,552.4,359.2,"4,017.6",24.2,11.7,80.4,418.1,3.3,1.7,292.6
,high,552.4,359.2,"4,184.8",24.6,11.1,80.4,446.0,3.6,1.7,298.5
,low,552.4,359.2,"3,850.5",23.9,12.3,80.4,390.1,3.1,1.7,291.9
Josh Allen,BUF,518.5,311.3,"3,477.0",20.2,12.5,135.3,632.9,6.1,1.7,291.2
,high,518.5,311.3,"3,477.2",21.1,12.3,135.3,655.0,7.5,1.7,293.3
,low,518.5,311.3,"3,476.8",19.3,12.6,135.3,610.8,4.7,1.7,285.6
Aaron Rodgers,GB,564.9,358.6,"4,153.1",28.6,10.5,38.5,163.1,1.4,0.8,282.5
,high,564.9,358.6,"4,161.5",29.0,9.0,38.5,181.3,1.6,0.8,292.5
,low,564.9,358.6,"4,144.7",28.1,11.9,38.5,144.8,1.3,0.8,278.8
Drew Brees,NO,581.9,410.0,"4,460.9",30.0,11.0,21.2,31.7,0.6,0.4,282.3
