Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Corey Clement,PHI,41.0,177.0,1.0,10.0,87.0,0.0,1.0,32.4
Raheem Mostert,SF,153.0,893.0,8.0,14.0,131.0,1.0,2.0,156.4
Darrynton Evans,TEN,78.0,353.0,2.0,24.0,250.0,1.0,2.0,78.3
Phillip Lindsay,DEN,159.0,708.0,5.0,45.0,298.0,1.0,2.0,136.6
Ryan Nall,CHI,,,,,,,,
T.J. Yeldon,BUF,,,,,,,,
Rico Dowdle,DAL,32.0,145.0,1.0,4.0,42.0,0.0,0.0,24.7
LeSean McCoy,TB,30.0,103.0,1.0,2.0,17.0,0.0,0.0,18.0
Royce Freeman,DEN,38.0,136.0,1.0,22.0,136.0,0.0,1.0,33.2
Kyle Juszczyk,SF,9.0,30.0,0.0,32.0,353.0,2.0,1.0,50.3
Jeff Wilson Jr.,SF,35.0,142.0,2.0,1.0,11.0,0.0,0.0,27.3
Malcolm Perry,MIA,25.0,97.0,1.0,4.0,37.0,0.0,0.0,19.4
Benny Snell Jr.,PIT,131.0,498.0,3.0,2.0,18.0,0.0,1.0,69.6
Mark Ingram II,BAL,169.0,900.0,6.0,22.0,197.0,3.0,2.0,163.7
James Conner,PIT,223.0,916.0,7.0,38.0,314.0,2.0,3.0,177.0
Dalvin Cook,MIN,274.0,"1,211.0",11.0,53.0,480.0,1.0,3.0,241.1
Brian Hill,ATL,,,,,,,,
Kenyan Drake,ARI,166.0,714.0,8.0,60.0,455.0,3.0,2.0,182.9
Alexander Mattison,MIN,155.0,695.0,3.0,5.0,43.0,0.0,2.0,91.8
Chandler Cox,MIA,14.0,53.0,0.0,11.0,84.0,1.0,0.0,19.7
Rex Burkhead,NE,63.0,221.0,2.0,21.0,200.0,0.0,1.0,54.1
Ezekiel Elliott,DAL,286.0,"1,299.0",9.0,72.0,584.0,3.0,4.0,260.3
Damien Harris,NE,115.0,425.0,4.0,6.0,55.0,0.0,2.0,72.0
Justin Jackson,LAC,74.0,346.0,1.0,13.0,94.0,0.0,1.0,50.0
Duke Johnson Jr.,HOU,106.0,553.0,2.0,32.0,281.0,2.0,1.0,107.4
Frank Gore,NYJ,119.0,362.0,2.0,13.0,111.0,0.0,1.0,59.3
Devin Singletary,BUF,148.0,798.0,3.0,39.0,298.0,2.0,2.0,139.6
Matt Breida,MIA,149.0,662.0,3.0,40.0,306.0,2.0,2.0,126.8
Travis Homer,SEA,,,,,,,,
D'Andre Swift,DET,142.0,602.0,4.0,34.0,398.0,2.0,3.0,136.0
J.D. McKissic,WAS,68.0,336.0,1.0,23.0,130.0,1.0,1.0,58.6
Jonathan Taylor,IND,196.0,891.0,6.0,19.0,208.0,1.0,3.0,151.9
Jaylen Samuels,PIT,,,,,,,,
Melvin Gordon III,DEN,163.0,658.0,7.0,48.0,398.0,2.0,2.0,159.6
Justice Hill,BAL,56.0,213.0,2.0,9.0,73.0,0.0,1.0,40.6
Ty Montgomery,NO,21.0,87.0,1.0,9.0,71.0,0.0,0.0,21.8
Qadree Ollison,ATL,25.0,71.0,2.0,1.0,10.0,0.0,0.0,20.1
Jamaal Williams,GB,74.0,274.0,1.0,25.0,175.0,2.0,1.0,62.9
Darwin Thompson,KC,52.0,185.0,1.0,11.0,51.0,0.0,1.0,29.6
Aaron Jones,GB,193.0,815.0,11.0,38.0,331.0,2.0,2.0,192.6
Darrell Henderson,LAR,141.0,499.0,3.0,18.0,173.0,1.0,2.0,91.2
Carlos Hyde,SEA,90.0,358.0,2.0,5.0,21.0,0.0,1.0,49.9
J.J. Taylor,NE,39.0,145.0,1.0,3.0,34.0,0.0,0.0,23.9
Antonio Gibson,WAS,152.0,638.0,4.0,45.0,382.0,2.0,3.0,138.0
Saquon Barkley,NYG,270.0,"1,236.0",10.0,79.0,629.0,3.0,3.0,264.5
Wayne Gallman,NYG,25.0,85.0,1.0,4.0,31.0,0.0,0.0,17.6
Alex Armah,CAR,14.0,26.0,2.0,4.0,15.0,0.0,0.0,16.1
Tarik Cohen,CHI,103.0,362.0,2.0,75.0,602.0,4.0,2.0,132.4
Jordan Howard,PHI,181.0,696.0,7.0,20.0,147.0,1.0,2.0,132.3
Gus Edwards,BAL,86.0,471.0,2.0,5.0,34.0,0.0,1.0,62.5
Darrel Williams,KC,103.0,330.0,6.0,12.0,127.0,1.0,2.0,87.7
Cam Akers,LAR,183.0,699.0,7.0,34.0,338.0,1.0,3.0,151.7
Ito Smith,ATL,101.0,354.0,5.0,32.0,198.0,0.0,1.0,85.2
Jalen Richard,LV,93.0,409.0,2.0,37.0,342.0,0.0,3.0,87.1
Boston Scott,PHI,85.0,335.0,5.0,36.0,314.0,0.0,2.0,94.9
Sony Michel,NE,177.0,648.0,5.0,7.0,52.0,0.0,2.0,100.0
Miles Sanders,PHI,207.0,936.0,4.0,58.0,593.0,3.0,3.0,194.9
Tevin Coleman,SF,169.0,754.0,5.0,10.0,90.0,1.0,2.0,120.4
Clyde Edwards-Helaire,KC,182.0,810.0,10.0,49.0,572.0,4.0,3.0,222.2
Peyton Barber,WAS,67.0,239.0,2.0,7.0,31.0,0.0,1.0,39.0
Todd Gurley II,ATL,193.0,753.0,7.0,47.0,350.0,3.0,2.0,170.3
Kareem Hunt,CLE,122.0,552.0,6.0,33.0,345.0,3.0,2.0,143.7
Latavius Murray,NO,153.0,657.0,7.0,26.0,176.0,0.0,2.0,125.3
Le'Veon Bell,KC,226.0,775.0,5.0,67.0,496.0,1.0,3.0,163.1
DeeJay Dallas,SEA,58.0,262.0,2.0,26.0,262.0,1.0,1.0,70.4
Bryce Love,WAS,94.0,373.0,2.0,19.0,162.0,1.0,2.0,71.5
Eno Benjamin,ARI,25.0,113.0,1.0,4.0,34.0,0.0,0.0,20.7
Leonard Fournette,TB,178.0,615.0,9.0,22.0,198.0,0.0,2.0,135.3
Adrian Peterson,DET,86.0,331.0,2.0,4.0,40.0,0.0,1.0,49.1
Andy Janovich,CLE,3.0,6.0,1.0,11.0,155.0,2.0,0.0,34.1
Mike Boone,MIN,,,,,,,,
Ke'Shawn Vaughn,TB,30.0,117.0,1.0,1.0,16.0,0.0,0.0,19.3
Joe Mixon,CIN,271.0,"1,106.0",8.0,44.0,338.0,2.0,3.0,204.4
Devontae Booker,LV,27.0,138.0,1.0,8.0,64.0,0.0,0.0,26.2
James White,NE,76.0,287.0,2.0,64.0,546.0,4.0,1.0,119.3
Nick Chubb,CLE,261.0,"1,336.0",9.0,16.0,133.0,1.0,3.0,206.9
Rashaad Penny,SEA,63.0,310.0,2.0,6.0,62.0,0.0,1.0,49.2
Christian McCaffrey,CAR,245.0,"1,135.0",9.0,114.0,971.0,5.0,4.0,294.6
Patrick Laird,MIA,,,,,,,0.0,
Chris Carson,SEA,236.0,"1,046.0",8.0,26.0,189.0,1.0,3.0,177.5
Giovani Bernard,CIN,93.0,296.0,3.0,38.0,272.0,0.0,1.0,74.8
Dion Lewis,NYG,68.0,209.0,1.0,36.0,220.0,1.0,1.0,54.9
Khari Blasingame,TEN,,,,,,,,
Alvin Kamara,NO,208.0,973.0,8.0,96.0,711.0,2.0,3.0,228.4
James Robinson,JAC,120.0,499.0,3.0,27.0,247.0,1.0,2.0,98.6
David Johnson,HOU,200.0,772.0,4.0,40.0,429.0,4.0,2.0,168.1
Ronald Jones II,TB,167.0,654.0,6.0,24.0,224.0,0.0,2.0,123.8
J.K. Dobbins,BAL,171.0,929.0,5.0,14.0,135.0,1.0,3.0,142.4
D'Ernest Johnson,CLE,21.0,98.0,1.0,6.0,67.0,0.0,0.0,22.5
Anthony McFarland Jr.,PIT,45.0,169.0,1.0,15.0,130.0,1.0,1.0,41.9
Derrick Henry,TEN,301.0,"1,586.0",11.0,18.0,159.0,1.0,3.0,246.5
Josh Jacobs,LV,276.0,"1,299.0",10.0,37.0,315.0,0.0,3.0,221.4
Devine Ozigbo,JAC,120.0,486.0,2.0,27.0,244.0,1.0,2.0,91.0
Jerick McKinnon,SF,121.0,562.0,4.0,23.0,238.0,1.0,2.0,110.0
Mike Davis,CAR,97.0,423.0,4.0,24.0,137.0,0.0,1.0,80.0
Chase Edmonds,ARI,112.0,468.0,5.0,21.0,136.0,1.0,1.0,96.4
Tony Pollard,DAL,113.0,551.0,3.0,28.0,195.0,2.0,2.0,104.6
Zack Moss,BUF,184.0,896.0,5.0,18.0,172.0,1.0,3.0,142.8
Marlon Mack,IND,199.0,873.0,7.0,15.0,87.0,0.0,2.0,138.0
AJ Dillon,GB,118.0,500.0,5.0,4.0,35.0,0.0,2.0,83.5
Joshua Kelley,LAC,139.0,576.0,5.0,3.0,36.0,0.0,2.0,91.2
Kerryon Johnson,DET,144.0,617.0,5.0,29.0,252.0,1.0,2.0,122.9
David Montgomery,CHI,227.0,786.0,7.0,20.0,159.0,1.0,2.0,142.5
Chris Thompson,JAC,53.0,199.0,1.0,47.0,376.0,1.0,1.0,69.5
La'Mical Perine,NYJ,,,,,,,,
Nyheim Hines,IND,63.0,236.0,2.0,51.0,373.0,1.0,1.0,78.9
Ryquell Armstead,JAC,89.0,292.0,2.0,12.0,118.0,1.0,1.0,59.0
Austin Ekeler,LAC,161.0,719.0,4.0,63.0,676.0,5.0,2.0,193.5
