Christian McCaffrey,CAR,240.5,"1,098.1",8.7,102.1,856.2,3.8,2.5,265.3
,high,245.0,"1,135.0",9.0,114.0,971.0,5.0,1.1,294.6
,low,236.0,"1,061.1",8.3,90.2,741.4,2.7,4.0,243.9
Ezekiel Elliott,DAL,283.0,"1,266.4",9.5,64.8,523.1,2.6,2.7,245.9
,high,286.0,"1,299.0",10.0,72.0,584.0,3.0,1.5,260.3
,low,279.9,"1,233.7",9.0,57.6,462.2,2.1,4.0,239.6
Saquon Barkley,NYG,266.5,"1,209.4",9.4,68.4,544.5,2.7,1.9,244.3
,high,270.0,"1,236.0",10.0,79.0,629.0,3.0,0.9,264.5
,low,263.1,"1,182.8",8.8,57.8,460.0,2.4,3.0,230.0
Derrick Henry,TEN,299.9,"1,470.6",11.2,21.5,183.3,1.0,2.2,234.4
,high,301.0,"1,586.0",11.5,25.0,207.7,1.0,1.4,246.5
,low,298.9,"1,355.2",11.0,18.0,159.0,1.0,3.0,228.4
Dalvin Cook,MIN,261.1,"1,136.7",10.4,58.8,509.4,1.2,2.3,229.7
,high,274.0,"1,211.0",11.0,64.6,538.8,1.4,1.7,241.1
,low,248.2,"1,062.4",9.8,53.0,480.0,1.0,3.0,224.4
Alvin Kamara,NO,201.6,926.2,8.0,87.4,657.8,2.6,2.1,217.4
,high,208.0,973.0,8.0,96.0,711.0,3.1,1.2,228.4
,low,195.2,879.4,8.0,78.8,604.6,2.0,3.0,212.5
Josh Jacobs,LV,269.4,"1,222.3",9.5,37.1,301.6,0.7,1.9,209.4
,high,276.0,"1,299.0",10.0,37.1,315.0,1.4,0.9,221.4
,low,262.8,"1,145.6",8.9,37.0,288.3,0.0,3.0,203.3
Clyde Edwards-Helaire,KC,191.2,854.8,9.1,50.3,502.6,3.8,2.1,208.8
,high,200.3,899.7,10.0,51.6,572.0,4.0,1.1,222.2
,low,182.0,810.0,8.2,49.0,433.2,3.6,3.0,201.3
Nick Chubb,CLE,269.6,"1,320.4",9.4,21.2,171.4,1.0,2.1,207.6
,high,278.2,"1,336.0",9.9,26.4,209.8,1.0,1.1,214.4
,low,261.0,"1,304.8",9.0,16.0,133.0,1.0,3.0,206.9
Miles Sanders,PHI,227.4,"1,009.3",5.8,50.4,476.5,2.5,2.1,194.4
,high,247.7,"1,082.5",7.7,58.0,593.0,3.0,1.2,199.8
,low,207.0,936.0,4.0,42.9,360.1,2.0,3.0,194.9
Joe Mixon,CIN,269.8,"1,123.8",7.3,41.2,316.4,1.7,1.9,194.3
,high,271.0,"1,141.7",8.0,44.0,338.0,2.0,0.8,204.4
,low,268.6,"1,106.0",6.5,38.3,294.8,1.5,3.0,190.1
Aaron Jones,GB,198.8,860.8,10.2,41.3,349.3,2.1,1.5,191.7
,high,204.7,906.5,11.0,44.7,367.7,2.1,1.0,194.8
,low,193.0,815.0,9.4,38.0,331.0,2.0,2.0,192.6
Kenyan Drake,ARI,182.9,823.6,7.9,56.8,429.4,2.5,1.6,185.0
,high,199.7,933.2,8.0,60.0,455.0,3.0,1.1,191.1
,low,166.0,714.0,7.9,53.6,403.8,2.1,2.0,182.9
Austin Ekeler,LAC,161.6,717.4,4.2,63.7,640.7,4.0,1.6,181.9
,high,162.3,719.0,4.5,64.4,676.0,5.0,1.2,193.5
,low,161.0,715.8,4.0,63.0,605.4,3.0,2.0,174.4
Chris Carson,SEA,244.4,"1,072.6",7.8,30.8,227.7,1.3,2.4,179.6
,high,252.9,"1,099.1",8.0,35.5,266.4,1.6,1.8,187.6
,low,236.0,"1,046.0",7.5,26.0,189.0,1.0,3.0,177.5
David Johnson,HOU,217.1,858.6,5.2,39.3,401.0,3.4,1.6,174.5
,high,234.1,945.2,6.5,40.0,429.0,4.0,1.3,184.8
