Christian McCaffrey,CAR,236.0,"1,036.0",7.9,91.5,769.8,4.3,0.8,252.1
,high,236.0,"1,061.1",8.3,92.8,798.3,5.9,0.5,261.2
,low,236.0,"1,010.9",7.5,90.2,741.4,2.7,1.1,243.9
Derrick Henry,TEN,298.9,"1,439.4",11.4,22.0,183.6,1.1,1.6,234.0
,high,298.9,"1,523.7",11.5,25.0,207.7,1.1,1.4,239.6
,low,298.9,"1,355.2",11.4,18.9,159.5,1.0,1.7,228.4
Ezekiel Elliott,DAL,279.9,"1,226.9",9.5,53.7,431.9,2.2,1.4,233.0
,high,279.9,"1,233.7",10.0,57.6,462.2,2.2,1.3,239.6
,low,279.9,"1,220.0",9.0,49.7,401.7,2.1,1.5,226.4
Saquon Barkley,NYG,263.1,"1,166.7",7.8,52.4,432.2,2.2,0.4,219.4
,high,263.1,"1,182.8",8.8,57.8,460.0,2.4,0.0,230.0
,low,263.1,"1,150.7",6.8,47.1,404.4,2.0,0.9,209.7
Dalvin Cook,MIN,248.2,"1,050.5",8.9,61.2,531.0,1.6,2.1,217.4
,high,248.2,"1,062.4",9.8,64.6,538.8,1.8,1.7,224.4
,low,248.2,"1,038.6",8.0,57.9,523.3,1.4,2.5,210.3
Nick Chubb,CLE,278.2,"1,254.4",9.0,26.8,211.8,1.0,1.1,204.5
,high,278.2,"1,304.8",9.9,27.1,213.8,1.0,1.1,214.4
,low,278.2,"1,204.0",8.2,26.4,209.8,1.0,1.2,194.6
Alvin Kamara,NO,195.2,866.9,7.0,78.9,579.7,2.7,0.8,201.0
,high,195.2,879.4,8.0,79.1,604.6,3.1,0.5,212.5
,low,195.2,854.4,6.0,78.8,554.9,2.2,1.2,192.7
Miles Sanders,PHI,247.7,"1,063.7",7.1,45.3,387.6,2.1,1.2,197.4
,high,247.7,"1,082.5",7.7,47.8,415.1,2.1,1.2,199.8
,low,247.7,"1,045.0",6.5,42.9,360.1,2.0,1.2,196.0
Joe Mixon,CIN,268.6,"1,197.7",7.3,33.0,269.1,1.4,0.7,197.1
,high,268.6,"1,253.7",8.0,38.3,294.8,1.5,0.6,204.0
,low,268.6,"1,141.7",6.5,27.8,243.5,1.3,0.8,190.1
Chris Carson,SEA,252.9,"1,163.9",8.0,35.1,273.6,1.5,1.9,196.9
,high,252.9,"1,228.7",8.5,35.5,280.8,1.6,1.8,207.1
,low,252.9,"1,099.1",7.5,34.6,266.4,1.4,2.0,187.6
Josh Jacobs,LV,262.8,"1,157.0",8.7,31.0,234.2,1.1,1.0,195.8
,high,262.8,"1,168.4",8.9,37.1,288.3,1.4,0.9,203.3
,low,262.8,"1,145.6",8.5,24.8,180.1,0.8,1.2,188.5
Aaron Jones,GB,204.7,948.3,8.7,43.0,360.1,2.0,1.0,193.1
,high,204.7,990.1,9.4,44.7,367.7,2.1,1.0,194.8
,low,204.7,906.5,8.0,41.4,352.5,2.0,1.1,191.5
Clyde Edwards-Helaire,KC,200.3,947.2,7.4,46.9,387.2,2.5,1.3,190.3
,high,200.3,994.7,8.2,51.6,433.2,3.6,1.1,201.3
,low,200.3,899.7,6.6,42.2,341.1,1.5,1.5,179.7
Kenyan Drake,ARI,199.7,972.3,7.6,53.1,384.9,1.7,1.2,189.1
,high,199.7,"1,011.5",7.9,53.6,403.8,2.1,1.1,191.1
,low,199.7,933.2,7.3,52.7,366.1,1.4,1.4,187.3
Austin Ekeler,LAC,162.3,681.5,4.2,64.4,673.9,3.8,0.9,181.6
,high,162.3,715.8,4.5,64.4,742.4,4.6,0.6,189.0
,low,162.3,647.1,3.9,64.4,605.4,3.0,1.2,174.4
David Johnson,HOU,234.1,849.4,5.7,44.3,453.0,3.0,1.5,179.1
,high,234.1,945.2,6.5,50.0,532.9,3.1,1.3,184.8
,low,234.1,753.5,4.9,38.7,373.0,2.8,1.8,174.3
Todd Gurley II,ATL,214.4,879.8,7.1,39.9,327.6,2.0,1.0,173.1
,high,214.4,889.0,7.3,44.7,372.8,2.4,0.8,177.2
,low,214.4,870.6,6.9,35.1,282.4,1.6,1.2,171.8
James Conner,PIT,198.2,855.5,6.3,42.0,339.7,1.7,1.4,165.1
,high,198.2,875.0,6.6,46.3,387.4,2.1,1.0,171.6
,low,198.2,836.0,6.0,37.7,292.1,1.4,1.7,158.6
Le'Veon Bell,KC,195.5,841.0,4.1,56.4,449.5,1.8,0.8,163.0
,high,195.5,907.8,4.6,56.5,486.4,1.8,0.8,176.2
,low,195.5,774.1,3.7,56.2,412.6,1.8,0.8,149.8
Melvin Gordon III,DEN,171.5,733.9,6.2,49.1,403.6,2.0,1.0,160.5
,high,171.5,779.1,6.3,50.2,431.7,2.1,0.8,170.8
,low,171.5,688.7,6.0,48.1,375.4,1.8,1.2,151.2
