Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Corey Clement,PHI,35.0,131.0,1.0,5.0,33.0,0.0,,22.4
Raheem Mostert,SF,159.0,796.0,6.0,20.0,165.0,1.0,,138.1
Darrynton Evans,TEN,74.0,320.0,2.0,27.0,213.0,1.0,,71.3
Phillip Lindsay,DEN,129.0,567.0,4.0,38.0,255.0,1.0,,112.2
Ryan Nall,CHI,46.0,182.0,0.0,3.0,22.0,0.0,,20.4
T.J. Yeldon,BUF,23.0,88.0,0.0,9.0,55.0,0.0,,14.3
LeSean McCoy,TB,37.0,146.0,1.0,10.0,74.0,0.0,,28.0
Royce Freeman,DEN,60.0,245.0,1.0,24.0,137.0,0.0,,44.2
Kyle Juszczyk,SF,,,,,,,,
Jeff Wilson Jr.,SF,30.0,127.0,1.0,3.0,21.0,0.0,,20.8
Benny Snell Jr.,PIT,79.0,355.0,2.0,7.0,61.0,0.0,,53.6
Mark Ingram II,BAL,182.0,855.0,6.0,27.0,217.0,2.0,,155.2
James Conner,PIT,220.0,945.0,6.0,46.0,346.0,2.0,,177.1
Dalvin Cook,MIN,246.0,"1,180.0",11.0,63.0,551.0,2.0,,251.1
Brian Hill,ATL,64.0,275.0,2.0,21.0,135.0,0.0,,53.0
Kenyan Drake,ARI,216.0,"1,013.0",7.0,55.0,416.0,2.0,,196.9
Alexander Mattison,MIN,115.0,531.0,3.0,12.0,73.0,0.0,,78.4
Rex Burkhead,NE,45.0,181.0,1.0,24.0,175.0,1.0,,47.6
Ezekiel Elliott,DAL,292.0,"1,316.0",10.0,59.0,446.0,2.0,,248.2
Damien Harris,NE,94.0,442.0,3.0,15.0,125.0,0.0,,74.7
Justin Jackson,LAC,111.0,465.0,3.0,12.0,79.0,0.0,,72.4
Duke Johnson Jr.,HOU,94.0,387.0,2.0,43.0,386.0,3.0,,107.3
Frank Gore,NYJ,74.0,275.0,2.0,8.0,46.0,0.0,,44.1
Devin Singletary,BUF,175.0,841.0,3.0,33.0,237.0,1.0,,131.8
Matt Breida,MIA,138.0,606.0,3.0,36.0,245.0,2.0,,115.1
Travis Homer,SEA,21.0,85.0,1.0,12.0,104.0,0.0,,24.9
D'Andre Swift,DET,154.0,677.0,4.0,32.0,245.0,1.0,,122.2
J.D. McKissic,WAS,,,,,,,,
Jonathan Taylor,IND,186.0,837.0,7.0,20.0,135.0,1.0,,145.2
Trayveon Williams,CIN,25.0,99.0,0.0,3.0,23.0,0.0,,12.2
Jaylen Samuels,PIT,46.0,173.0,1.0,22.0,158.0,0.0,,39.1
Melvin Gordon III,DEN,212.0,846.0,6.0,39.0,288.0,1.0,,155.4
Justice Hill,BAL,20.0,85.0,1.0,7.0,45.0,0.0,,19.0
Ty Montgomery,NO,,,,,,,,
Qadree Ollison,ATL,,,,,,,,
Jamaal Williams,GB,75.0,299.0,2.0,34.0,245.0,1.0,,72.4
Darwin Thompson,KC,36.0,142.0,0.0,8.0,51.0,0.0,,19.3
Aaron Jones,GB,208.0,979.0,9.0,51.0,385.0,2.0,,202.4
Darrell Henderson,LAR,76.0,287.0,2.0,28.0,204.0,1.0,,67.1
Carlos Hyde,SEA,94.0,387.0,3.0,6.0,38.0,0.0,,60.5
Lynn Bowden Jr.,MIA,17.0,75.0,0.0,24.0,186.0,1.0,,32.1
Antonio Gibson,WAS,150.0,645.0,4.0,54.0,359.0,2.0,,136.4
Saquon Barkley,NYG,268.0,"1,260.0",10.0,64.0,517.0,2.0,,249.7
Wayne Gallman,NYG,29.0,86.0,0.0,2.0,15.0,0.0,,10.1
Alex Armah,CAR,,,,,,,0.0,
Tarik Cohen,CHI,85.0,339.0,2.0,68.0,465.0,2.0,,104.4
Jordan Howard,PHI,159.0,635.0,5.0,15.0,98.0,0.0,,103.3
Gus Edwards,BAL,38.0,174.0,1.0,2.0,18.0,0.0,,25.2
Darrel Williams,KC,98.0,391.0,2.0,18.0,135.0,1.0,,70.6
Cam Akers,LAR,184.0,735.0,5.0,35.0,235.0,1.0,,133.0
Ito Smith,ATL,36.0,156.0,1.0,9.0,82.0,0.0,,29.8
Jalen Richard,LV,52.0,209.0,1.0,37.0,305.0,1.0,,63.4
Boston Scott,PHI,96.0,414.0,3.0,28.0,217.0,0.0,,81.1
Sony Michel,NE,124.0,497.0,3.0,12.0,86.0,0.0,,76.3
Miles Sanders,PHI,237.0,"1,067.0",5.0,56.0,474.0,2.0,,196.1
Tevin Coleman,SF,150.0,677.0,5.0,30.0,239.0,1.0,,127.6
Clyde Edwards-Helaire,KC,212.0,955.0,8.0,57.0,475.0,3.0,,209.0
Peyton Barber,WAS,121.0,386.0,2.0,10.0,76.0,0.0,,58.2
Todd Gurley II,ATL,217.0,953.0,8.0,49.0,356.0,2.0,,190.9
Kareem Hunt,CLE,113.0,495.0,4.0,52.0,402.0,1.0,,119.7
Latavius Murray,NO,120.0,515.0,4.0,27.0,179.0,1.0,,99.4
Le'Veon Bell,KC,209.0,815.0,5.0,56.0,406.0,2.0,,164.1
DeeJay Dallas,SEA,21.0,85.0,0.0,6.0,36.0,0.0,,12.1
Malcolm Brown,LAR,104.0,425.0,2.0,11.0,71.0,0.0,0.0,61.6
Bryce Love,WAS,37.0,164.0,1.0,6.0,44.0,0.0,,26.8
Leonard Fournette,TB,194.0,815.0,5.0,39.0,285.0,0.0,,140.0
Adrian Peterson,DET,100.0,418.0,4.0,10.0,64.0,0.0,,72.2
Mike Boone,MIN,49.0,197.0,1.0,4.0,33.0,0.0,,29.0
Ke'Shawn Vaughn,TB,21.0,85.0,0.0,6.0,46.0,0.0,,13.1
Joe Mixon,CIN,267.0,"1,176.0",7.0,45.0,335.0,2.0,,205.1
Devontae Booker,LV,,,,,,,,
James White,NE,65.0,275.0,2.0,65.0,547.0,4.0,,118.2
Nick Chubb,CLE,297.0,"1,189.0",8.0,29.0,211.0,1.0,,194.0
Rashaad Penny,SEA,57.0,245.0,1.0,6.0,41.0,0.0,,34.6
Christian McCaffrey,CAR,242.0,"1,161.0",10.0,107.0,884.0,4.0,,288.5
Patrick Laird,MIA,25.0,84.0,0.0,8.0,65.0,0.0,0.0,14.9
Chris Carson,SEA,247.0,"1,111.0",8.0,32.0,241.0,1.0,,189.2
Giovani Bernard,CIN,67.0,255.0,1.0,31.0,217.0,1.0,,59.2
Dion Lewis,NYG,62.0,247.0,1.0,26.0,187.0,1.0,,55.4
Khari Blasingame,TEN,24.0,85.0,0.0,4.0,29.0,0.0,,11.4
Alvin Kamara,NO,178.0,856.0,8.0,82.0,629.0,3.0,,214.5
James Robinson,JAC,83.0,325.0,2.0,12.0,88.0,0.0,,53.3
David Johnson,HOU,214.0,854.0,5.0,47.0,399.0,3.0,,173.3
Ronald Jones II,TB,120.0,515.0,3.0,24.0,186.0,1.0,,94.1
J.K. Dobbins,BAL,146.0,655.0,5.0,17.0,129.0,0.0,,108.4
D'Ernest Johnson,CLE,22.0,88.0,0.0,3.0,22.0,0.0,,11.0
Anthony McFarland Jr.,PIT,38.0,181.0,1.0,30.0,237.0,1.0,,53.8
Derrick Henry,TEN,288.0,"1,440.0",13.0,23.0,195.0,1.0,,247.5
Tyler Ervin,GB,13.0,42.0,0.0,13.0,86.0,0.0,0.0,12.8
Josh Jacobs,LV,257.0,"1,208.0",8.0,27.0,201.0,1.0,,194.9
Devine Ozigbo,JAC,89.0,348.0,2.0,16.0,115.0,0.0,,58.3
Jerick McKinnon,SF,59.0,275.0,2.0,13.0,82.0,0.0,,47.7
Mike Davis,CAR,56.0,239.0,1.0,10.0,86.0,0.0,,38.5
Chase Edmonds,ARI,93.0,426.0,2.0,20.0,145.0,1.0,,75.1
Tony Pollard,DAL,83.0,349.0,2.0,23.0,166.0,1.0,,69.5
Zack Moss,BUF,131.0,604.0,4.0,16.0,111.0,0.0,,95.5
Marlon Mack,IND,175.0,789.0,5.0,15.0,94.0,1.0,,124.3
AJ Dillon,GB,110.0,449.0,3.0,13.0,86.0,0.0,,71.5
Joshua Kelley,LAC,87.0,365.0,2.0,9.0,65.0,0.0,,55.0
Kerryon Johnson,DET,122.0,526.0,3.0,28.0,221.0,1.0,,98.7
David Montgomery,CHI,191.0,744.0,5.0,24.0,183.0,1.0,,128.7
Chris Thompson,JAC,64.0,249.0,1.0,52.0,385.0,2.0,,81.4
La'Mical Perine,NYJ,35.0,141.0,1.0,12.0,82.0,0.0,,28.3
Nyheim Hines,IND,36.0,135.0,1.0,50.0,344.0,2.0,,65.9
Ryquell Armstead,JAC,81.0,325.0,2.0,14.0,115.0,1.0,,62.0
Austin Ekeler,LAC,150.0,645.0,3.0,71.0,675.0,4.0,,174.0
