Christian McCaffrey,CAR,245.0,"1,072.9",8.3,103.4,884.6,5.4,2.2,273.4
,high,245.0,"1,135.0",9.0,114.0,971.0,5.9,0.5,294.6
,low,245.0,"1,010.9",7.5,92.8,798.3,5.0,4.0,261.2
Derrick Henry,TEN,301.0,"1,554.9",11.2,18.5,159.3,1.0,2.4,240.1
,high,301.0,"1,586.0",11.4,18.9,159.5,1.1,1.7,246.5
,low,301.0,"1,523.7",11.0,18.0,159.0,1.0,3.0,239.6
Ezekiel Elliott,DAL,286.0,"1,259.5",9.0,60.8,492.9,2.6,2.6,239.4
,high,286.0,"1,299.0",9.0,72.0,584.0,3.0,1.3,260.3
,low,286.0,"1,220.0",9.0,49.7,401.7,2.2,4.0,226.4
Saquon Barkley,NYG,270.0,"1,193.4",8.4,63.1,516.7,2.5,1.5,233.6
,high,270.0,"1,236.0",10.0,79.0,629.0,3.0,0.0,264.5
,low,270.0,"1,150.7",6.8,47.1,404.4,2.0,3.0,209.7
Dalvin Cook,MIN,274.0,"1,124.8",9.5,55.4,501.6,1.4,2.7,222.7
,high,274.0,"1,211.0",11.0,57.9,523.3,1.8,2.5,241.1
,low,274.0,"1,038.6",8.0,53.0,480.0,1.0,3.0,210.3
Alvin Kamara,NO,208.0,913.7,7.0,87.6,632.9,2.1,1.7,205.9
,high,208.0,973.0,8.0,96.0,711.0,2.2,0.5,228.4
,low,208.0,854.4,6.0,79.1,554.9,2.0,3.0,192.7
Josh Jacobs,LV,276.0,"1,233.7",9.3,30.9,247.5,0.4,2.1,201.9
,high,276.0,"1,299.0",10.0,37.0,315.0,0.8,1.2,221.4
,low,276.0,"1,168.4",8.5,24.8,180.1,0.0,3.0,188.5
Joe Mixon,CIN,271.0,"1,179.9",8.0,35.9,290.8,1.6,1.8,201.2
,high,271.0,"1,253.7",8.0,44.0,338.0,2.0,0.6,204.4
,low,271.0,"1,106.0",8.0,27.8,243.5,1.3,3.0,204.0
Clyde Edwards-Helaire,KC,182.0,902.4,8.3,45.6,456.6,2.8,2.2,197.8
,high,182.0,994.7,10.0,49.0,572.0,4.0,1.5,222.2
,low,182.0,810.0,6.6,42.2,341.1,1.5,3.0,179.7
Nick Chubb,CLE,261.0,"1,270.0",8.6,21.6,173.4,1.0,2.1,197.7
,high,261.0,"1,336.0",9.0,27.1,213.8,1.0,1.2,206.9
,low,261.0,"1,204.0",8.2,16.0,133.0,1.0,3.0,194.6
Miles Sanders,PHI,207.0,990.5,5.2,52.9,504.0,2.6,2.1,191.9
,high,207.0,"1,045.0",6.5,58.0,593.0,3.0,1.2,196.0
,low,207.0,936.0,4.0,47.8,415.1,2.1,3.0,194.9
Aaron Jones,GB,193.0,902.6,9.5,39.7,341.7,2.0,1.6,190.0
,high,193.0,990.1,11.0,41.4,352.5,2.0,1.1,192.6
,low,193.0,815.0,8.0,38.0,331.0,2.0,2.0,191.5
Austin Ekeler,LAC,161.0,683.1,3.9,63.7,709.2,4.8,1.3,189.2
,high,161.0,719.0,4.0,64.4,742.4,5.0,0.6,193.5
,low,161.0,647.1,3.9,63.0,676.0,4.6,2.0,189.0
Chris Carson,SEA,236.0,"1,137.4",8.3,30.3,234.9,1.2,2.5,188.8
,high,236.0,"1,228.7",8.5,34.6,280.8,1.4,2.0,207.1
,low,236.0,"1,046.0",8.0,26.0,189.0,1.0,3.0,177.5
Kenyan Drake,ARI,166.0,862.7,7.6,56.3,410.5,2.2,1.7,182.9
,high,166.0,"1,011.5",8.0,60.0,455.0,3.0,1.4,187.3
,low,166.0,714.0,7.3,52.7,366.1,1.4,2.0,182.9
James Conner,PIT,223.0,895.5,6.5,42.2,350.7,2.0,2.4,171.3
,high,223.0,916.0,7.0,46.3,387.4,2.1,1.7,177.0
,low,223.0,875.0,6.0,38.0,314.0,2.0,3.0,171.6
David Johnson,HOU,200.0,762.8,4.5,45.0,481.0,3.6,1.9,168.7
,high,200.0,772.0,4.9,50.0,532.9,4.0,1.8,174.3
,low,200.0,753.5,4.0,40.0,429.0,3.1,2.0,168.1
Todd Gurley II,ATL,193.0,821.0,7.2,41.0,316.2,2.3,1.4,167.6
,high,193.0,889.0,7.3,47.0,350.0,3.0,0.8,171.8
,low,193.0,753.0,7.0,35.1,282.4,1.6,2.0,170.3
Le'Veon Bell,KC,226.0,841.4,4.8,61.7,491.2,1.4,1.9,166.7
,high,226.0,907.8,5.0,67.0,496.0,1.8,0.8,176.2
,low,226.0,775.0,4.6,56.5,486.4,1.0,3.0,163.1
Melvin Gordon III,DEN,163.0,718.6,6.6,49.1,414.9,2.0,1.4,162.7
,high,163.0,779.1,7.0,50.2,431.7,2.1,0.8,170.8
,low,163.0,658.0,6.3,48.0,398.0,2.0,2.0,159.6
Mark Ingram II,BAL,169.0,840.2,5.9,25.5,240.2,2.5,1.7,154.9
,high,169.0,900.0,6.0,29.0,283.4,3.0,1.4,163.7
,low,169.0,780.4,5.8,22.0,197.0,2.0,2.0,151.9
Devin Singletary,BUF,148.0,834.5,4.1,37.5,322.5,1.8,1.6,147.4
,high,148.0,871.0,5.1,39.0,346.9,2.0,1.2,159.5
,low,148.0,798.0,3.0,36.0,298.0,1.5,2.0,139.6
Raheem Mostert,SF,153.0,854.3,7.7,14.7,123.6,0.8,2.2,144.5
,high,153.0,893.0,8.0,15.5,131.0,1.0,2.0,156.4
,low,153.0,815.5,7.5,14.0,116.2,0.6,2.5,136.8
Ronald Jones II,TB,167.0,747.0,5.8,31.6,284.7,0.7,1.5,139.0
,high,167.0,840.1,6.0,39.2,345.4,1.4,1.0,158.5
,low,167.0,654.0,5.6,24.0,224.0,0.0,2.0,123.8
Antonio Gibson,WAS,152.0,658.3,4.1,44.8,390.4,2.0,1.8,138.1
,high,152.0,678.5,4.3,45.0,398.8,2.0,0.6,144.5
,low,152.0,638.0,4.0,44.7,382.0,2.0,3.0,138.0
Jonathan Taylor,IND,196.0,802.1,5.4,23.8,225.6,1.1,2.0,137.5
,high,196.0,891.0,6.0,28.6,243.2,1.1,1.0,151.9
,low,196.0,713.3,4.8,19.0,208.0,1.0,3.0,129.4
David Montgomery,CHI,227.0,832.4,6.2,17.7,138.5,0.8,1.9,135.3
,high,227.0,878.9,7.0,20.0,159.0,1.0,1.7,142.5
,low,227.0,786.0,5.3,15.5,117.9,0.7,2.0,132.2
Marlon Mack,IND,199.0,831.4,6.5,13.6,86.1,0.2,1.2,129.5
,high,199.0,873.0,7.0,15.0,87.0,0.4,0.4,138.0
,low,199.0,789.8,6.0,12.1,85.1,0.0,2.0,126.8
Kareem Hunt,CLE,122.0,469.0,4.3,43.4,400.5,2.8,1.0,127.3
,high,122.0,552.0,6.0,53.7,456.0,3.0,0.0,143.7
,low,122.0,385.9,2.6,33.0,345.0,2.5,2.0,115.0
Cam Akers,LAR,183.0,647.1,5.5,28.2,255.2,0.9,1.9,124.8
,high,183.0,699.0,7.0,34.0,338.0,1.0,0.9,151.7
,low,183.0,595.3,4.0,22.4,172.4,0.8,3.0,104.1
Kerryon Johnson,DET,144.0,658.8,5.2,25.4,226.6,1.0,1.7,122.2
,high,144.0,700.6,5.4,29.0,252.0,1.0,1.5,125.6
,low,144.0,617.0,5.0,21.7,201.2,1.0,2.0,122.9
Phillip Lindsay,DEN,159.0,661.4,4.5,33.1,230.9,0.7,1.0,117.9
,high,159.0,708.0,5.0,45.0,298.0,1.0,0.0,136.6
,low,159.0,614.8,3.9,21.3,163.8,0.3,2.0,103.3
Sony Michel,NE,177.0,752.3,5.3,11.8,84.2,0.2,1.4,114.0
,high,177.0,856.5,5.6,16.6,116.4,0.5,0.8,132.1
,low,177.0,648.0,5.0,7.0,52.0,0.0,2.0,100.0
Jordan Howard,PHI,181.0,630.2,5.7,16.5,114.9,0.7,1.1,110.4
,high,181.0,696.0,7.0,20.0,147.0,1.0,0.3,132.3
,low,181.0,564.3,4.3,13.0,82.8,0.4,2.0,92.5
James White,NE,76.0,231.9,1.5,65.9,568.3,3.6,0.5,109.6
,high,76.0,287.0,2.0,67.9,590.5,4.0,0.0,119.3
,low,76.0,176.8,1.1,64.0,546.0,3.1,1.0,102.9
Tarik Cohen,CHI,103.0,310.8,1.6,66.9,538.6,2.9,1.4,109.4
,high,103.0,362.0,2.0,75.0,602.0,4.0,0.7,132.4
,low,103.0,259.6,1.2,58.9,475.3,1.8,2.0,90.4
Leonard Fournette,TB,178.0,531.9,5.9,23.3,200.7,0.4,1.0,108.8
,high,178.0,615.0,9.0,24.5,203.5,0.7,0.0,135.3
,low,178.0,448.7,2.8,22.0,198.0,0.0,2.0,86.4
D'Andre Swift,DET,142.0,501.4,3.3,30.6,307.6,1.6,1.7,106.8
,high,142.0,602.0,4.0,34.0,398.0,2.0,0.4,136.0
,low,142.0,400.7,2.7,27.2,217.2,1.1,3.0,83.7
Zack Moss,BUF,184.0,670.7,4.0,16.0,142.7,0.7,1.8,106.1
,high,184.0,896.0,5.0,18.0,172.0,1.0,0.7,142.8
,low,184.0,445.5,3.0,14.0,113.5,0.5,3.0,75.7
Chris Thompson,JAC,53.0,388.5,2.0,51.8,447.9,1.6,0.5,104.1
,high,53.0,577.9,3.0,56.6,519.8,2.1,0.0,140.9
,low,53.0,199.0,1.0,47.0,376.0,1.0,1.0,69.5
J.K. Dobbins,BAL,171.0,659.6,3.8,13.7,115.4,0.8,1.8,101.6
,high,171.0,929.0,5.0,14.0,135.0,1.0,0.6,142.4
,low,171.0,390.2,2.7,13.3,95.8,0.5,3.0,66.9
Latavius Murray,NO,153.0,547.3,5.0,24.0,168.8,0.3,1.0,101.1
,high,153.0,657.0,7.0,26.0,176.0,0.6,0.0,125.3
,low,153.0,437.5,2.9,22.0,161.6,0.0,2.0,81.0
