Christian McCaffrey,CAR,242.0,"1,085.9",8.8,99.9,841.1,4.9,0.5,273.9
,high,242.0,"1,161.0",10.0,107.0,884.0,5.9,0.5,288.5
,low,242.0,"1,010.9",7.5,92.8,798.3,4.0,0.5,261.2
Derrick Henry,TEN,288.0,"1,481.9",12.2,21.0,177.3,1.0,1.7,241.8
,high,288.0,"1,523.7",13.0,23.0,195.0,1.1,1.7,247.5
,low,288.0,"1,440.0",11.4,18.9,159.5,1.0,1.7,239.6
Ezekiel Elliott,DAL,292.0,"1,268.0",9.5,54.3,423.9,2.1,1.3,236.0
,high,292.0,"1,316.0",10.0,59.0,446.0,2.2,1.3,248.2
,low,292.0,"1,220.0",9.0,49.7,401.7,2.0,1.3,226.4
Saquon Barkley,NYG,268.0,"1,205.4",8.4,55.6,460.7,2.0,0.0,229.2
,high,268.0,"1,260.0",10.0,64.0,517.0,2.0,0.0,249.7
,low,268.0,"1,150.7",6.8,47.1,404.4,2.0,0.0,209.7
Dalvin Cook,MIN,246.0,"1,109.3",9.5,60.4,537.1,1.9,2.5,228.3
,high,246.0,"1,180.0",11.0,63.0,551.0,2.0,2.5,251.1
,low,246.0,"1,038.6",8.0,57.9,523.3,1.8,2.5,210.3
Joe Mixon,CIN,267.0,"1,214.9",7.5,36.4,289.3,1.6,0.6,204.0
,high,267.0,"1,253.7",8.0,45.0,335.0,2.0,0.6,205.1
,low,267.0,"1,176.0",7.0,27.8,243.5,1.3,0.6,204.0
Alvin Kamara,NO,178.0,855.2,7.0,80.6,591.9,2.6,0.5,201.5
,high,178.0,856.0,8.0,82.0,629.0,3.0,0.5,214.5
,low,178.0,854.4,6.0,79.1,554.9,2.2,0.5,192.7
Aaron Jones,GB,208.0,984.6,8.5,46.2,368.7,2.0,1.1,195.8
,high,208.0,990.1,9.0,51.0,385.0,2.0,1.1,202.4
,low,208.0,979.0,8.0,41.4,352.5,2.0,1.1,191.5
Chris Carson,SEA,247.0,"1,169.9",8.3,33.3,260.9,1.2,2.0,195.7
,high,247.0,"1,228.7",8.5,34.6,280.8,1.4,2.0,207.1
,low,247.0,"1,111.0",8.0,32.0,241.0,1.0,2.0,189.2
Miles Sanders,PHI,237.0,"1,056.0",5.7,51.9,444.5,2.1,1.2,194.3
,high,237.0,"1,067.0",6.5,56.0,474.0,2.1,1.2,196.1
,low,237.0,"1,045.0",5.0,47.8,415.1,2.0,1.2,196.0
Nick Chubb,CLE,297.0,"1,196.5",8.1,28.1,212.4,1.0,1.2,193.1
,high,297.0,"1,204.0",8.2,29.0,213.8,1.0,1.2,194.6
,low,297.0,"1,189.0",8.0,27.1,211.0,1.0,1.2,194.0
Clyde Edwards-Helaire,KC,212.0,974.9,7.3,49.6,408.1,2.3,1.5,192.7
,high,212.0,994.7,8.0,57.0,475.0,3.0,1.5,209.0
,low,212.0,955.0,6.6,42.2,341.1,1.5,1.5,179.7
Kenyan Drake,ARI,216.0,"1,012.2",7.1,53.8,391.0,1.7,1.4,190.6
,high,216.0,"1,013.0",7.3,55.0,416.0,2.0,1.4,196.9
,low,216.0,"1,011.5",7.0,52.7,366.1,1.4,1.4,187.3
Josh Jacobs,LV,257.0,"1,188.2",8.3,25.9,190.5,0.9,1.2,190.5
,high,257.0,"1,208.0",8.5,27.0,201.0,1.0,1.2,194.9
,low,257.0,"1,168.4",8.0,24.8,180.1,0.8,1.2,188.5
Austin Ekeler,LAC,150.0,646.1,3.4,67.7,708.7,4.3,0.6,180.8
,high,150.0,647.1,3.9,71.0,742.4,4.6,0.6,189.0
,low,150.0,645.0,3.0,64.4,675.0,4.0,0.6,174.0
Todd Gurley II,ATL,217.0,921.0,7.7,42.0,319.2,1.8,0.8,179.1
,high,217.0,953.0,8.0,49.0,356.0,2.0,0.8,190.9
,low,217.0,889.0,7.3,35.1,282.4,1.6,0.8,171.8
James Conner,PIT,220.0,910.0,6.0,46.2,366.7,2.0,1.7,172.6
,high,220.0,945.0,6.0,46.3,387.4,2.1,1.7,177.1
,low,220.0,875.0,6.0,46.0,346.0,2.0,1.7,171.6
David Johnson,HOU,214.0,803.8,5.0,48.5,466.0,3.1,1.8,171.5
,high,214.0,854.0,5.0,50.0,532.9,3.1,1.8,174.3
,low,214.0,753.5,4.9,47.0,399.0,3.0,1.8,173.3
Le'Veon Bell,KC,209.0,861.4,4.8,56.2,446.2,1.9,0.8,169.4
,high,209.0,907.8,5.0,56.5,486.4,2.0,0.8,176.2
,low,209.0,815.0,4.6,56.0,406.0,1.8,0.8,164.1
Melvin Gordon III,DEN,212.0,812.6,6.1,44.6,359.9,1.5,0.8,161.9
,high,212.0,846.0,6.3,50.2,431.7,2.1,0.8,170.8
,low,212.0,779.1,6.0,39.0,288.0,1.0,0.8,155.4
Mark Ingram II,BAL,182.0,817.7,5.9,28.0,250.2,2.0,1.4,151.3
,high,182.0,855.0,6.0,29.0,283.4,2.0,1.4,155.2
,low,182.0,780.4,5.8,27.0,217.0,2.0,1.4,151.9
Devin Singletary,BUF,175.0,856.0,4.1,34.5,292.0,1.3,1.2,144.3
,high,175.0,871.0,5.1,36.0,346.9,1.5,1.2,159.5
,low,175.0,841.0,3.0,33.0,237.0,1.0,1.2,131.8
Antonio Gibson,WAS,150.0,661.8,4.1,49.3,378.9,2.0,0.6,139.7
,high,150.0,678.5,4.3,54.0,398.8,2.0,0.6,144.5
,low,150.0,645.0,4.0,44.7,359.0,2.0,0.6,136.4
Jonathan Taylor,IND,186.0,775.1,5.9,24.3,189.1,1.1,1.0,136.1
,high,186.0,837.0,7.0,28.6,243.2,1.1,1.0,145.2
,low,186.0,713.3,4.8,20.0,135.0,1.0,1.0,129.4
Raheem Mostert,SF,159.0,805.8,6.7,17.7,140.6,0.8,2.5,134.9
,high,159.0,815.5,7.5,20.0,165.0,1.0,2.5,138.1
,low,159.0,796.0,6.0,15.5,116.2,0.6,2.5,136.8
David Montgomery,CHI,191.0,811.4,5.2,19.7,150.5,0.8,1.7,128.7
,high,191.0,878.9,5.3,24.0,183.0,1.0,1.7,132.2
,low,191.0,744.0,5.0,15.5,117.9,0.7,1.7,128.7
Ronald Jones II,TB,120.0,677.5,4.3,31.6,265.7,1.2,1.0,125.2
,high,120.0,840.1,5.6,39.2,345.4,1.4,1.0,158.5
,low,120.0,515.0,3.0,24.0,186.0,1.0,1.0,94.1
Marlon Mack,IND,175.0,789.4,5.5,13.6,89.6,0.7,0.4,124.3
,high,175.0,789.8,6.0,15.0,94.0,1.0,0.4,126.8
,low,175.0,789.0,5.0,12.1,85.1,0.4,0.4,124.3
