Christian McCaffrey,CAR,254.5,"1,149.1",8.0,93.8,757.2,3.4,1.1,256.8
,high,272.9,"1,237.0",8.3,97.5,773.1,4.2,1.1,271.3
,low,236.0,"1,061.1",7.6,90.2,741.4,2.7,1.1,243.9
Ezekiel Elliott,DAL,283.1,"1,259.9",10.3,58.2,461.6,2.6,1.5,246.6
,high,286.2,"1,286.1",10.5,58.8,462.2,3.2,1.5,253.7
,low,279.9,"1,233.7",10.0,57.6,461.1,2.1,1.5,239.6
Saquon Barkley,NYG,269.7,"1,223.7",8.8,67.3,534.3,3.0,0.9,245.0
,high,276.3,"1,264.6",8.8,76.8,608.5,3.7,0.9,260.8
,low,263.1,"1,182.8",8.8,57.8,460.0,2.4,0.9,230.0
Derrick Henry,TEN,299.0,"1,381.1",12.3,25.7,217.5,1.1,1.4,237.4
,high,299.2,"1,407.1",13.1,26.5,227.3,1.2,1.4,244.1
,low,298.9,"1,355.2",11.5,25.0,207.7,1.0,1.4,228.4
Dalvin Cook,MIN,258.3,"1,130.4",9.5,62.4,538.4,2.2,1.7,233.2
,high,268.4,"1,198.3",9.8,64.6,538.8,2.9,1.7,241.0
,low,248.2,"1,062.4",9.1,60.3,537.9,1.4,1.7,224.4
Alvin Kamara,NO,206.5,946.3,8.8,78.3,570.0,3.7,1.2,224.2
,high,217.9,"1,013.3",9.7,78.8,604.6,4.3,1.2,233.5
,low,195.2,879.4,8.0,77.8,535.3,3.1,1.2,212.5
Nick Chubb,CLE,274.2,"1,297.2",10.1,26.9,209.5,1.2,1.1,216.2
,high,278.2,"1,304.8",10.4,27.3,209.8,1.4,1.1,217.6
,low,270.2,"1,289.6",9.9,26.4,209.2,1.0,1.1,214.4
Clyde Edwards-Helaire,KC,218.7,965.1,8.2,55.2,441.7,3.7,1.1,210.3
,high,237.0,"1,030.6",8.3,58.7,450.2,3.9,1.1,218.6
,low,200.3,899.7,8.2,51.6,433.2,3.6,1.1,201.3
Josh Jacobs,LV,272.7,"1,200.1",9.7,32.9,251.6,1.3,0.9,209.6
,high,282.7,"1,254.7",10.5,37.1,288.3,1.4,0.9,216.7
,low,262.8,"1,145.6",8.9,28.6,214.9,1.3,0.9,203.3
Miles Sanders,PHI,253.4,"1,116.5",8.1,43.7,365.1,2.2,1.2,207.3
,high,259.1,"1,150.5",8.5,44.6,370.1,2.3,1.2,214.8
,low,247.7,"1,082.5",7.7,42.9,360.1,2.0,1.2,199.8
Aaron Jones,GB,220.0,991.5,9.4,43.7,356.7,2.2,1.0,202.2
,high,235.4,"1,076.5",9.4,44.7,367.7,2.2,1.0,209.7
,low,204.7,906.5,9.3,42.8,345.7,2.1,1.0,194.8
Kenyan Drake,ARI,222.7,"1,023.6",7.6,52.4,415.9,2.2,1.1,200.7
,high,245.7,"1,113.9",7.9,53.6,428.1,2.4,1.1,209.9
,low,199.7,933.2,7.3,51.2,403.8,2.1,1.1,191.1
Joe Mixon,CIN,276.9,"1,190.7",7.2,40.5,305.2,1.5,0.8,200.4
,high,285.3,"1,239.8",7.8,42.8,315.5,1.6,0.8,212.4
,low,268.6,"1,141.7",6.5,38.3,294.8,1.5,0.8,190.1
Chris Carson,SEA,252.5,"1,107.2",7.4,32.4,252.5,1.6,1.8,186.3
,high,252.9,"1,115.2",7.5,35.5,266.4,1.7,1.8,187.6
,low,252.1,"1,099.1",7.2,29.2,238.7,1.6,1.8,181.9
Austin Ekeler,LAC,172.5,768.7,5.8,65.9,589.8,2.9,1.2,185.6
,high,182.7,821.6,7.2,67.4,605.4,3.0,1.2,196.5
,low,162.3,715.8,4.5,64.4,574.2,2.8,1.2,174.4
Todd Gurley II,ATL,209.6,891.4,7.9,40.0,335.7,2.1,1.2,180.3
,high,214.4,912.1,9.0,44.7,372.8,2.4,1.2,182.6
,low,204.9,870.6,6.9,35.4,298.5,1.8,1.2,177.2
David Johnson,HOU,234.7,951.0,6.8,35.0,316.2,2.3,1.3,178.5
,high,235.3,956.7,7.1,38.7,373.0,2.8,1.3,184.8
,low,234.1,945.2,6.5,31.4,259.3,1.8,1.3,172.3
James Conner,PIT,220.8,949.1,6.9,38.2,306.7,1.7,1.0,175.0
,high,243.4,"1,062.2",7.1,38.8,321.3,2.1,1.0,190.5
,low,198.2,836.0,6.6,37.7,292.1,1.4,1.0,158.6
Jonathan Taylor,IND,215.3,932.3,7.8,27.3,226.7,1.3,1.0,168.6
,high,236.9,"1,007.2",8.9,28.3,236.9,1.4,1.0,181.6
,low,193.8,857.4,6.8,26.2,216.6,1.2,1.0,155.2
Melvin Gordon III,DEN,202.0,833.3,6.7,40.0,312.0,1.6,1.2,161.8
,high,232.5,977.9,7.3,48.1,375.4,1.8,1.2,169.5
,low,171.5,688.7,6.0,31.9,248.7,1.4,1.2,151.2
Cam Akers,LAR,192.9,789.7,7.2,28.4,222.2,1.2,1.0,149.1
,high,196.3,819.9,7.5,33.9,259.7,1.6,1.0,149.0
,low,189.4,759.6,6.8,22.9,184.7,0.7,1.0,147.7
Le'Veon Bell,KC,197.4,787.5,4.3,47.5,351.5,1.7,0.8,148.3
,high,199.3,800.9,4.9,56.2,412.6,1.8,0.8,149.8
,low,195.5,774.1,3.7,38.8,290.5,1.6,0.8,148.0
Raheem Mostert,SF,178.0,810.7,7.1,21.5,176.8,1.1,0.8,146.3
,high,183.1,813.4,7.3,24.7,194.4,1.3,0.8,146.6
,low,173.0,808.1,6.9,18.3,159.1,0.9,0.8,141.9
Mark Ingram II,BAL,158.7,747.3,6.8,22.9,175.2,1.1,0.8,137.9
,high,159.4,757.2,7.0,23.4,184.4,1.3,0.8,140.2
,low,158.1,737.4,6.6,22.3,166.0,1.0,0.8,135.8
Antonio Gibson,WAS,146.7,611.5,3.8,47.0,406.4,1.7,0.8,132.8
,high,152.7,616.9,4.0,49.9,426.1,2.0,0.8,132.9
,low,140.7,606.2,3.6,44.2,386.7,1.4,0.8,131.2
Devin Singletary,BUF,168.5,758.8,3.8,33.1,253.1,1.4,1.5,129.3
,high,178.9,816.1,4.5,36.8,290.5,1.5,1.5,135.1
,low,158.2,701.5,3.1,29.4,215.7,1.3,1.5,124.4
Kareem Hunt,CLE,101.9,458.3,3.7,51.6,452.4,2.8,0.6,128.8
,high,113.2,509.5,4.2,51.6,457.5,2.8,0.6,136.9
,low,90.5,407.2,3.3,51.5,447.4,2.7,0.6,121.4
David Montgomery,CHI,197.4,787.7,5.0,21.6,166.1,0.7,0.9,127.7
,high,212.4,849.4,5.5,26.4,216.0,0.8,0.9,142.3
,low,182.5,726.1,4.5,16.9,116.3,0.6,0.9,113.6
Leonard Fournette,TB,163.4,666.8,5.5,28.2,184.8,1.0,0.5,123.2
,high,174.5,704.5,6.2,28.9,193.1,1.2,0.5,132.0
,low,152.3,629.2,4.9,27.5,176.6,0.8,0.5,114.9
Jordan Howard,PHI,167.8,712.3,5.4,20.6,152.5,0.7,0.5,122.1
,high,169.2,717.2,5.5,25.3,187.5,0.8,0.5,125.7
,low,166.4,707.4,5.3,15.9,117.6,0.7,0.5,119.8
Ronald Jones II,TB,147.8,620.5,4.8,27.2,202.0,1.1,1.0,115.3
,high,160.2,665.4,4.8,32.2,253.9,1.2,1.0,126.0
,low,135.4,575.6,4.7,22.2,150.2,0.9,1.0,104.2
Marlon Mack,IND,152.8,670.4,5.5,14.7,119.8,0.7,0.5,115.0
,high,155.2,685.4,5.8,15.9,126.7,0.8,0.5,116.2
,low,150.4,655.5,5.1,13.6,112.8,0.6,0.5,114.8
Zack Moss,BUF,150.8,641.3,4.6,25.0,189.5,1.0,0.8,115.0
,high,151.8,644.8,4.8,27.4,201.7,1.2,0.8,115.9
,low,149.8,637.9,4.4,22.5,177.2,0.8,0.8,114.0
D'Andre Swift,DET,140.8,593.6,3.5,34.8,272.7,1.4,0.8,114.1
,high,148.4,620.7,3.9,37.7,307.0,1.4,0.8,122.9
,low,133.2,566.5,3.1,31.9,238.3,1.3,0.8,105.5
Phillip Lindsay,DEN,146.8,663.7,4.2,27.1,179.1,0.9,0.4,114.0
,high,155.9,697.0,4.3,32.0,214.5,0.9,0.4,121.6
,low,137.7,630.3,4.1,22.3,143.7,0.9,0.4,107.5
J.K. Dobbins,BAL,141.8,620.9,4.2,22.5,176.6,1.1,0.7,110.3
,high,150.0,638.6,4.7,25.2,206.3,1.2,0.7,112.6
,low,133.6,603.1,3.6,19.8,146.9,1.1,0.7,107.9
Kerryon Johnson,DET,139.2,585.9,4.3,25.7,203.4,1.1,0.7,110.0
,high,142.9,595.0,4.8,27.1,222.6,1.3,0.7,114.8
,low,135.5,576.8,3.8,24.3,184.2,1.0,0.7,105.0
Matt Breida,MIA,128.3,584.2,2.5,34.6,270.1,1.4,0.9,107.0
,high,131.8,595.9,3.2,35.1,276.7,1.5,0.9,112.4
,low,124.8,572.5,1.8,34.2,263.6,1.4,0.9,101.8
Tevin Coleman,SF,123.4,520.4,5.2,17.5,160.6,1.1,0.5,104.7
,high,126.4,522.5,5.3,18.2,178.0,1.2,0.5,106.6
,low,120.5,518.2,5.0,16.8,143.1,1.0,0.5,103.0
Latavius Murray,NO,133.2,544.5,5.1,17.9,131.9,0.7,0.5,101.5
,high,134.4,545.3,5.4,25.1,187.8,0.9,0.5,106.4
,low,132.0,543.8,4.8,10.8,76.0,0.6,0.5,97.7
James White,NE,47.9,204.5,1.6,58.5,518.6,3.3,0.4,101.2
,high,59.0,255.2,2.0,61.5,538.7,3.9,0.4,102.6
,low,36.8,153.9,1.3,55.5,498.5,2.7,0.4,100.7
Tarik Cohen,CHI,77.6,327.9,2.0,65.4,427.5,2.4,0.7,100.5
,high,92.9,392.4,2.7,71.9,511.2,2.8,0.7,101.7
,low,62.3,263.5,1.2,58.9,343.8,2.1,0.7,96.0
Sony Michel,NE,155.8,619.8,4.5,10.3,78.7,0.4,0.5,98.5
,high,168.4,674.4,4.8,12.5,91.5,0.5,0.5,106.8
,low,143.1,565.1,4.2,8.2,65.9,0.3,0.5,89.1
Boston Scott,PHI,106.1,445.6,4.0,23.2,172.5,0.9,0.7,89.7
,high,115.9,489.9,4.0,30.8,229.7,1.1,0.7,92.2
,low,96.3,401.3,3.9,15.5,115.2,0.8,0.7,85.1
Darrell Henderson,LAR,102.4,425.6,3.3,25.6,208.0,1.0,0.5,87.8
,high,115.1,481.5,3.5,34.4,282.3,1.1,0.5,88.7
,low,89.7,369.7,3.0,16.9,133.8,0.9,0.5,87.1
Alexander Mattison,MIN,114.9,485.8,3.3,16.1,134.0,0.7,0.5,85.0
,high,116.7,487.4,3.4,16.8,138.4,0.9,0.5,86.6
,low,113.1,484.1,3.2,15.3,129.6,0.6,0.5,83.4
Duke Johnson Jr.,HOU,62.0,278.2,1.4,41.5,357.6,2.2,0.5,84.2
,high,68.7,316.4,1.4,43.9,386.1,2.5,0.5,92.6
,low,55.2,240.1,1.3,39.2,329.1,2.0,0.5,76.7
Tony Pollard,DAL,87.7,381.9,2.5,27.9,220.2,1.5,0.5,83.2
,high,95.2,412.8,3.1,29.8,235.5,1.6,0.5,91.3
,low,80.1,351.1,2.0,26.1,205.0,1.3,0.5,74.2
Joshua Kelley,LAC,105.4,429.3,4.2,13.8,99.7,0.5,0.5,80.4
,high,118.2,477.8,5.9,14.8,115.4,0.5,0.5,92.3
,low,92.5,380.8,2.6,12.8,83.9,0.5,0.5,67.5
Bryce Love,WAS,113.7,481.7,2.9,15.0,118.4,0.5,0.4,79.4
,high,150.5,639.2,3.5,18.5,144.6,0.7,0.4,101.4
,low,77.0,324.1,2.2,11.5,92.3,0.3,0.4,55.8
James Robinson,JAC,117.4,486.5,2.6,15.4,119.7,0.5,0.7,78.1
,high,131.4,534.9,2.8,17.5,138.1,0.6,0.7,85.8
,low,103.3,438.2,2.4,13.3,101.3,0.5,0.7,70.8
Chris Thompson,JAC,53.5,232.0,1.2,47.8,387.4,1.6,0.6,77.1
,high,57.5,252.5,1.2,49.0,401.8,1.9,0.6,78.3
,low,49.5,211.5,1.1,46.6,373.1,1.2,0.6,75.8
Darrynton Evans,TEN,84.9,355.7,2.4,23.3,183.1,1.2,0.5,74.4
,high,86.5,369.6,2.6,25.6,198.4,1.3,0.5,79.6
,low,83.3,341.7,2.2,21.0,167.8,1.0,0.5,69.1
Jerick McKinnon,SF,95.8,375.7,3.1,18.0,135.1,0.8,0.3,74.1
,high,107.2,433.4,4.2,22.4,174.0,1.0,0.3,80.7
,low,84.5,318.0,2.0,13.5,96.1,0.7,0.3,66.4
Damien Harris,NE,100.9,412.9,3.4,10.7,85.4,0.4,0.5,72.0
,high,101.3,418.3,4.0,13.0,106.0,0.5,0.5,71.6
,low,100.4,407.5,2.9,8.4,64.9,0.4,0.5,71.5
Nyheim Hines,IND,48.6,202.4,1.6,39.0,313.6,1.8,0.5,71.2
,high,52.3,217.0,1.6,48.3,393.1,2.1,0.5,82.3
,low,44.9,187.8,1.6,29.8,234.0,1.5,0.5,60.3
Benny Snell Jr.,PIT,85.7,354.6,2.5,19.7,155.8,0.9,0.5,70.4
,high,92.5,375.3,2.6,21.8,172.1,1.2,0.5,70.6
,low,78.9,333.9,2.3,17.6,139.5,0.7,0.5,70.3
Darrel Williams,KC,77.6,311.4,3.1,17.5,141.0,0.9,0.4,68.7
,high,90.2,359.1,3.2,21.8,181.8,1.1,0.4,69.3
,low,64.9,263.7,3.0,13.2,100.3,0.8,0.4,67.8
Jamaal Williams,GB,68.2,278.7,1.6,26.3,204.6,1.4,0.2,65.8
,high,80.5,329.7,1.8,29.6,224.2,1.5,0.2,74.7
,low,55.9,227.7,1.4,23.0,185.1,1.3,0.2,57.6
Chase Edmonds,ARI,78.5,329.9,2.4,17.8,137.8,0.8,0.3,65.5
,high,78.6,341.1,2.7,19.1,148.3,0.8,0.3,66.9
,low,78.3,318.8,2.2,16.4,127.3,0.7,0.3,63.9
Frank Gore,NYJ,104.7,406.4,1.8,13.1,100.3,0.5,0.3,64.3
,high,122.1,482.3,2.1,13.5,102.4,0.7,0.3,74.1
,low,87.4,330.5,1.6,12.8,98.1,0.4,0.3,54.6
Devine Ozigbo,JAC,91.0,371.6,2.3,14.4,110.4,0.5,0.3,64.3
,high,113.8,461.2,3.1,18.2,137.3,0.7,0.3,80.8
,low,68.3,282.0,1.5,10.5,83.5,0.3,0.3,46.6
Justin Jackson,LAC,77.4,327.1,2.6,15.6,111.7,0.6,0.4,62.2
,high,109.0,464.8,2.9,23.0,171.2,0.9,0.4,85.6
,low,45.7,189.3,2.2,8.2,52.2,0.3,0.4,39.1
Jalen Richard,LV,55.5,247.9,1.5,25.9,219.2,0.9,0.4,60.1
,high,70.8,313.8,2.1,33.7,285.9,1.0,0.4,61.2
,low,40.2,182.0,0.8,18.1,152.6,0.8,0.4,56.9
AJ Dillon,GB,81.1,332.0,2.9,8.3,64.9,0.4,0.4,58.7
,high,90.8,366.0,3.0,8.6,66.6,0.4,0.4,61.0
,low,71.4,298.0,2.9,8.1,63.1,0.3,0.4,55.3
Giovani Bernard,CIN,66.6,274.6,1.5,24.2,178.9,0.7,0.5,57.5
,high,70.9,293.2,1.6,28.5,221.0,0.7,0.5,58.9
,low,62.3,256.0,1.4,19.9,136.9,0.7,0.5,56.0
Adrian Peterson,DET,90.1,361.4,2.1,9.8,74.8,0.4,0.5,57.2
,high,95.9,381.2,2.1,11.2,81.3,0.4,0.5,59.7
,low,84.4,341.5,2.0,8.4,68.3,0.3,0.5,54.4
Rex Burkhead,NE,55.2,231.8,2.0,15.0,137.0,0.7,0.3,52.3
,high,63.4,265.5,2.4,17.5,162.9,0.8,0.3,55.0
,low,47.0,198.1,1.6,12.5,111.1,0.7,0.3,49.3
Ito Smith,ATL,54.7,225.7,1.5,19.2,141.3,0.8,0.2,50.4
,high,63.2,263.0,1.7,23.9,174.0,1.1,0.2,59.5
,low,46.2,188.3,1.4,14.5,108.6,0.6,0.2,41.0
Brian Hill,ATL,59.1,250.5,1.4,15.7,124.4,0.7,0.3,49.5
,high,60.8,255.2,1.4,16.5,131.1,0.8,0.3,50.8
,low,57.5,245.9,1.4,14.9,117.7,0.7,0.3,48.3
LeSean McCoy,TB,44.2,186.4,1.7,23.1,152.1,1.0,0.4,49.0
,high,49.2,201.0,2.0,31.3,213.5,1.3,0.4,54.2
,low,39.2,171.8,1.4,15.0,90.7,0.6,0.4,43.9
Rashaad Penny,SEA,52.5,232.2,1.5,13.6,108.6,0.8,0.3,47.0
,high,66.9,297.0,1.9,13.8,111.7,0.8,0.3,56.1
,low,38.2,167.4,1.1,13.4,105.6,0.7,0.3,37.9
Carlos Hyde,SEA,61.6,257.5,1.6,8.2,50.8,0.5,0.4,42.5
,high,69.4,291.3,1.8,8.9,53.3,0.5,0.4,46.2
,low,53.8,223.8,1.5,7.5,48.4,0.4,0.4,38.5
Peyton Barber,WAS,59.4,223.4,1.7,9.7,71.2,0.3,0.3,41.0
,high,77.8,290.9,2.5,12.3,91.9,0.3,0.3,54.4
,low,41.0,155.8,1.0,7.1,50.5,0.3,0.3,28.0
Malcolm Brown,LAR,54.8,225.9,1.8,5.0,39.3,0.3,0.0,38.8
,high,54.8,225.9,1.8,5.0,39.3,0.3,0.0,38.1
,low,54.8,225.9,1.8,5.0,39.3,0.3,0.0,38.1
Anthony McFarland Jr.,PIT,43.3,177.2,1.2,11.5,89.5,0.5,0.3,36.3
,high,55.1,226.4,1.3,12.7,97.3,0.6,0.3,40.7
,low,31.4,128.0,1.1,10.4,81.6,0.4,0.3,31.9
La'Mical Perine,NYJ,40.9,166.6,1.0,12.9,97.7,0.5,0.3,34.9
,high,45.1,184.9,1.0,15.4,120.2,0.6,0.3,38.9
,low,36.6,148.3,0.9,10.5,75.3,0.5,0.3,30.6
Jaylen Samuels,PIT,28.0,115.6,0.7,18.7,136.8,0.9,0.2,34.5
,high,36.3,149.2,0.9,22.8,166.0,0.9,0.2,42.1
,low,19.7,81.9,0.6,14.7,107.7,0.8,0.2,26.8
Devontae Booker,LV,40.7,163.3,1.1,10.1,83.2,0.4,0.5,32.7
,high,71.0,285.1,1.9,15.8,131.6,0.6,0.5,55.8
,low,10.4,41.4,0.3,4.4,34.8,0.2,0.5,10.8
Gus Edwards,BAL,47.2,214.8,1.2,3.9,29.6,0.2,0.3,31.8
,high,74.6,340.8,1.8,4.1,29.6,0.2,0.3,47.7
,low,19.9,88.8,0.6,3.6,29.6,0.2,0.3,16.7
Reggie Bonnafon,CAR,47.4,192.9,1.2,4.6,33.2,0.2,0.0,30.8
,high,47.4,192.9,1.2,4.6,33.2,0.2,0.0,30.0
,low,47.4,192.9,1.2,4.6,33.2,0.2,0.0,0.0
J.D. McKissic,WAS,25.1,105.7,0.6,15.7,124.2,0.5,0.1,29.7
,high,28.1,121.3,0.7,27.7,221.1,0.9,0.1,43.6
,low,22.0,90.2,0.6,3.6,27.4,0.2,0.1,15.8
Dion Lewis,NYG,30.7,127.8,0.6,12.8,88.4,0.5,0.2,27.9
,high,36.4,149.3,0.7,13.0,91.4,0.6,0.2,29.5
,low,25.0,106.3,0.6,12.6,85.4,0.4,0.2,26.5
Ryan Nall,CHI,32.6,133.5,1.0,6.5,49.6,0.2,0.2,25.2
,high,36.7,148.0,1.2,8.5,66.8,0.3,0.2,25.9
,low,28.6,119.0,0.7,4.5,32.4,0.2,0.2,24.0
Kyle Juszczyk,SF,8.4,33.8,0.4,15.4,146.3,0.8,0.1,24.8
,high,12.1,48.3,0.6,15.9,149.7,0.8,0.1,27.0
,low,4.7,19.3,0.2,14.9,143.0,0.8,0.1,22.1
Royce Freeman,DEN,30.4,122.8,0.8,8.1,53.3,0.3,0.1,23.9
,high,33.1,131.9,0.9,12.1,77.3,0.5,0.1,26.3
,low,27.6,113.7,0.7,4.2,29.3,0.1,0.1,21.9
Corey Clement,PHI,28.7,119.3,1.2,2.2,18.3,0.1,0.1,21.3
,high,28.7,119.3,1.2,2.2,18.3,0.1,0.1,21.3
,low,28.7,119.3,1.2,2.2,18.3,0.1,0.1,21.3
Mike Davis,CAR,28.3,114.8,0.7,6.9,49.9,0.2,0.2,21.2
,high,54.9,223.2,1.4,13.3,96.0,0.3,0.2,41.8
,low,1.6,6.3,0.0,0.6,3.8,0.0,0.2,1.4
Dare Ogunbowale,JAC,24.9,103.0,0.8,5.6,46.8,0.2,0.1,20.4
,high,24.9,103.0,0.8,5.6,46.8,0.2,0.1,20.3
,low,24.9,103.0,0.8,5.6,46.8,0.2,0.1,20.3
Ryquell Armstead,JAC,25.0,105.0,0.6,5.6,45.5,0.2,0.1,19.8
,high,42.1,177.5,1.0,7.3,58.2,0.3,0.1,31.2
,low,7.9,32.4,0.2,3.9,32.8,0.1,0.1,8.2
Darwin Thompson,KC,18.9,77.2,0.7,6.6,50.0,0.4,0.2,18.9
,high,27.4,113.0,1.1,8.7,67.7,0.4,0.2,27.0
,low,10.4,41.3,0.3,4.5,32.4,0.3,0.2,10.9
Trayveon Williams,CIN,22.5,91.3,0.6,6.0,47.3,0.2,0.1,18.7
,high,22.5,91.3,0.6,6.0,47.3,0.2,0.1,18.7
,low,22.5,91.3,0.6,6.0,47.3,0.2,0.1,18.7
DeeJay Dallas,SEA,21.6,87.4,0.7,5.6,42.3,0.3,0.1,18.6
,high,33.8,136.2,1.1,8.5,63.3,0.5,0.1,28.3
,low,9.4,38.7,0.3,2.7,21.3,0.1,0.1,8.3
Myles Gaskin,MIA,13.6,55.7,0.4,9.7,72.0,0.4,0.1,17.0
,high,13.9,57.9,0.4,10.5,76.4,0.4,0.1,17.7
,low,13.3,53.6,0.4,8.8,67.6,0.3,0.1,16.2
Ty Montgomery,NO,14.8,64.5,0.5,6.4,52.4,0.3,0.1,16.2
