Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Raheem Mostert,SF,183.1,813.4,7.3,24.7,194.4,1.3,,146.6
Corey Clement,PHI,,,,,,,,
Darrynton Evans,TEN,86.5,369.6,2.6,25.6,198.4,1.3,,79.6
Patrick Ricard,BAL,1.0,4.2,0.0,7.4,51.4,0.4,0.0,8.2
Phillip Lindsay,DEN,137.7,630.3,4.1,22.3,143.7,0.9,,107.5
Ryan Nall,CHI,36.7,148.0,1.2,4.5,32.4,0.2,,25.9
T.J. Yeldon,BUF,2.8,11.3,0.0,5.7,44.3,0.2,,7.3
LeSean McCoy,TB,49.2,201.0,2.0,15.0,90.7,0.6,,43.9
Royce Freeman,DEN,27.6,113.7,0.7,12.1,77.3,0.5,,26.3
Kyle Juszczyk,SF,12.1,48.3,0.6,15.9,143.0,0.8,,27.0
Jeff Wilson Jr.,SF,12.6,50.9,0.7,0.8,5.7,0.0,,9.6
Benny Snell Jr.,PIT,78.9,333.9,2.3,21.8,172.1,1.2,,70.6
Michael Burton,NO,1.9,7.7,0.0,1.3,9.1,0.0,0.0,2.5
Rod Smith,NYG,2.9,11.4,0.2,1.3,10.2,0.0,0.0,3.2
Mark Ingram II,BAL,158.1,757.2,7.0,22.3,166.0,1.3,,140.2
James Conner,PIT,243.4,"1,062.2",7.1,38.8,321.3,2.1,,190.5
Dalvin Cook,MIN,268.4,"1,198.3",9.1,60.3,537.9,2.9,,241.0
Brian Hill,ATL,57.5,245.9,1.4,14.9,117.7,0.7,,48.3
Myles Gaskin,MIA,13.3,53.6,0.4,10.5,76.4,0.4,,17.7
Kenyan Drake,ARI,245.7,"1,113.9",7.3,51.2,428.1,2.4,,209.9
Alexander Mattison,MIN,113.1,484.1,3.4,16.8,138.4,0.9,,86.6
Rex Burkhead,NE,63.4,265.5,2.4,12.5,111.1,0.7,,55.0
Ezekiel Elliott,DAL,286.2,"1,286.1",10.5,58.8,461.1,3.2,,253.7
Damien Harris,NE,101.3,407.5,4.0,8.4,64.9,0.4,,71.6
Frank Gore,NYJ,122.1,482.3,2.1,13.5,102.4,0.7,,74.1
Duke Johnson Jr.,HOU,55.2,240.1,1.3,39.2,329.1,2.0,,76.7
Justin Jackson,LAC,45.7,189.3,2.2,8.2,52.2,0.3,,39.1
Devin Singletary,BUF,158.2,701.5,4.5,29.4,215.7,1.3,,124.4
Matt Breida,MIA,131.8,595.9,3.2,34.2,263.6,1.5,,112.4
Travis Homer,SEA,7.9,33.8,0.2,6.7,49.8,0.4,,12.0
D'Andre Swift,DET,133.2,566.5,3.1,31.9,238.3,1.3,,105.5
J.D. McKissic,WAS,22.0,90.2,0.6,3.6,27.4,0.2,,15.8
Jonathan Taylor,IND,236.9,"1,007.2",8.9,26.2,216.6,1.4,,181.6
Elijah McGuire,DAL,1.2,4.8,0.0,0.8,6.9,0.0,0.0,1.7
Jaylen Samuels,PIT,19.7,81.9,0.6,14.7,107.7,0.8,,26.8
Melvin Gordon III,DEN,232.5,977.9,7.3,31.9,248.7,1.4,,169.5
Justice Hill,BAL,13.3,54.1,0.5,5.0,36.4,0.3,,13.2
Ty Montgomery,NO,7.7,30.9,0.2,8.6,69.8,0.4,,13.8
Qadree Ollison,ATL,7.9,31.4,0.2,1.3,10.1,0.0,,5.8
Jamaal Williams,GB,55.9,227.7,1.4,23.0,185.1,1.3,,57.6
Darwin Thompson,KC,10.4,41.3,0.3,4.5,32.4,0.3,,10.9
Aaron Jones,GB,235.4,"1,076.5",9.3,42.8,345.7,2.2,,209.7
Buddy Howell,HOU,10.6,43.1,0.3,4.1,29.9,0.2,,10.2
Darrell Henderson,LAR,115.1,481.5,3.5,16.9,133.8,0.9,,87.1
Carlos Hyde,SEA,53.8,223.8,1.5,8.9,53.3,0.5,,38.5
Antonio Gibson,WAS,152.7,616.9,4.0,49.9,386.7,2.0,,132.9
Derek Watt,PIT,4.3,17.1,0.2,5.9,48.9,0.3,0.0,9.1
Saquon Barkley,NYG,276.3,"1,264.6",8.8,76.8,608.5,3.7,,260.8
Wayne Gallman,NYG,7.8,31.5,0.2,4.1,29.1,0.2,,8.1
Alex Armah,CAR,6.5,25.7,0.2,1.8,12.2,0.0,0.0,5.2
Tarik Cohen,CHI,92.9,392.4,2.7,58.9,343.8,2.8,,101.7
Jordan Howard,PHI,169.2,707.4,5.5,15.9,117.6,0.7,,119.8
Gus Edwards,BAL,19.9,88.8,0.6,4.1,29.6,0.2,,16.7
Anthony Sherman,KC,1.6,6.5,0.0,4.8,37.2,0.3,0.0,6.4
Darrel Williams,KC,90.2,359.1,3.0,13.2,100.3,0.8,,67.8
Cam Akers,LAR,189.4,759.6,6.8,33.9,259.7,1.6,,149.0
Ito Smith,ATL,63.2,263.0,1.7,23.9,174.0,1.1,,59.5
Jalen Richard,LV,70.8,313.8,2.1,18.1,152.6,0.8,,61.2
Andrew Beck,DEN,0.9,3.5,0.0,4.0,29.2,0.2,0.0,4.3
Boston Scott,PHI,115.9,489.9,3.9,15.5,115.2,0.8,,85.1
Sony Michel,NE,168.4,674.4,4.8,12.5,91.5,0.5,,106.8
Miles Sanders,PHI,259.1,"1,150.5",8.5,44.6,370.1,2.3,,214.8
Tevin Coleman,SF,120.5,518.2,5.3,16.8,143.1,1.0,,103.0
Reggie Bonnafon,CAR,47.4,192.9,1.2,4.6,33.2,0.2,0.0,30.0
Clyde Edwards-Helaire,KC,237.0,"1,030.6",8.3,58.7,450.2,3.9,,218.6
Troymaine Pope,LAC,4.5,17.9,0.2,2.1,13.4,0.1,0.0,4.9
Peyton Barber,WAS,41.0,155.8,1.0,7.1,50.5,0.3,,28.0
Todd Gurley II,ATL,204.9,912.1,9.0,35.4,298.5,1.8,,182.6
Kareem Hunt,CLE,113.2,509.5,4.2,51.6,447.4,2.8,,136.9
Latavius Murray,NO,134.4,543.8,5.4,10.8,76.0,0.6,,97.7
Le'Veon Bell,KC,199.3,800.9,4.9,38.8,290.5,1.6,,148.0
Trenton Cannon,CAR,1.2,4.8,0.0,0.8,6.0,0.0,,1.5
DeeJay Dallas,SEA,33.8,136.2,1.1,8.5,63.3,0.5,,28.3
Malcolm Brown,LAR,54.8,225.9,1.8,5.0,39.3,0.3,0.0,38.1
Bryce Love,WAS,150.5,639.2,3.5,18.5,144.6,0.7,,101.4
Alec Ingold,LV,4.6,18.2,0.2,4.6,33.4,0.2,,7.3
Bo Scarbrough,SEA,5.8,23.7,0.1,4.2,30.6,0.1,0.0,7.2
Leonard Fournette,TB,174.5,704.5,6.2,28.9,176.6,1.2,,132.0
Adrian Peterson,DET,95.9,381.2,2.0,11.2,81.3,0.4,,59.7
Mike Boone,MIN,10.1,41.8,0.3,3.8,30.0,0.2,,10.4
Ke'Shawn Vaughn,TB,13.0,54.0,0.4,4.4,27.6,0.2,,11.6
Cullen Gillaspia,HOU,1.4,5.6,0.0,0.9,6.4,0.0,0.0,1.7
Joe Mixon,CIN,285.3,"1,239.8",7.8,42.8,315.5,1.6,,212.4
Devontae Booker,LV,10.4,41.4,0.3,4.4,34.8,0.2,,10.8
James White,NE,36.8,153.9,1.3,61.5,538.7,3.9,,100.7
Nick Chubb,CLE,270.2,"1,289.6",10.4,27.3,209.2,1.0,,217.6
Rashaad Penny,SEA,38.2,167.4,1.1,13.4,105.6,0.8,,37.9
Christian McCaffrey,CAR,272.9,"1,237.0",7.6,97.5,773.1,4.2,,271.3
Patrick Laird,MIA,11.7,46.1,0.4,4.2,31.7,0.2,0.0,10.8
Taquan Mizzell,NYG,3.4,13.8,0.2,0.9,6.6,0.0,0.0,2.9
Giovani Bernard,CIN,70.9,293.2,1.6,19.9,136.9,0.7,,56.0
Chris Carson,SEA,252.1,"1,115.2",7.2,29.2,238.7,1.7,,181.9
Tony Brooks-James,ATL,3.4,13.6,0.2,0.8,6.1,0.0,0.0,2.9
Jakob Johnson,NE,1.4,5.6,0.0,1.8,13.9,0.1,0.0,2.8
Jordan Wilkins,IND,13.9,59.4,0.6,2.1,15.9,0.2,,11.2
Dion Lewis,NYG,25.0,106.3,0.6,13.0,91.4,0.6,,26.5
Khari Blasingame,TEN,2.3,9.5,0.1,4.0,30.7,0.2,,5.6
Alvin Kamara,NO,217.9,"1,013.3",9.7,77.8,535.3,4.3,,233.5
Ty Johnson,NYJ,2.0,8.1,0.0,0.9,5.8,0.0,0.0,1.9
James Robinson,JAC,103.3,438.2,2.4,13.3,101.3,0.6,,70.8
David Johnson,HOU,235.3,956.7,7.1,31.4,259.3,1.8,,172.3
Ronald Jones II,TB,135.4,575.6,4.7,22.2,150.2,0.9,,104.2
J.K. Dobbins,BAL,150.0,638.6,4.7,19.8,146.9,1.2,,112.6
D'Ernest Johnson,CLE,1.1,4.4,0.0,0.8,5.9,0.0,,1.5
Samaje Perine,CIN,3.9,15.3,0.2,0.8,6.2,0.0,0.0,2.9
Anthony McFarland Jr.,PIT,31.4,128.0,1.1,12.7,97.3,0.6,,31.9
Derrick Henry,TEN,299.2,"1,407.1",13.1,26.5,227.3,1.2,,244.1
Tyler Ervin,GB,2.1,8.6,0.0,2.0,15.2,0.2,0.0,3.2
Dwayne Washington,NO,5.0,20.0,0.2,0.9,6.4,0.0,0.0,3.8
Jonathan Williams,DET,1.6,6.4,0.0,1.2,8.6,0.0,0.0,2.0
Josh Jacobs,LV,282.7,"1,254.7",10.5,28.6,214.9,1.3,,216.7
Damarea Crockett,DEN,0.9,3.4,0.0,0.4,3.1,0.0,0.0,1.0
Devine Ozigbo,JAC,113.8,461.2,3.1,18.2,137.3,0.7,,80.8
Jerick McKinnon,SF,107.2,433.4,4.2,13.5,96.1,0.7,,80.7
Mike Davis,CAR,1.6,6.3,0.0,0.6,3.8,0.0,,1.4
Tony Pollard,DAL,95.2,412.8,3.1,29.8,235.5,1.6,,91.3
Chase Edmonds,ARI,78.3,318.8,2.2,19.1,148.3,0.8,,63.9
Zack Moss,BUF,151.8,637.9,4.4,27.4,201.7,1.2,,115.9
Taiwan Jones,BUF,0.6,2.2,0.0,0.8,6.9,0.0,0.0,1.2
Marlon Mack,IND,150.4,655.5,5.8,13.6,112.8,0.8,,116.2
Ameer Abdullah,MIN,4.7,19.0,0.2,3.8,29.1,0.2,,6.7
C.J. Ham,MIN,5.3,21.4,0.2,6.7,55.3,0.3,,10.6
AJ Dillon,GB,90.8,366.0,2.9,8.6,66.6,0.4,,61.0
Joshua Kelley,LAC,118.2,477.8,5.9,12.8,83.9,0.5,,92.3
Kerryon Johnson,DET,135.5,595.0,3.8,24.3,184.2,1.0,,105.0
Nick Bellore,SEA,0.9,3.8,0.0,0.8,5.9,0.0,0.0,1.4
David Montgomery,CHI,182.5,726.1,4.5,16.9,116.3,0.6,,113.6
Chris Thompson,JAC,49.5,211.5,1.2,49.0,373.1,1.9,,75.8
La'Mical Perine,NYJ,36.6,148.3,1.0,10.5,75.3,0.5,,30.6
Kenjon Barner,TB,0.7,2.9,0.0,0.5,3.7,0.0,0.0,1.0
Nyheim Hines,IND,44.9,187.8,1.6,29.8,234.0,1.5,,60.3
Ryquell Armstead,JAC,42.1,177.5,1.0,7.3,58.2,0.3,,31.2
Keith Smith,ATL,5.8,23.1,0.2,4.4,32.8,0.2,0.0,7.6
Austin Ekeler,LAC,182.7,821.6,7.2,67.4,574.2,2.8,,196.5
