Travis Kelce,KC,96.7,"1,156.7",8.1,1.0,162.2
,high,101.0,"1,195.0",9.2,1.0,166.1
,low,92.5,"1,118.3",7.0,1.0,161.5
George Kittle,SF,90.1,"1,145.7",7.0,1.0,154.8
,high,92.2,"1,207.0",8.1,1.0,158.0
,low,88.0,"1,084.5",6.0,1.0,156.7
Mark Andrews,BAL,63.6,856.0,8.3,1.0,133.4
,high,73.2,922.1,9.0,1.0,137.0
,low,54.0,790.0,7.6,1.0,133.0
Zach Ertz,PHI,90.5,884.6,6.5,1.0,125.6
,high,102.0,"1,016.0",7.0,1.0,143.6
,low,79.0,753.3,6.1,1.0,110.9
Darren Waller,LV,76.7,914.1,4.2,1.0,114.6
,high,82.0,"1,022.0",4.4,1.0,126.2
,low,71.4,806.2,4.0,1.0,107.5
Hunter Henry,LAC,66.0,759.4,5.9,1.0,109.5
,high,67.0,785.0,6.0,1.0,114.5
,low,65.0,733.8,5.9,1.0,107.9
Evan Engram,NYG,68.3,795.9,5.2,1.0,108.6
,high,69.0,810.0,5.3,1.0,112.0
,low,67.7,781.9,5.0,1.0,111.0
Jared Cook,NO,48.0,651.9,5.5,0.0,98.0
,high,48.0,679.0,7.0,0.0,109.9
,low,47.9,624.7,4.0,0.0,85.9
Rob Gronkowski,TB,48.6,715.0,4.3,1.0,95.3
,high,52.0,906.0,5.6,1.0,108.6
,low,45.3,524.0,3.0,1.0,85.6
Noah Fant,DEN,53.6,701.3,4.5,1.0,95.2
,high,54.2,788.0,5.0,1.0,108.8
,low,53.0,614.6,4.0,1.0,85.5
Tyler Higbee,LAR,61.4,701.0,4.3,1.0,93.8
,high,67.0,797.0,4.6,1.0,103.7
,low,55.8,605.0,4.0,1.0,87.7
Austin Hooper,CLE,59.1,655.7,4.8,1.0,92.5
,high,65.0,739.0,5.0,1.0,103.9
,low,53.1,572.4,4.7,1.0,85.4
Hayden Hurst,ATL,59.2,701.9,4.0,1.0,92.4
,high,65.0,812.0,4.1,1.0,105.2
,low,53.3,591.7,4.0,1.0,83.3
Jonnu Smith,TEN,49.9,590.7,5.2,1.0,88.0
,high,50.0,612.0,6.0,1.0,97.2
,low,49.8,569.5,4.3,1.0,83.2
Mike Gesicki,MIA,59.8,644.3,4.3,2.0,86.1
,high,62.5,650.6,4.5,2.0,91.7
,low,57.0,638.0,4.0,2.0,87.8
Blake Jarwin,DAL,49.6,569.1,4.7,0.0,84.9
,high,51.2,570.3,5.0,0.0,86.8
,low,48.0,568.0,4.3,0.0,82.6
Chris Herndon IV,NYJ,46.3,544.8,4.9,0.0,83.7
,high,48.6,562.0,6.0,0.0,92.2
,low,44.0,527.6,3.7,0.0,74.6
Dallas Goedert,PHI,54.4,533.9,5.0,1.0,81.3
,high,54.9,538.0,5.0,1.0,83.8
,low,54.0,529.9,5.0,1.0,82.0
T.J. Hockenson,DET,55.3,625.6,3.4,1.0,80.7
,high,55.5,646.0,3.7,1.0,82.7
