Travis Kelce,KC,92.2,"1,136.7",8.1,0.0,162.2
,high,92.5,"1,155.0",9.2,0.0,166.1
,low,92.0,"1,118.3",7.0,0.0,157.5
George Kittle,SF,88.6,"1,102.2",7.0,0.0,152.5
,high,92.2,"1,120.0",8.1,0.0,158.0
,low,85.0,"1,084.5",6.0,0.0,148.0
Mark Andrews,BAL,66.6,854.5,7.3,0.0,129.3
,high,73.2,922.1,7.6,0.0,137.0
,low,60.0,787.0,7.0,0.0,120.7
Zach Ertz,PHI,80.0,804.1,6.5,0.0,119.6
,high,81.0,855.0,7.0,0.0,127.5
,low,79.0,753.3,6.1,0.0,110.9
Darren Waller,LV,73.2,842.6,4.7,0.0,112.5
,high,75.0,879.0,5.0,0.0,117.9
,low,71.4,806.2,4.4,0.0,107.5
Evan Engram,NYG,62.3,711.4,5.2,0.0,102.2
,high,67.7,781.9,5.3,0.0,112.0
,low,57.0,641.0,5.0,0.0,94.1
Hunter Henry,LAC,60.0,674.9,4.9,0.0,97.0
,high,67.0,733.8,5.9,0.0,107.9
,low,53.0,616.0,4.0,0.0,85.6
Hayden Hurst,ATL,58.7,641.9,5.0,0.0,94.4
,high,64.0,692.0,6.0,0.0,105.2
,low,53.3,591.7,4.1,0.0,83.3
Tyler Higbee,LAR,57.9,620.0,4.8,0.0,90.7
,high,60.0,635.0,5.0,0.0,93.5
,low,55.8,605.0,4.6,0.0,87.7
Mike Gesicki,MIA,62.3,649.8,4.3,0.0,90.6
,high,62.5,650.6,4.5,0.0,91.7
,low,62.0,649.0,4.0,0.0,88.9
Rob Gronkowski,TB,44.6,555.5,5.8,0.0,90.3
,high,45.3,587.0,6.0,0.0,94.7
,low,44.0,524.0,5.6,0.0,85.6
Noah Fant,DEN,52.1,625.3,4.5,0.0,89.6
,high,54.2,636.0,5.0,0.0,93.6
,low,50.0,614.6,4.0,0.0,85.5
Jared Cook,NO,49.0,626.4,4.5,0.0,89.5
,high,50.0,628.0,5.0,0.0,92.8
,low,47.9,624.7,4.0,0.0,85.9
Jonnu Smith,TEN,49.9,581.2,4.7,0.0,86.1
,high,50.0,593.0,5.0,0.0,89.3
,low,49.8,569.5,4.3,0.0,83.2
Chris Herndon IV,NYJ,51.8,588.3,4.4,0.0,85.0
,high,55.0,649.0,5.0,0.0,94.9
,low,48.6,527.6,3.7,0.0,74.6
Austin Hooper,CLE,54.6,578.7,4.3,0.0,83.8
,high,56.0,585.0,4.7,0.0,85.4
,low,53.1,572.4,4.0,0.0,82.5
T.J. Hockenson,DET,53.3,600.1,3.9,0.0,83.2
,high,55.5,605.2,4.0,0.0,83.5
,low,51.0,595.0,3.7,0.0,82.7
Blake Jarwin,DAL,47.6,536.1,4.7,0.0,81.6
,high,51.2,570.3,5.0,0.0,82.6
,low,44.0,502.0,4.3,0.0,80.2
