Travis Kelce,KC,89.9,"1,107.1",8.5,0.0,161.6
,high,92.5,"1,118.3",9.2,0.0,166.1
,low,87.4,"1,095.8",7.8,0.0,159.2
George Kittle,SF,91.1,"1,012.1",6.9,0.0,142.6
,high,92.2,"1,084.5",8.1,0.0,158.0
,low,90.0,939.7,5.7,0.0,131.6
Mark Andrews,BAL,67.5,870.2,7.2,0.0,130.2
,high,73.2,922.1,7.6,0.0,137.0
,low,61.9,818.3,6.8,0.0,122.7
Zach Ertz,PHI,80.5,857.9,6.2,0.0,123.3
,high,81.9,962.5,6.4,0.0,135.0
,low,79.0,753.3,6.1,0.0,110.9
Darren Waller,LV,70.5,819.0,4.8,0.0,110.6
,high,71.4,831.8,5.2,0.0,115.7
,low,69.6,806.2,4.4,0.0,107.5
Evan Engram,NYG,67.2,770.2,5.0,0.0,107.1
,high,67.7,781.9,5.3,0.0,112.0
,low,66.7,758.6,4.7,0.0,108.6
Hunter Henry,LAC,61.8,720.3,5.5,0.0,105.0
,high,67.0,733.8,5.9,0.0,107.9
,low,56.6,706.9,5.1,0.0,101.6
Jared Cook,NO,51.3,687.4,5.3,0.0,100.3
,high,54.7,750.0,6.6,0.0,114.6
,low,47.9,624.7,4.0,0.0,85.9
Tyler Higbee,LAR,62.8,713.3,4.5,0.0,98.3
,high,69.8,821.5,4.6,0.0,108.9
,low,55.8,605.0,4.4,0.0,87.7
Mike Gesicki,MIA,56.0,618.6,4.3,0.0,87.8
,high,62.5,650.6,4.5,0.0,91.7
,low,49.4,586.6,4.1,0.0,83.4
Austin Hooper,CLE,52.2,603.4,4.4,0.0,86.6
,high,53.1,634.5,4.7,0.0,88.1
,low,51.4,572.4,4.1,0.0,85.4
Rob Gronkowski,TB,46.3,569.5,4.7,0.0,84.9
,high,47.3,615.1,5.6,0.0,85.6
,low,45.3,524.0,3.7,0.0,84.0
Noah Fant,DEN,50.0,588.2,4.0,0.0,83.0
,high,54.2,614.6,4.1,0.0,85.5
,low,45.7,561.9,4.0,0.0,83.3
Dallas Goedert,PHI,53.8,560.6,4.5,0.0,82.8
,high,54.9,591.3,5.0,0.0,83.0
,low,52.8,529.9,4.0,0.0,82.0
Hayden Hurst,ATL,50.3,557.2,3.9,0.0,79.2
,high,53.3,591.7,4.1,0.0,83.3
,low,47.3,522.8,3.8,0.0,75.0
T.J. Hockenson,DET,51.5,564.5,3.3,0.0,76.4
,high,55.5,605.2,3.7,0.0,82.7
,low,47.5,523.8,2.9,0.0,70.0
Chris Herndon IV,NYJ,46.1,542.7,3.6,0.0,75.8
,high,48.6,557.9,3.7,0.0,76.5
,low,43.6,527.6,3.4,0.0,74.6
Jack Doyle,IND,52.1,524.9,3.8,0.0,75.1
,high,57.3,569.8,3.8,0.0,79.3
,low,46.9,480.1,3.7,0.0,70.1
Jonnu Smith,TEN,44.0,509.6,3.8,0.0,73.9
,high,49.8,569.5,4.3,0.0,83.2
,low,38.2,449.7,3.4,0.0,67.6
Eric Ebron,PIT,45.7,506.6,3.7,0.0,73.0
,high,52.1,567.1,3.8,0.0,79.1
,low,39.3,446.0,3.7,0.0,67.1
Blake Jarwin,DAL,47.0,523.0,3.4,0.0,73.0
,high,51.2,570.3,4.3,0.0,82.6
,low,42.7,475.8,2.6,0.0,63.1
Ian Thomas,CAR,48.8,491.9,3.6,0.0,70.6
,high,52.7,537.9,3.8,0.0,76.8
,low,44.8,445.9,3.3,0.0,64.4
Kyle Rudolph,MIN,39.1,411.2,3.6,0.0,62.5
,high,41.8,435.5,4.1,0.0,68.1
,low,36.4,387.0,3.0,0.0,57.0
Greg Olsen,SEA,36.8,425.6,3.1,0.0,61.3
,high,41.8,461.9,3.9,0.0,69.8
,low,31.8,389.4,2.3,0.0,52.9
Tyler Eifert,JAC,34.1,429.3,2.7,0.0,58.9
,high,45.1,598.5,3.5,0.0,81.0
,low,23.0,260.0,1.8,0.0,37.0
Dawson Knox,BUF,32.6,398.6,2.5,0.0,55.0
,high,34.9,413.9,2.5,0.0,56.6
,low,30.3,383.3,2.5,0.0,53.2
Jimmy Graham,CHI,34.6,386.7,2.4,0.0,53.3
,high,37.5,433.7,2.8,0.0,55.8
,low,31.8,339.8,2.0,0.0,50.9
Jace Sternberger,GB,34.8,354.1,2.9,0.0,52.8
,high,42.9,462.5,3.6,0.0,67.5
,low,26.7,245.6,2.2,0.0,38.0
O.J. Howard,TB,28.9,377.7,2.3,0.0,51.6
,high,30.9,397.9,2.3,0.0,53.6
,low,26.9,357.5,2.3,0.0,49.1
Irv Smith Jr.,MIN,34.6,355.1,2.6,0.0,51.1
,high,35.6,384.6,2.9,0.0,55.7
,low,33.6,325.7,2.3,0.0,46.2
Gerald Everett,LAR,30.7,348.5,2.5,0.0,49.8
,high,31.2,351.8,2.8,0.0,51.5
,low,30.1,345.3,2.1,0.0,48.2
C.J. Uzomah,CIN,37.2,338.1,2.5,0.0,49.0
,high,37.5,339.9,2.6,0.0,49.4
,low,36.9,336.2,2.5,0.0,48.7
Darren Fells,HOU,30.7,319.4,2.7,0.0,48.0
,high,37.6,396.5,3.2,0.0,58.9
,low,23.8,242.3,2.2,0.0,37.1
David Njoku,CLE,27.2,312.2,2.3,0.0,45.2
,high,30.6,359.1,2.5,0.0,50.7
,low,23.8,265.2,2.2,0.0,39.7
Trey Burton,IND,27.5,293.3,2.5,0.0,44.5
,high,27.5,293.3,2.5,0.0,44.4
,low,27.5,293.3,2.5,0.0,44.4
Will Dissly,SEA,23.2,287.6,2.5,0.0,43.5
,high,25.4,290.9,2.7,0.0,44.4
,low,21.0,284.3,2.2,0.0,43.3
Devin Asiasi,NE,28.9,294.3,2.2,0.0,42.7
,high,39.3,383.5,2.7,0.0,54.8
,low,18.5,205.2,1.7,0.0,30.7
Dan Arnold,ARI,24.6,299.7,2.0,0.0,42.2
,high,33.0,408.3,2.8,0.0,57.7
,low,16.3,191.0,1.3,0.0,26.6
Nick Boyle,BAL,30.6,280.6,2.3,0.0,42.0
,high,31.1,291.2,2.7,0.0,43.5
,low,30.1,270.0,1.9,0.0,40.7
Jordan Akins,HOU,27.1,288.8,2.0,0.0,40.8
,high,29.2,310.2,2.4,0.0,45.1
,low,25.1,267.4,1.6,0.0,36.5
Jacob Hollister,SEA,25.3,271.5,2.0,0.0,39.4
,high,29.4,333.4,2.2,0.0,45.0
,low,21.3,209.5,1.9,0.0,33.8
Jaeden Graham,ATL,24.8,274.4,1.9,0.0,38.8
,high,24.8,274.4,1.9,0.0,38.7
,low,24.8,274.4,1.9,0.0,38.7
Vance McDonald,PIT,28.2,254.9,2.0,0.0,37.3
,high,34.2,282.2,2.1,0.0,39.7
,low,22.3,227.6,1.9,0.0,34.7
Cole Kmet,CHI,25.1,251.2,1.8,0.0,36.0
,high,28.8,283.4,2.1,0.0,40.5
,low,21.4,219.1,1.6,0.0,31.5
Taysom Hill,NO,21.0,216.8,2.1,0.0,34.2
,high,21.0,216.8,2.1,0.0,53.0
,low,21.0,216.8,2.1,0.0,53.0
Anthony Firkser,TEN,19.0,239.3,1.7,0.0,33.8
,high,20.3,253.7,1.7,0.0,35.2
,low,17.7,225.0,1.6,0.0,32.6
Jason Witten,LV,26.5,226.1,1.7,0.0,32.6
,high,26.5,226.1,1.7,0.0,32.3
,low,26.5,226.1,1.7,0.0,32.3
Ryan Griffin,NYJ,19.4,202.2,1.5,0.0,29.1
,high,25.3,269.9,1.9,0.0,38.4
,low,13.4,134.4,1.1,0.0,19.8
Maxx Williams,ARI,19.6,198.1,1.4,0.0,28.3
,high,19.6,198.1,1.4,0.0,28.1
,low,19.6,198.1,1.4,0.0,28.1
Jordan Reed,SF,19.1,206.3,1.3,0.0,28.2
,high,30.5,339.8,1.9,0.0,45.3
,low,7.8,72.8,0.7,0.0,11.1
Cameron Brate,TB,19.4,190.3,1.4,0.0,27.5
,high,20.2,225.3,1.6,0.0,29.9
,low,18.7,155.2,1.2,0.0,25.2
MyCole Pruitt,TEN,16.4,172.5,1.4,0.0,25.5
,high,16.4,172.5,1.4,0.0,25.5
,low,16.4,172.5,1.4,0.0,25.5
