Player,Team,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
John Brown,BUF,55.0,874.0,6.0,3.0,6.0,0.0,1.0,124.0
CeeDee Lamb,DAL,55.0,935.0,5.0,2.0,12.0,0.0,2.0,124.7
A.J. Brown,TEN,57.0,"1,079.0",7.0,4.0,60.0,1.0,1.0,161.9
Amari Cooper,DAL,72.0,"1,054.0",8.0,1.0,14.0,0.0,1.0,154.8
Cedrick Wilson,DAL,,,,0.0,0.0,0.0,0.0,
Darius Slayton,NYG,54.0,833.0,7.0,0.0,0.0,0.0,1.0,125.3
Julio Jones,ATL,114.0,"1,573.0",6.0,2.0,4.0,0.0,1.0,193.7
Courtland Sutton,DEN,64.0,"1,096.0",7.0,2.0,6.0,0.0,1.0,152.2
Breshad Perriman,NYJ,43.0,744.0,5.0,4.0,9.0,0.0,0.0,105.3
DeVante Parker,MIA,63.0,983.0,6.0,0.0,0.0,0.0,1.0,134.3
JuJu Smith-Schuster,PIT,88.0,"1,172.0",6.0,1.0,8.0,0.0,1.0,154.0
Adam Thielen,MIN,75.0,"1,056.0",8.0,7.0,26.0,1.0,1.0,162.2
Joe Reed,LAC,34.0,550.0,2.0,3.0,12.0,0.0,1.0,68.2
Equanimeous St. Brown,GB,,,,,,0.0,,
Danny Amendola,DET,72.0,754.0,4.0,1.0,0.0,0.0,1.0,99.4
Denzel Mims,NYJ,37.0,564.0,2.0,2.0,8.0,0.0,1.0,69.2
Marquise Brown,BAL,61.0,885.0,7.0,19.0,180.0,1.0,1.0,154.5
Greg Ward,PHI,53.0,595.0,3.0,3.0,14.0,0.0,1.0,78.9
Robert Woods,LAR,92.0,"1,164.0",4.0,20.0,111.0,1.0,1.0,157.5
Stefon Diggs,BUF,71.0,"1,014.0",6.0,11.0,99.0,0.0,1.0,147.3
Jarvis Landry,CLE,73.0,"1,026.0",5.0,2.0,38.0,1.0,1.0,142.4
Willie Snead IV,BAL,42.0,476.0,4.0,2.0,9.0,0.0,1.0,72.5
Mike Evans,TB,66.0,"1,215.0",7.0,0.0,0.0,0.0,1.0,163.5
Tyler Johnson,TB,,,,,,,0.0,
Deebo Samuel,SF,51.0,735.0,3.0,19.0,240.0,2.0,1.0,127.5
Phillip Dorsett II,SEA,,,,,,,,
Auden Tate,CIN,38.0,541.0,2.0,0.0,0.0,0.0,1.0,66.1
Anthony Miller,CHI,57.0,744.0,6.0,3.0,11.0,0.0,1.0,111.5
Michael Thomas,NO,135.0,"1,610.0",9.0,0.0,-3.0,0.0,1.0,214.7
Davante Adams,GB,110.0,"1,422.0",11.0,0.0,0.0,0.0,1.0,208.2
D.J. Moore,CAR,81.0,"1,256.0",4.0,9.0,98.0,0.0,2.0,159.4
Curtis Samuel,CAR,41.0,505.0,5.0,22.0,168.0,2.0,1.0,109.3
DeSean Jackson,PHI,47.0,751.0,5.0,7.0,36.0,1.0,1.0,114.7
Cooper Kupp,LAR,89.0,"1,084.0",10.0,4.0,17.0,0.0,1.0,170.1
Chris Conley,JAC,44.0,559.0,3.0,0.0,0.0,0.0,1.0,73.9
Riley Ridley,CHI,,,,0.0,0.0,0.0,0.0,
Antonio Gandy-Golden,WAS,,,,,,,,
Andre Roberts,BUF,,,,0.0,0.0,0.0,0.0,
Russell Gage,ATL,,,,,,,,
Nelson Agholor,LV,55.0,608.0,3.0,3.0,31.0,0.0,1.0,81.9
N'Keal Harry,NE,44.0,543.0,6.0,12.0,86.0,0.0,1.0,98.9
Marquez Valdes-Scantling,GB,32.0,516.0,2.0,2.0,21.0,0.0,0.0,65.7
Michael Pittman Jr.,IND,45.0,690.0,4.0,3.0,13.0,0.0,1.0,94.3
Tre'Quan Smith,NO,30.0,409.0,6.0,1.0,3.0,0.0,0.0,77.2
Kalif Raymond,TEN,,,,0.0,0.0,0.0,,
Laviska Shenault Jr.,JAC,50.0,780.0,3.0,19.0,132.0,0.0,2.0,109.2
Henry Ruggs III,LV,50.0,880.0,5.0,2.0,11.0,0.0,2.0,119.1
Odell Beckham Jr.,CLE,76.0,"1,155.0",6.0,5.0,19.0,0.0,1.0,153.4
Larry Fitzgerald,ARI,51.0,544.0,4.0,0.0,0.0,0.0,1.0,78.4
Bryan Edwards,LV,50.0,734.0,3.0,2.0,11.0,0.0,2.0,92.5
Cole Beasley,BUF,63.0,723.0,5.0,0.0,0.0,0.0,1.0,102.3
KJ Hamler,DEN,33.0,518.0,2.0,2.0,8.0,0.0,1.0,64.6
Golden Tate,NYG,68.0,821.0,5.0,3.0,26.0,0.0,1.0,114.7
Alshon Jeffery,PHI,36.0,448.0,3.0,1.0,1.0,1.0,0.0,68.9
Sammy Watkins,KC,67.0,885.0,4.0,5.0,43.0,0.0,1.0,116.8
Adam Humphries,TEN,46.0,466.0,3.0,2.0,9.0,0.0,1.0,65.5
Christian Kirk,ARI,73.0,848.0,5.0,8.0,79.0,0.0,1.0,122.7
Allen Lazard,GB,59.0,820.0,4.0,2.0,29.0,0.0,1.0,108.9
T.Y. Hilton,IND,71.0,"1,106.0",7.0,0.0,0.0,0.0,1.0,152.6
