Michael Thomas,NO,130.9,"1,582.1",9.3,0.0,-3.0,0.0,0.5,212.8
,high,135.0,"1,610.0",9.6,0.0,-3.0,0.0,0.0,214.7
,low,126.9,"1,554.1",9.0,0.0,-3.0,0.0,1.0,213.3
Davante Adams,GB,108.4,"1,380.4",9.9,0.0,0.0,0.0,0.5,196.6
,high,110.0,"1,422.0",11.0,0.0,0.0,0.0,0.0,208.2
,low,106.8,"1,338.9",8.9,0.0,0.0,0.0,1.0,187.0
Julio Jones,ATL,107.6,"1,511.2",7.1,2.0,4.0,0.0,0.5,192.9
,high,114.0,"1,573.0",8.1,2.0,4.0,0.0,0.0,194.7
,low,101.1,"1,449.4",6.0,2.0,4.0,0.0,1.0,193.7
Tyreek Hill,KC,84.5,"1,196.5",8.3,17.0,106.0,1.0,0.5,184.9
,high,86.0,"1,269.0",9.0,17.0,106.0,1.0,0.0,197.5
,low,83.0,"1,124.0",7.6,17.0,106.0,1.0,1.0,172.7
Chris Godwin,TB,79.7,"1,229.9",8.1,1.0,5.0,0.0,0.5,171.1
,high,84.4,"1,284.8",8.2,1.0,5.0,0.0,0.0,178.7
,low,75.0,"1,175.0",8.0,1.0,5.0,0.0,1.0,166.0
D.J. Moore,CAR,86.1,"1,237.3",5.5,9.0,98.0,0.0,1.0,164.4
,high,91.1,"1,256.0",7.0,9.0,98.0,0.0,0.1,171.0
,low,81.0,"1,218.6",4.0,9.0,98.0,0.0,2.0,159.4
DeAndre Hopkins,ARI,94.3,"1,185.4",7.5,1.0,4.0,0.0,0.5,162.8
,high,102.0,"1,188.0",8.0,1.0,4.0,0.0,0.0,167.2
,low,86.6,"1,182.7",7.0,1.0,4.0,0.0,1.0,161.2
Mike Evans,TB,71.7,"1,199.6",7.3,0.0,0.0,0.0,0.5,162.8
,high,77.3,"1,215.0",7.6,0.0,0.0,0.0,0.0,164.5
,low,66.0,"1,184.1",7.0,0.0,0.0,0.0,1.0,163.5
Cooper Kupp,LAR,89.1,"1,093.5",8.8,4.0,17.0,0.0,0.5,162.7
,high,89.1,"1,102.9",10.0,4.0,17.0,0.0,0.0,170.1
,low,89.0,"1,084.0",7.6,4.0,17.0,0.0,1.0,156.6
Kenny Golladay,DET,67.4,"1,128.0",8.3,1.0,5.0,0.0,0.5,161.8
,high,69.0,"1,236.0",9.0,1.0,5.0,0.0,0.0,178.1
,low,65.7,"1,019.9",7.5,1.0,5.0,0.0,1.0,147.4
Tyler Lockett,SEA,75.2,"1,129.6",7.7,8.0,28.0,0.0,0.5,161.0
,high,76.0,"1,134.3",8.0,8.0,28.0,0.0,0.0,163.3
,low,74.4,"1,125.0",7.4,8.0,28.0,0.0,1.0,162.5
Robert Woods,LAR,90.5,"1,140.2",5.1,20.0,111.0,1.0,0.5,160.9
,high,92.0,"1,164.0",6.3,20.0,111.0,1.0,0.1,164.9
,low,89.0,"1,116.3",4.0,20.0,111.0,1.0,1.0,157.5
A.J. Brown,TEN,58.5,"1,064.3",6.9,4.0,60.0,1.0,0.5,159.1
,high,59.9,"1,079.0",7.0,4.0,60.0,1.0,0.0,161.9
,low,57.0,"1,049.5",6.9,4.0,60.0,1.0,1.0,149.1
Calvin Ridley,ATL,77.5,"1,070.2",8.1,4.0,31.0,0.0,0.5,157.7
,high,80.0,"1,127.4",9.0,4.0,31.0,0.0,0.0,158.4
,low,75.0,"1,013.0",7.2,4.0,31.0,0.0,1.0,158.1
Amari Cooper,DAL,76.0,"1,112.3",7.3,1.0,14.0,0.0,0.5,155.5
,high,79.9,"1,170.6",8.0,1.0,14.0,0.0,0.0,157.9
,low,72.0,"1,054.0",6.6,1.0,14.0,0.0,1.0,154.8
Keenan Allen,LAC,88.3,"1,111.9",6.3,8.0,57.0,0.0,0.5,153.6
,high,91.0,"1,161.0",6.6,8.0,57.0,0.0,0.0,157.8
,low,85.7,"1,062.9",6.0,8.0,57.0,0.0,1.0,147.9
Adam Thielen,MIN,73.1,"1,019.2",7.3,7.0,26.0,1.0,0.5,153.4
,high,75.0,"1,056.0",8.0,7.0,26.0,1.0,0.0,162.2
,low,71.2,982.5,6.6,7.0,26.0,1.0,1.0,140.8
Marquise Brown,BAL,60.9,857.0,6.4,19.0,180.0,1.0,0.5,146.9
,high,61.0,885.0,7.0,19.0,180.0,1.0,0.0,154.5
,low,60.7,829.0,5.7,19.0,180.0,1.0,1.0,117.5
D.K. Metcalf,SEA,66.3,"1,043.2",7.4,2.0,10.0,0.0,1.5,146.7
,high,66.5,"1,054.0",8.0,2.0,10.0,0.0,0.0,154.4
,low,66.0,"1,032.4",6.8,2.0,10.0,0.0,3.0,144.7
DeVante Parker,MIA,68.5,"1,064.8",6.8,0.0,0.0,0.0,0.5,146.5
,high,74.1,"1,146.7",7.7,0.0,0.0,0.0,0.0,160.7
,low,63.0,983.0,6.0,0.0,0.0,0.0,1.0,134.3
Terry McLaurin,WAS,69.3,"1,056.4",6.9,0.0,0.0,0.0,0.5,146.2
,high,72.0,"1,072.0",7.0,0.0,0.0,0.0,0.0,149.2
,low,66.5,"1,040.7",6.9,0.0,0.0,0.0,1.0,145.4
Michael Gallup,DAL,65.3,"1,083.5",6.4,0.0,0.0,0.0,0.5,145.7
,high,68.7,"1,095.0",6.8,0.0,0.0,0.0,0.0,150.2
,low,62.0,"1,072.0",6.0,0.0,0.0,0.0,1.0,143.2
