Player,Team,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Zay Jones,LV,13.9,151.3,0.8,0.0,,0.0,0.0,19.8
John Brown,BUF,56.9,906.7,6.2,,,,0.0,129.3
Gunner Olszewski,NE,3.4,54.6,0.3,0.0,0.0,0.0,0.0,7.4
CeeDee Lamb,DAL,62.2,822.6,4.8,,,,0.0,112.6
Cody Hollister,TEN,4.3,93.2,0.4,0.0,0.0,0.0,0.0,12.2
Amari Cooper,DAL,79.9,"1,170.6",6.6,,,,0.0,157.9
A.J. Brown,TEN,59.9,"1,049.5",6.9,,,,0.0,149.1
Keke Coutee,HOU,3.5,34.3,0.2,,,,0.0,5.0
Cedrick Wilson,DAL,9.0,117.8,0.8,0.0,0.0,0.0,0.0,16.6
Nsimba Webster,LAR,4.6,71.4,0.4,0.0,0.0,0.0,0.0,11.3
Darius Slayton,NYG,58.8,863.2,6.9,0.0,0.0,0.0,0.0,128.0
Julio Jones,ATL,101.1,"1,449.4",8.1,,,0.0,0.0,194.7
Courtland Sutton,DEN,66.7,927.2,5.6,,,,0.0,129.4
Breshad Perriman,NYJ,49.1,"1,017.2",7.1,,,,0.0,146.1
DeVante Parker,MIA,74.1,"1,146.7",7.7,,,0.0,0.0,160.7
JuJu Smith-Schuster,PIT,67.1,754.0,4.7,,,0.0,0.0,103.4
Adam Thielen,MIN,71.2,982.5,6.6,,,,0.0,140.8
Equanimeous St. Brown,GB,33.0,433.4,2.8,,,0.0,0.0,60.6
Joe Reed,LAC,15.0,182.2,1.1,,,,0.0,25.3
Danny Amendola,DET,63.9,739.7,4.2,,0.0,0.0,0.0,99.5
Denzel Mims,NYJ,17.3,224.2,1.4,,,0.0,0.0,32.0
Marquise Brown,BAL,60.7,829.0,5.7,,,,0.0,117.5
Greg Ward,PHI,13.9,174.1,1.0,,,,0.0,24.1
Robert Woods,LAR,89.0,"1,116.3",6.3,,,,0.1,164.9
Stefon Diggs,BUF,58.4,948.1,6.4,,,,0.0,138.9
C.J. Board,NYG,8.0,111.0,0.6,0.0,0.0,0.0,0.0,15.1
Dezmon Patmon,IND,13.5,162.8,1.0,0.0,0.0,0.0,0.0,23.0
Jarvis Landry,CLE,76.8,949.0,5.8,,,,0.0,130.5
Willie Snead IV,BAL,35.6,427.0,2.7,,,,0.0,60.5
Mike Evans,TB,77.3,"1,184.1",7.6,,,0.0,0.0,164.5
Freddie Swain,SEA,12.6,164.0,1.0,0.0,0.0,0.0,0.0,23.3
Tyler Johnson,TB,18.2,243.8,1.3,,,,0.0,32.8
John Hightower,PHI,8.7,105.2,0.7,0.0,0.0,0.0,0.0,15.2
Deebo Samuel,SF,68.3,832.3,4.3,,,,0.0,124.2
Braxton Berrios,NYJ,9.3,119.9,0.7,,,0.0,0.0,18.0
Phillip Dorsett II,SEA,17.9,290.9,1.3,,,,0.0,40.3
Auden Tate,CIN,15.1,220.0,1.3,0.0,0.0,0.0,0.0,29.8
Anthony Miller,CHI,57.3,753.2,4.6,,,,0.0,105.4
Michael Thomas,NO,126.9,"1,554.1",9.6,,,0.0,0.0,213.3
Trent Taylor,SF,13.5,165.2,0.7,0.0,0.0,0.0,0.0,20.7
Davante Adams,GB,106.8,"1,338.9",8.9,0.0,0.0,0.0,0.0,187.0
D.J. Moore,CAR,91.1,"1,218.6",7.0,,,,0.1,171.0
Curtis Samuel,CAR,43.7,558.7,3.2,,,,0.1,95.8
DeSean Jackson,PHI,59.9,849.1,5.4,,,,0.0,121.8
Cooper Kupp,LAR,89.1,"1,102.9",7.6,,,,0.0,156.6
Chris Conley,JAC,47.8,699.3,4.3,0.0,0.0,0.0,0.0,95.8
Antonio Gandy-Golden,WAS,18.9,268.6,1.3,,,,0.0,35.7
Riley Ridley,CHI,11.9,152.0,1.0,0.0,0.0,0.0,0.0,21.1
JoJo Natson,CLE,0.1,27.9,0.1,0.0,0.0,0.0,0.0,3.3
Noah Brown,DAL,11.4,148.0,0.9,0.0,0.0,0.0,0.0,20.4
Andre Roberts,BUF,3.9,54.1,0.2,0.0,0.0,0.0,0.0,7.0
Russell Gage,ATL,55.1,603.7,2.9,,,,0.0,82.6
Nelson Agholor,LV,12.5,139.5,0.5,,,0.0,0.0,17.4
Isaiah Wright,WAS,9.1,125.7,0.7,0.0,0.0,0.0,0.0,17.5
N'Keal Harry,NE,53.4,614.0,3.7,,,,0.1,92.4
Marquez Valdes-Scantling,GB,8.3,145.2,0.7,,,0.0,0.0,18.7
Rico Gafford,LV,3.5,39.4,0.3,0.0,0.0,0.0,0.0,5.9
Michael Pittman Jr.,IND,44.5,574.6,3.5,,,0.0,0.0,79.6
Olamide Zaccheaus,ATL,8.7,115.2,0.8,0.0,0.0,0.0,0.0,17.9
Tre'Quan Smith,NO,27.2,402.1,2.8,,,0.0,0.0,57.2
Kalif Raymond,TEN,11.5,224.2,1.4,0.0,0.0,0.0,0.0,32.4
Laviska Shenault Jr.,JAC,19.5,251.3,1.6,,,,0.0,36.1
Henry Ruggs III,LV,48.9,661.8,4.2,,,,0.0,93.1
Odell Beckham Jr.,CLE,68.3,906.2,5.9,,,,0.0,127.0
Larry Fitzgerald,ARI,54.8,639.4,3.4,0.0,0.0,0.0,0.0,84.8
Bryan Edwards,LV,49.4,613.6,3.2,,,0.0,0.0,83.2
Brandon Zylstra,CAR,2.5,30.7,0.2,0.0,0.0,0.0,0.0,4.5
Dante Pettis,NYG,1.4,50.8,0.2,0.0,0.0,0.0,0.0,7.4
KhaDarel Hodge,CLE,13.2,166.6,0.9,0.0,0.0,0.0,0.0,22.1
Cole Beasley,BUF,61.6,843.2,4.9,0.0,0.0,0.0,0.0,113.9
KJ Hamler,DEN,29.9,404.2,2.6,,,0.0,0.0,58.0
Donovan Peoples-Jones,CLE,0.9,11.5,0.1,0.0,0.0,0.0,0.0,1.7
Golden Tate,NYG,69.1,851.4,6.0,,,,0.0,122.0
Jalen Guyton,LAC,12.3,166.0,0.9,0.0,0.0,0.0,0.0,22.1
Alshon Jeffery,PHI,45.5,595.0,3.6,,,,0.0,81.3
Sammy Watkins,KC,52.6,834.8,4.2,,,,0.0,110.3
Adam Humphries,TEN,45.7,514.2,3.3,,,0.0,0.0,71.8
Christian Kirk,ARI,72.7,758.9,4.3,,,,0.0,106.1
