Michael Thomas,NO,125.9,"1,499.9",9.6,0.9,5.8,0.0,0.0,208.2
,high,126.9,"1,554.1",9.7,0.9,5.8,0.0,0.0,213.3
,low,125.0,"1,445.6",9.6,0.9,5.8,0.0,0.0,203.2
Davante Adams,GB,108.4,"1,330.9",9.5,0.0,0.0,0.0,0.0,189.8
,high,110.1,"1,338.9",10.1,0.0,0.0,0.0,0.0,191.9
,low,106.8,"1,323.0",8.9,0.0,0.0,0.0,0.0,187.0
Julio Jones,ATL,99.7,"1,408.7",7.2,0.3,2.3,0.0,0.0,184.1
,high,101.1,"1,449.4",8.1,0.3,2.3,0.0,0.0,194.7
,low,98.4,"1,368.0",6.2,0.3,2.3,0.0,0.0,173.2
Chris Godwin,TB,89.3,"1,274.6",7.9,2.2,14.9,0.2,0.0,177.5
,high,94.3,"1,284.8",8.2,2.2,14.9,0.2,0.0,178.7
,low,84.4,"1,264.4",7.7,2.2,14.9,0.2,0.0,172.9
Tyreek Hill,KC,83.4,"1,188.1",8.3,7.4,49.9,0.3,0.0,175.7
,high,83.9,"1,252.2",9.1,7.4,49.9,0.3,0.0,187.1
,low,83.0,"1,124.0",7.6,7.4,49.9,0.3,0.0,172.7
DeAndre Hopkins,ARI,93.5,"1,210.9",7.3,0.5,3.6,0.0,0.0,165.2
,high,100.5,"1,239.0",7.6,0.5,3.6,0.0,0.0,169.6
,low,86.6,"1,182.7",7.0,0.5,3.6,0.0,0.0,161.2
Mike Evans,TB,80.9,"1,177.6",7.6,1.4,9.4,0.0,0.0,164.6
,high,84.4,"1,184.1",7.6,1.4,9.4,0.0,0.0,164.5
,low,77.3,"1,171.0",7.6,1.4,9.4,0.0,0.0,163.6
D.J. Moore,CAR,89.6,"1,192.9",6.4,7.3,49.4,0.2,0.1,163.6
,high,91.1,"1,218.6",7.0,7.3,49.4,0.2,0.1,171.0
,low,88.2,"1,167.2",5.8,7.3,49.4,0.2,0.1,155.0
Kenny Golladay,DET,72.7,"1,132.4",7.2,0.0,0.0,0.0,0.0,156.5
,high,79.7,"1,244.8",7.5,0.0,0.0,0.0,0.0,165.3
,low,65.7,"1,019.9",6.9,0.0,0.0,0.0,0.0,147.4
Amari Cooper,DAL,79.7,"1,133.3",7.0,0.0,0.0,0.0,0.0,155.6
,high,79.9,"1,170.6",7.5,0.0,0.0,0.0,0.0,157.9
