Player,Team,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Zay Jones,LV,12.1,128.1,1.0,0.0,0.3,0.0,0.0,19.0
John Brown,BUF,50.3,662.2,4.3,5.0,33.7,0.2,,96.8
Robert Foster,WAS,6.6,87.9,0.5,0.0,0.0,0.0,0.0,11.6
Gunner Olszewski,NE,9.4,124.3,0.7,0.0,0.0,0.0,,16.2
CeeDee Lamb,DAL,57.7,786.6,5.1,0.0,0.0,0.0,,108.7
Alexander Hollins,MIN,3.8,53.2,0.3,0.0,0.0,0.0,0.0,6.9
Chad Williams,KC,2.5,33.4,0.2,0.0,0.0,0.0,0.0,4.4
Cody Hollister,TEN,4.6,59.0,0.3,0.0,0.0,0.0,0.0,7.7
A.J. Brown,TEN,69.5,"1,106.8",6.1,2.4,15.8,0.2,,148.9
Amari Cooper,DAL,79.4,"1,096.1",7.5,0.0,0.0,0.0,,154.0
Devin Smith,HOU,9.9,136.4,0.8,0.0,0.0,0.0,0.0,18.0
Keke Coutee,HOU,8.0,89.9,0.6,3.4,23.0,0.2,0.0,15.5
Cedrick Wilson,DAL,2.1,27.3,0.2,0.0,0.0,0.0,0.0,3.6
Nsimba Webster,LAR,1.1,13.7,0.1,0.0,0.0,0.0,0.0,1.8
Darius Slayton,NYG,50.5,723.3,4.2,0.0,0.0,0.0,,97.5
Julio Jones,ATL,98.4,"1,368.0",6.2,0.3,2.3,0.0,,173.2
Courtland Sutton,DEN,76.6,"1,061.1",5.6,0.3,2.6,0.0,,138.9
Breshad Perriman,NYJ,50.8,732.3,4.5,2.0,14.1,0.1,,102.3
DeVante Parker,MIA,75.6,"1,055.4",5.1,1.1,7.9,0.0,,137.2
JuJu Smith-Schuster,PIT,89.3,"1,163.0",6.6,0.0,0.0,0.0,,155.3
Jeff Smith,NYJ,4.0,49.4,0.3,0.0,0.0,0.0,0.0,6.4
Adam Thielen,MIN,82.0,"1,091.4",6.7,4.6,30.3,0.2,,153.8
Diontae Spencer,DEN,4.0,47.8,0.2,0.0,0.0,0.0,0.0,5.9
Joe Reed,LAC,3.1,35.3,0.2,0.0,0.0,0.0,,4.8
Equanimeous St. Brown,GB,16.5,227.3,1.2,0.6,4.0,0.0,,29.4
Danny Amendola,DET,45.8,497.9,2.1,0.0,0.0,0.0,,61.0
Denzel Mims,NYJ,44.9,547.0,2.9,0.0,0.0,0.0,,70.1
Marcus Johnson,IND,5.1,72.8,0.4,0.0,0.0,0.0,0.0,9.4
Marquise Brown,BAL,67.0,816.3,6.7,0.0,0.0,0.0,,121.3
Jason Moore,LAC,7.4,85.2,0.5,0.0,0.0,0.0,0.0,10.9
Greg Ward,PHI,7.1,76.0,0.6,1.3,8.7,0.0,,12.2
Mike Thomas,CIN,1.7,21.7,0.2,0.0,0.0,0.0,0.0,2.7
Robert Woods,LAR,83.5,"1,016.6",5.2,10.9,75.0,0.5,,144.0
Isaac Whitney,TB,3.7,46.2,0.3,0.0,0.0,0.0,0.0,6.0
Stefon Diggs,BUF,74.0,"1,009.5",5.2,7.7,52.2,0.4,,137.8
C.J. Board,NYG,3.5,44.5,0.2,0.0,0.0,0.0,0.0,5.5
Jarvis Landry,CLE,69.3,958.8,5.2,0.0,0.0,0.0,,126.6
Willie Snead IV,BAL,23.5,250.0,1.9,0.0,0.0,0.0,,35.9
Mike Evans,TB,84.4,"1,171.0",7.6,1.4,9.4,0.0,,163.6
Tyler Johnson,TB,5.8,63.4,0.3,2.0,13.5,0.2,0.0,10.1
Deebo Samuel,SF,62.8,838.5,5.5,0.0,0.0,0.0,,115.8
Braxton Berrios,NYJ,5.7,70.9,0.4,0.0,0.0,0.0,0.0,9.0
Phillip Dorsett II,SEA,24.9,303.1,2.5,0.2,0.7,0.0,,44.7
Keith Kirkwood,CAR,3.7,47.5,0.2,0.0,0.0,0.0,0.0,6.0
Auden Tate,CIN,25.1,307.1,1.6,0.0,0.0,0.0,,39.7
Anthony Miller,CHI,59.9,717.6,4.5,5.0,31.8,0.2,,101.9
Michael Thomas,NO,125.0,"1,445.6",9.7,0.9,5.8,0.0,,203.2
Steven Mitchell Jr.,HOU,3.4,42.1,0.2,0.0,0.0,0.0,0.0,5.5
Davante Adams,GB,110.1,"1,323.0",10.1,0.0,0.0,0.0,,191.9
D.J. Moore,CAR,88.2,"1,167.2",5.8,7.3,49.4,0.2,,155.0
Curtis Samuel,CAR,47.2,548.1,3.7,12.9,86.8,0.4,,87.7
DeSean Jackson,PHI,51.8,730.6,4.9,5.8,38.6,0.3,,107.8
Cooper Kupp,LAR,85.0,"1,009.8",6.5,0.0,0.0,0.0,,138.5
Antonio Gandy-Golden,WAS,41.6,548.7,2.6,0.0,0.0,0.0,,68.4
Chris Conley,JAC,34.6,471.5,2.3,0.0,0.0,0.0,,60.5
Riley Ridley,CHI,6.8,82.5,0.4,0.0,0.0,0.0,0.0,10.5
JoJo Natson,CLE,1.0,12.1,0.0,0.0,0.0,0.0,0.0,1.6
Noah Brown,DAL,3.4,44.8,0.3,0.0,0.0,0.0,0.0,6.0
Andre Roberts,BUF,6.8,78.2,0.5,0.0,0.0,0.0,0.0,10.1
Russell Gage,ATL,29.3,327.0,2.0,6.7,44.9,0.2,,50.3
Nelson Agholor,LV,16.6,185.4,1.3,1.3,9.0,0.0,,27.2
