Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Kirkpatrick, Dre",ARI,PHI,DB,5.0,1.3,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,6.5
2,"Moore, Kenny",IND,HOU,DB,4.7,1.0,0.1,0.6,0.2,0.0,0.0,0.0,0.0,0.0,6.3
3,"Diggs, Trevon",DAL,SFO,DB,4.3,0.8,0.1,1.0,0.2,0.1,0.0,0.0,0.0,0.0,6.2
4,"Davis, Carlton",TBB,@ATL,DB,3.5,1.2,0.0,1.4,0.3,0.0,0.0,0.0,0.0,0.0,6.1
5,"Humphrey, Marlon",BAL,JAC,DB,4.5,0.8,0.1,0.6,0.1,0.3,0.1,0.0,0.0,0.0,6.1
6,"Johnson, Taron",BUF,@DEN,DB,4.9,1.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7,"Butler, Malcolm",TEN,DET,DB,4.4,1.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,5.9
8,"Haden, Joe",PIT,@CIN,DB,4.0,0.7,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,5.8
9,"Gladney, Jeff",MIN,CHI,DB,4.7,1.2,0.0,0.3,0.0,0.1,0.0,0.0,1.0,0.0,5.7
10,"White, Tre'Davious",BUF,@DEN,DB,3.8,1.1,0.1,0.7,0.3,0.1,0.1,0.0,0.0,0.0,5.7
11,"Ryan, Logan",NYG,CLE,DB,3.8,1.1,0.1,0.7,0.1,0.2,0.0,0.0,0.0,0.0,5.6
12,"Hilton, Mike",PIT,@CIN,DB,4.0,0.7,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.0,5.5
13,"Jackson, Adoree",TEN,DET,DB,3.7,1.2,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,5.5
14,"Dean, Jamel",TBB,@ATL,DB,3.5,1.1,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,5.4
15,"Jones, Sidney",JAC,@BAL,DB,3.8,1.1,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,5.4
16,"Peterson, Patrick",ARI,PHI,DB,4.0,0.6,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,5.4
17,"Mullen, Trayvon",LVR,LAC,DB,4.0,0.6,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,5.3
18,"Howard, Xavien",MIA,NEP,DB,2.8,0.8,0.0,1.1,0.5,0.0,0.0,0.0,0.0,0.0,5.3
19,"Flowers, Tre",SEA,@WAS,DB,4.0,1.1,0.1,0.4,0.1,0.1,0.0,0.0,0.0,0.0,5.2
20,"Roby, Bradley",HOU,@IND,DB,3.8,0.5,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,5.2
21,"Norman, Josh",BUF,@DEN,DB,4.0,1.0,0.0,0.5,0.0,0.1,0.1,0.0,0.0,0.0,5.1
22,"Austin, Blessuan",NYJ,@LAR,DB,3.5,1.0,0.0,0.6,0.1,0.2,0.0,0.0,0.0,0.0,5.0
23,"Maddox, Avonte",PHI,@ARI,DB,4.2,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0
24,"Ward, Denzel",CLE,@NYG,DB,3.2,0.6,0.0,1.1,0.2,0.1,0.0,0.0,0.0,0.0,5.0
25,"Hill, Troy",LAR,NYJ,DB,3.6,1.1,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,5.0
26,"Moseley, Emmanuel",SFO,@DAL,DB,3.4,0.6,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,4.9
27,"Peters, Marcus",BAL,JAC,DB,2.9,0.6,0.1,0.7,0.3,0.2,0.1,0.0,0.0,0.0,4.9
28,"Henderson, CJ",JAC,@BAL,DB,3.4,1.3,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,4.8
29,"Murphy, Byron",ARI,PHI,DB,3.7,0.6,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.8
30,"Fuller, Kendall",WAS,SEA,DB,3.1,1.1,0.1,0.6,0.2,0.1,0.0,0.0,0.0,0.0,4.8
31,"Trufant, Desmond",DET,@TEN,DB,3.1,0.9,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.0,4.8
32,"Ya-Sin, Rock",IND,HOU,DB,3.4,0.7,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,4.7
33,"Reed, D.J.",SEA,@WAS,DB,3.4,1.0,0.0,0.4,0.1,0.1,0.1,0.0,0.0,4.0,4.7
34,"Griffin, Shaq",SEA,@WAS,DB,3.3,1.1,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,4.7
35,"Poole, Brian",NYJ,@LAR,DB,2.9,1.2,0.1,0.6,0.2,0.0,0.0,0.0,0.0,0.0,4.7
36,"Callahan, Bryce",DEN,BUF,DB,3.5,0.7,0.0,0.5,0.2,0.0,0.0,0.0,1.0,0.0,4.7
37,"Fuller, Kyle",CHI,@MIN,DB,3.4,0.6,0.0,0.7,0.1,0.1,0.0,0.0,0.0,0.0,4.7
38,"Terrell, A.J.",ATL,TBB,DB,3.3,1.7,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,4.6
39,"Okudah, Jeff",DET,@TEN,DB,3.7,0.8,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,4.6
40,"Ford, Mike",DET,@TEN,DB,3.8,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.6
41,"Herndon, Tre",JAC,@BAL,DB,3.8,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.6
42,"Davis, Michael",LAC,@LVR,DB,3.2,0.8,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,4.6
43,"Conley, Gareon",HOU,@IND,DB,3.3,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.6
44,"Verrett, Jason",SFO,@DAL,DB,3.0,1.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,4.6
45,"Joyner, Lamarcus",LVR,LAC,DB,3.7,1.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.6
46,"Bunting, Sean",TBB,@ATL,DB,3.3,1.3,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,4.5
47,"Ward, Charvarius",KCC,@NOS,DB,3.2,1.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,4.5
48,"Lewis, Jourdan",DAL,SFO,DB,3.3,1.4,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.5
49,"Nelson, Steven",PIT,@CIN,DB,3.4,0.6,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.5
50,"Breeland, Bashaud",KCC,@NOS,DB,3.2,1.1,0.0,0.4,0.1,0.1,0.1,0.0,0.0,0.0,4.5
51,"Hall, Bryce",NYJ,@LAR,DB,3.8,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.4
52,"Dantzler, Cameron",MIN,CHI,DB,3.2,1.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.4
53,"Wallace, Levi",BUF,@DEN,DB,3.3,0.8,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,4.4
54,"Douglas, Rasul",CAR,@GBP,DB,3.1,1.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,4.4
55,"Bradberry, James",NYG,CLE,DB,2.7,0.7,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,4.4
56,"Mitchell, Terrance",CLE,@NYG,DB,3.0,0.8,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,4.4
57,"Jenkins, Janoris",NOS,KCC,DB,2.8,1.1,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,4.4
58,"Oliver, Isaiah",ATL,TBB,DB,3.2,1.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3
59,"Lattimore, Marshon",NOS,KCC,DB,3.4,0.7,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,4.3
60,"Hargreaves, Vernon",HOU,@IND,DB,3.3,0.7,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,4.3
61,"Lawson, Nevin",LVR,LAC,DB,3.1,0.7,0.0,0.6,0.0,0.1,0.1,0.0,0.0,0.0,4.3
62,"Alexander, Jaire",GBP,CAR,DB,2.9,0.6,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,4.2
63,"King, Kevin",GBP,CAR,DB,3.1,0.7,0.0,0.5,0.1,0.0,0.0,0.0,0.0,1.0,4.2
64,"Dunbar, Quinton",SEA,@WAS,DB,3.2,0.5,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,4.2
65,"Alford, Robert",ARI,PHI,DB,3.3,0.4,0.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,4.2
66,"Jones, Jonathan",NEP,@MIA,DB,3.4,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.1
67,"Rhodes, Xavier",IND,HOU,DB,2.6,0.6,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,4.1
68,"Needham, Nik",MIA,NEP,DB,2.7,1.3,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0
69,"Stroman, Greg",WAS,SEA,DB,3.0,0.8,0.0,0.5,0.0,0.0,0.0,0.0,-0.1,0.0,4.0
70,"Waynes, Trae",CIN,PIT,DB,2.6,0.9,0.0,0.6,0.1,0.1,0.0,0.0,0.0,2.0,4.0
71,"Slay, Darius",PHI,@ARI,DB,3.3,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0
72,"Darby, Ronald",WAS,SEA,DB,2.8,0.8,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,3.9
73,"Hayden, D.J.",JAC,@BAL,DB,3.0,0.9,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,3.9
74,"Jackson, William",CIN,PIT,DB,2.9,0.6,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,3.8
75,"Ramsey, Jalen",LAR,NYJ,DB,3.0,0.4,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,3.8
76,"Bouye, A.J.",DEN,BUF,DB,2.9,0.5,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,3.8
77,"Claybrooks, Chris",JAC,@BAL,DB,2.8,0.9,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.7
78,"Johnson, Jaylon",CHI,@MIN,DB,2.7,0.5,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,3.7
79,"Johnson, Lonnie",HOU,@IND,DB,3.2,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.7
80,"Jackson, J.C.",NEP,@MIA,DB,2.1,0.3,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,3.7
81,"King, Desmond",TEN,DET,DB,2.8,0.9,0.1,0.3,0.0,0.0,0.0,0.0,2.0,2.0,3.7
82,"Sherman, Richard",SFO,@DAL,DB,2.6,0.7,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,3.7
83,"Boyd, Kris",MIN,CHI,DB,2.9,0.7,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,3.6
84,"Sheffield, Kendall",ATL,TBB,DB,2.7,1.2,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,3.6
85,"Williams, Greedy",CLE,@NYG,DB,2.6,1.0,0.0,0.3,0.0,0.1,0.1,0.0,0.0,0.0,3.6
86,"Awuzie, Chidobe",DAL,SFO,DB,2.2,1.6,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,3.6
87,"Alexander, Mackensie",CIN,PIT,DB,2.6,1.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.6
88,"Oruwariye, Amani",DET,@TEN,DB,2.5,0.6,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,3.5
89,"Brown, Anthony",DAL,SFO,DB,2.7,1.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.5
90,"Sims, LeShaun",CIN,PIT,DB,2.6,1.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,1.0,3.5
91,"Roberts, Darryl",DET,@TEN,DB,2.9,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.5
92,"Jackson, Lamar",NYJ,@LAR,DB,2.4,1.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.4
93,"Fulton, Kristian",TEN,DET,DB,2.5,1.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,3.4
94,"Jackson, Donte",CAR,@GBP,DB,2.1,0.7,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,3.4
95,"Hughes, Mike",MIN,CHI,DB,2.6,0.7,0.0,0.3,0.0,0.1,0.0,0.0,3.0,0.0,3.4
96,"Smith, Tye",TEN,DET,DB,2.5,1.2,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,3.4
97,"Gilmore, Stephon",NEP,@MIA,DB,2.3,0.9,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,3.4
98,"Skrine, Buster",CHI,@MIN,DB,2.8,0.6,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,3.4
99,"Hayward, Casey",LAC,@LVR,DB,2.3,0.7,0.1,0.5,0.1,0.0,0.0,0.0,1.0,2.0,3.3
100,"Yiadom, Isaac",NYG,CLE,DB,2.0,1.2,0.0,0.5,0.0,0.1,0.0,0.0,2.0,0.0,3.2
101,"McManis, Sherrick",CHI,@MIN,DB,2.3,0.6,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,3.2
102,"Ojemudia, Michael",DEN,BUF,DB,2.4,0.4,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,3.0
103,"Sullivan, Chandon",GBP,CAR,DB,2.1,0.4,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,3.0
