Rank,Player,Team,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Vrabel, Mike",TEN,HC,14.0,2.0,487.0,4.8,300.9
2,"Reid, Andy",KCC,HC,11.0,5.0,509.0,7.5,300.8
3,"Belichick, Bill",NEP,HC,11.0,5.0,491.0,6.2,291.4
4,"Shanahan, Kyle",SFO,HC,11.0,5.0,483.0,3.6,286.6
5,"Harbaugh, John",BAL,HC,10.0,6.0,477.0,5.1,280.0
6,"Payton, Sean",NOS,HC,10.0,6.0,469.0,4.9,276.0
7,"Carroll, Pete",SEA,HC,9.0,7.0,459.0,4.3,266.8
8,"Reich, Frank",IND,HC,10.0,6.0,451.0,2.6,266.3
9,"McVay, Sean",LAR,HC,9.0,7.0,444.0,3.6,259.1
10,"Tomlin, Mike",PIT,HC,11.0,5.0,423.0,2.1,256.1
11,"Pederson, Doug",PHI,HC,8.0,8.0,424.0,0.7,244.2
12,"Kingsbury, Kliff",ARI,HC,6.0,10.0,435.0,-1.5,241.1
13,"O'Brien, Bill",FA,HC,9.0,7.0,407.0,-1.4,239.1
14,"Quinn, Dan",FA,HC,8.0,8.0,409.0,1.1,236.8
15,"Arians, Bruce",TBB,HC,7.0,9.0,406.0,-0.6,230.8
16,"Lynn, Anthony",LAC,HC,9.0,7.0,383.0,0.4,227.6
17,"Zimmer, Mike",MIN,HC,8.0,8.0,383.0,0.1,223.5
18,"Taylor, Zac",CIN,HC,6.0,10.0,395.0,-2.9,220.6
19,"LaFleur, Matt",GBP,HC,8.0,8.0,372.0,-0.9,217.7
20,"Marrone, Doug",JAC,HC,7.0,9.0,380.0,-2.6,217.2
21,"Patricia, Matt",FA,HC,6.0,10.0,371.0,-3.1,208.6
22,"Flores, Brian",MIA,HC,6.0,10.0,369.0,-5.6,206.8
23,"Fangio, Vic",DEN,HC,9.0,7.0,339.0,-2.6,204.7
24,"Gase, Adam",NYJ,HC,7.0,9.0,348.0,-4.3,200.7
25,"Nagy, Matt",CHI,HC,6.0,10.0,354.0,-1.8,200.5
26,"McDermott, Sean",BUF,HC,7.0,9.0,330.0,-1.8,192.5
27,"Gruden, Jon",LVR,HC,7.0,9.0,331.0,-5.2,191.9

