Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Vrabel, Mike",TEN,CHI,HC,1.0,0.0,35.0,10.0,24.5
2,"Arians, Bruce",TBB,NOS,HC,1.0,0.0,32.0,11.0,23.3
3,"Reich, Frank",IND,BAL,HC,1.0,0.0,32.0,11.0,23.3
4,"Payton, Sean",NOS,@TBB,HC,1.0,0.0,31.0,11.0,22.8
5,"Belichick, Bill",NEP,@NYJ,HC,1.0,0.0,31.0,7.0,21.6
6,"Kingsbury, Kliff",ARI,MIA,HC,1.0,0.0,30.0,4.0,20.2
7,"Pederson, Doug",PHI,Bye,HC,1.0,0.0,28.0,7.0,20.1
8,"Harbaugh, John",BAL,@IND,HC,1.0,0.0,29.0,4.0,19.7
9,"Marrone, Doug",JAC,HOU,HC,1.0,0.0,28.0,5.0,19.5
10,"Flores, Brian",MIA,@ARI,HC,1.0,0.0,27.0,3.0,18.4
11,"Tomlin, Mike",PIT,@DAL,HC,1.0,0.0,26.0,2.0,17.6
12,"Zimmer, Mike",MIN,DET,HC,1.0,0.0,24.0,3.0,16.9
13,"Gase, Adam",NYJ,NEP,HC,1.0,0.0,23.0,1.0,15.8
14,"Taylor, Zac",CIN,Bye,HC,0.0,1.0,24.0,-1.0,11.7
15,"LaFleur, Matt",GBP,@SFO,HC,0.0,1.0,23.0,-1.0,11.2
16,"Patricia, Matt",FA,Bye,HC,0.0,1.0,22.0,-3.0,10.1
17,"McDermott, Sean",BUF,SEA,HC,0.0,1.0,19.0,-2.0,8.9
18,"Nagy, Matt",CHI,@TEN,HC,0.0,1.0,19.0,-4.0,8.3
19,"Reid, Andy",KCC,CAR,HC,0.0,1.0,21.0,-14.0,6.3
20,"Shanahan, Kyle",SFO,GBP,HC,0.0,1.0,19.0,-16.0,4.7
21,"Carroll, Pete",SEA,@BUF,HC,0.0,1.0,17.0,-18.0,3.1
22,"McVay, Sean",LAR,Bye,HC,0.0,1.0,16.0,-19.0,2.3
23,"Lynn, Anthony",LAC,LVR,HC,0.0,1.0,14.0,-21.0,0.7
24,"Fangio, Vic",DEN,@ATL,HC,0.0,1.0,13.0,-22.0,-0.1
25,"Gruden, Jon",LVR,@LAC,HC,0.0,1.0,12.0,-23.0,-0.9

