Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Garrett, Myles",CLE,DL,41.0,15.6,15.0,2.8,0.0,2.6,0.0,0.0,84.1
2,"Bosa, Nick",SFO,DL,41.5,16.3,11.3,5.3,0.2,2.4,1.6,0.0,81.9
3,"Bosa, Joey",LAC,DL,46.0,16.0,11.6,0.9,0.2,1.0,0.5,0.0,80.0
4,"Heyward, Cameron",PIT,DL,42.0,30.3,8.2,4.7,0.0,0.6,0.6,0.0,79.5
5,"Hubbard, Sam",CIN,DL,43.3,25.1,8.5,4.5,0.0,0.5,0.2,0.0,78.1
6,"Watt, J.J.",HOU,DL,38.0,20.2,9.4,5.9,0.0,2.5,1.5,0.0,76.8
7,"Crosby, Maxx",LVR,DL,42.4,13.7,10.1,3.6,0.0,3.5,0.0,0.0,76.6
8,"Dunlap, Carlos",SEA,DL,39.0,22.6,7.6,8.5,0.0,2.3,0.0,0.0,76.4
9,"Hunter, Danielle",MIN,DL,40.2,15.8,12.0,0.8,0.0,2.6,0.8,0.1,76.3
10,"Young, Chase",WAS,DL,43.5,15.9,9.0,1.3,0.0,1.7,1.0,0.0,73.4
11,"Allen, Josh",JAC,DL,35.0,12.0,13.8,1.1,0.0,2.7,1.0,0.0,73.3
12,"Ngakoue, Yannick",BAL,DL,37.1,10.8,9.5,4.0,0.9,3.7,1.4,0.1,72.4
13,"Clark, Frank",KCC,DL,31.0,12.3,13.5,3.2,0.5,2.4,1.0,0.0,71.8
14,"Flowers, Trey",DET,DL,40.0,20.9,8.9,0.7,0.0,2.3,0.2,0.0,71.4
15,"Campbell, Calais",BAL,DL,43.0,29.1,4.3,1.4,0.0,1.5,1.5,0.2,70.7
16,"Burns, Brian",CAR,DL,30.0,12.7,14.4,1.2,0.0,1.8,1.1,0.1,69.2
17,"Fowler, Dante",ATL,DL,35.7,16.4,9.1,3.2,0.0,3.0,0.4,0.2,68.8
18,"Griffen, Everson",DET,DL,34.0,19.5,9.6,3.8,0.8,0.0,0.0,0.0,68.4
19,"Ford, Dee",SFO,DL,31.0,19.3,10.9,1.4,0.0,2.5,0.8,0.2,67.2
20,"Casey, Jurrell",DEN,DL,32.0,18.4,10.9,1.4,0.0,0.9,0.9,0.0,66.2
21,"Chaisson, K'Lavon",JAC,DL,39.0,11.9,9.3,1.7,0.0,0.4,0.4,0.0,66.1
22,"Armstead, Arik",SFO,DL,30.0,16.9,11.3,1.7,0.0,2.0,0.7,0.0,65.5
23,"Lawrence, Demarcus",DAL,DL,37.0,20.4,5.9,2.3,0.5,2.1,1.0,0.0,65.4
24,"Simon, John",NEP,DL,35.8,20.8,6.4,2.8,0.8,1.0,0.5,0.0,64.9
25,"Ingram, Melvin",LAC,DL,36.0,12.2,6.8,5.3,1.2,0.5,0.5,0.0,64.4
26,"Pierre-Paul, Jason",TBB,DL,35.3,6.4,10.7,1.6,0.0,1.5,0.5,0.0,63.6
27,"Ogbah, Emmanuel",MIA,DL,36.7,22.5,5.5,1.9,0.0,1.2,0.0,0.0,62.2
28,"Lawson, Shaq",MIA,DL,34.5,20.1,7.2,1.6,0.0,1.5,0.0,0.0,62.1
29,"Houston, Justin",IND,DL,34.0,9.2,10.5,0.4,0.0,1.0,1.0,0.0,61.9
30,"Graham, Brandon",PHI,DL,35.0,11.6,8.1,0.7,0.0,1.9,1.7,0.0,61.3
31,"Addison, Mario",BUF,DL,27.3,14.4,11.9,1.2,0.0,1.2,0.0,0.0,60.7
32,"Hicks, Akiem",CHI,DL,38.0,13.6,5.6,2.7,0.0,1.2,0.6,0.0,60.4
33,"Irvin, Bruce",SEA,DL,28.0,23.5,6.5,1.6,0.5,3.3,1.6,0.2,60.3
34,"Kerrigan, Ryan",WAS,DL,38.0,20.0,4.5,2.2,0.0,0.0,0.0,0.0,59.1
35,"Vernon, Olivier",CLE,DL,35.1,11.5,8.2,0.0,0.0,0.9,0.0,0.0,58.1
36,"Jordan, Cameron",NOS,DL,29.0,8.4,10.4,3.3,0.0,0.3,0.3,0.0,57.9
37,"Ferrell, Clelin",LVR,DL,37.0,13.1,3.5,4.1,0.0,0.0,0.0,0.0,54.6
38,"Crawford, Tyrone",DAL,DL,28.6,14.2,7.0,3.4,0.0,1.0,0.4,0.0,54.4
39,"Barnett, Derek",PHI,DL,29.6,7.9,9.1,0.2,0.0,2.2,0.0,0.0,54.1
40,"Brockers, Michael",LAR,DL,37.6,20.6,1.9,0.9,0.0,0.0,0.0,0.0,52.7
41,"Tuitt, Stephon",PIT,DL,29.4,19.6,4.8,3.0,0.0,0.5,0.2,0.0,52.6
42,"Murphy, Trent",BUF,DL,23.7,13.7,5.9,2.2,1.1,2.2,1.1,0.0,50.0
43,"Harris, Shelby",DEN,DL,23.2,21.9,3.3,7.9,0.0,0.1,0.0,0.0,48.7
44,"Davenport, Marcus",NOS,DL,21.1,14.7,8.4,0.7,0.0,2.5,0.0,0.0,48.4
45,"Omenihu, Charles",HOU,DL,24.0,14.9,6.7,1.6,0.0,1.9,0.0,0.0,48.2
46,"Sweat, Montez",WAS,DL,24.9,15.1,5.7,1.6,0.0,1.7,0.0,0.0,47.3
47,"Phillips, Jordan",ARI,DL,27.7,11.1,6.2,0.0,0.0,0.7,0.0,0.0,46.4
48,"Harris, Charles",ATL,DL,25.7,17.2,4.5,0.5,0.0,1.5,0.0,0.0,45.3
49,"Lowry, Dean",GBP,DL,27.3,19.0,1.1,3.6,0.8,0.0,0.0,0.0,44.2
50,"Williams, Quinnen",NYJ,DL,23.2,18.7,4.5,1.8,0.0,0.0,0.0,0.0,43.4
51,"Gholston, William",TBB,DL,29.4,10.5,2.3,1.0,0.0,1.1,0.0,0.0,41.4
52,"Clowney, Jadeveon",TEN,DL,22.1,17.8,1.3,3.8,0.6,1.9,0.6,0.2,41.0
53,"Anderson, Henry",NYJ,DL,25.7,16.4,2.8,1.4,0.0,0.0,0.0,0.0,40.9
54,"Nassib, Carl",LVR,DL,20.7,12.5,4.9,1.7,0.6,0.6,0.5,0.0,40.8
55,"Collier, L.J.",SEA,DL,23.2,14.8,2.7,3.8,0.0,0.0,0.0,0.0,39.9
56,"Lawson, Carl",CIN,DL,22.7,10.8,5.3,0.0,0.0,0.0,0.0,0.0,38.6
57,"Kpassagnon, Tanoh",KCC,DL,20.6,14.3,3.7,2.8,0.3,0.0,0.0,0.0,38.4
58,"Hughes, Jerry",BUF,DL,19.3,8.7,5.4,2.2,0.2,0.8,0.2,0.0,38.2
59,"Okafor, Alex",KCC,DL,18.5,11.8,5.0,1.3,0.4,0.4,0.4,0.2,37.3
60,"Ledbetter, Jonathan",MIA,DL,20.5,17.1,3.2,0.2,0.0,1.1,0.2,0.0,36.9
61,"Hendrickson, Trey",NOS,DL,19.1,13.4,4.3,1.0,0.0,0.8,0.0,0.0,36.2
62,"Wolfe, Derek",BAL,DL,19.0,16.9,3.0,1.5,0.0,0.5,0.5,0.0,35.9
63,"Odenigbo, Ifeadi",MIN,DL,19.5,7.4,4.8,1.1,0.0,0.4,0.4,0.2,34.9
64,"Jackson, Branden",SEA,DL,17.9,11.9,3.0,1.4,0.2,1.2,0.2,0.1,33.2
65,"Winovich, Chase",NEP,DL,17.2,9.1,4.1,1.1,0.0,0.5,0.3,0.0,31.7
66,"Lancaster, Tyler",GBP,DL,21.4,11.5,1.2,0.8,0.0,0.6,0.6,0.0,31.6
67,"Jones, Dre'Mont",DEN,DL,20.3,12.1,1.1,1.2,0.8,0.0,0.0,0.0,31.5
68,"Robertson-Harris, Roy",CHI,DL,18.3,10.6,2.8,2.2,0.0,0.0,0.0,0.0,31.5
69,"Phillips, Kyle",NYJ,DL,18.7,14.3,2.1,1.2,0.0,0.0,0.0,0.0,31.2
70,"Green, Rasheem",SEA,DL,13.3,7.5,4.3,1.3,0.0,2.2,1.1,0.0,30.2
71,"Armstrong, Dorance",DAL,DL,19.4,7.0,2.5,0.0,0.0,0.9,0.7,0.0,29.6
72,"Muhammad, Al-Quadin",IND,DL,21.3,7.4,1.7,0.0,0.0,1.2,0.0,0.0,29.6
73,"Wise, Deatrich",NEP,DL,21.1,5.0,2.1,0.0,0.0,1.1,0.0,0.0,28.9
74,"Alualu, Tyson",PIT,DL,17.5,17.0,0.8,1.0,0.0,0.2,0.0,0.0,28.8
75,"Blair, Ronald",SFO,DL,16.6,8.7,2.6,0.0,0.0,0.8,0.7,0.0,27.5
76,"Wormley, Chris",PIT,DL,17.6,14.1,0.9,0.9,0.0,0.0,0.0,0.0,27.3
77,"Sweat, Josh",PHI,DL,13.8,6.6,4.1,0.9,0.0,0.0,0.0,0.0,26.3
78,"Bailey, Allen",ATL,DL,15.0,15.8,1.0,0.0,0.0,0.8,0.4,0.0,26.2
79,"Ximines, Oshane",NYG,DL,11.5,13.1,3.4,0.6,0.0,0.0,0.0,0.0,25.4
80,"Allen, Zach",ARI,DL,19.1,6.6,0.9,0.3,0.0,0.0,0.0,0.0,24.5
81,"Turay, Kemoko",IND,DL,13.7,5.5,2.8,0.9,0.0,0.3,0.2,0.0,23.5
82,"Walker, DeMarcus",DEN,DL,12.4,9.7,1.9,1.9,0.0,0.0,0.0,0.0,23.0
83,"Blackson, Angelo",ARI,DL,15.6,10.3,0.6,1.0,0.0,0.0,0.0,0.0,23.0
84,"Smoot, Dawuane",JAC,DL,11.3,3.5,4.9,0.0,0.0,0.0,0.0,0.0,22.7
85,"Harris, Trent",NYG,DL,15.7,3.3,1.8,0.0,0.0,1.4,0.0,0.0,22.2
86,"Watkins, Carlos",HOU,DL,9.8,13.6,2.0,1.6,0.0,0.0,0.0,0.0,22.2
87,"Hill, B.J.",NYG,DL,11.7,16.1,1.0,0.0,0.0,0.0,0.0,0.0,21.7
88,"Fox, Morgan",LAR,DL,13.0,10.5,1.4,0.0,0.0,0.0,0.0,0.0,21.2
89,"Weatherly, Stephen",CAR,DL,11.8,9.5,2.0,0.0,0.0,0.4,0.0,0.0,20.9
90,"Bullard, Jonathan",SEA,DL,14.0,5.5,1.9,0.0,0.0,0.0,0.0,0.0,20.6
91,"Calhoun, Shilique",NEP,DL,12.0,8.7,1.0,0.0,0.0,1.3,0.3,0.0,19.8
92,"Banogu, Ben",IND,DL,10.8,10.5,1.3,0.2,0.0,0.5,0.0,0.0,19.2
93,"Gross-Matos, Yetur",CAR,DL,11.4,13.4,0.3,0.0,0.0,0.0,0.0,0.0,18.6
94,"Clayborn, Adrian",CLE,DL,10.9,6.4,1.1,0.4,0.0,1.1,0.0,0.0,17.9
95,"Smart, Tanzel",NYJ,DL,11.9,11.4,0.0,0.0,0.0,0.0,0.0,0.0,17.6
96,"Dogbe, Michael",ARI,DL,11.7,8.3,0.4,0.3,0.0,0.0,0.0,0.0,17.0
97,"Adams, Montravius",GBP,DL,8.9,9.7,0.7,1.8,0.0,0.0,0.0,0.0,16.9
98,"Obada, Efe",CAR,DL,12.3,6.5,0.0,1.0,0.0,0.0,0.0,0.0,16.6
99,"Taylor, Darrell",SEA,DL,9.7,8.0,0.6,1.1,0.0,0.0,0.0,0.0,15.9
100,"Means, Steven",ATL,DL,11.0,4.5,0.4,0.0,0.0,0.0,0.0,0.0,14.1
101,"Okwara, Julian",DET,DL,9.8,4.7,0.0,0.5,0.0,0.0,0.0,0.0,12.7
102,"Shepherd, Nathan",NYJ,DL,7.5,3.5,1.4,0.0,0.0,0.0,0.0,0.0,12.0
103,"Bryant, Austin",DET,DL,8.2,6.5,0.0,0.5,0.0,0.0,0.0,0.0,11.9
104,"Williams, Nick",DET,DL,6.6,5.2,0.9,0.6,0.0,0.0,0.0,0.0,11.6
105,"Hyder, Kerry",SFO,DL,6.7,5.8,0.8,0.0,0.0,0.0,0.0,0.0,11.2
106,"Key, Arden",LVR,DL,7.6,2.1,1.2,0.0,0.0,0.0,0.0,0.0,11.1
107,"Keke, Kingsley",GBP,DL,6.6,7.8,0.0,0.0,0.0,0.0,0.0,0.0,10.5
108,"Hand, Da'Shawn",DET,DL,6.2,1.1,1.3,0.3,0.0,0.0,0.0,0.0,9.7
109,"Crawford, Jack",TEN,DL,2.2,10.1,0.5,1.2,0.0,0.0,0.0,0.0,9.4
110,"Spence, Noah",NOS,DL,4.7,5.3,0.6,0.5,0.0,0.0,0.0,0.0,9.1
111,"Cominsky, John",ATL,DL,1.5,7.7,0.7,1.7,0.0,0.0,0.0,0.0,8.4
112,"McIntosh, RJ",NYG,DL,3.2,5.4,1.1,0.0,0.0,0.0,0.0,0.0,8.1
113,"Granderson, Carl",NOS,DL,7.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6
114,"Rochell, Isaac",LAC,DL,3.2,5.3,0.2,1.1,0.0,0.0,0.0,0.0,7.3
115,"Harris, Jonathan",DEN,DL,3.8,6.0,0.0,0.4,0.0,0.0,0.0,0.0,7.2
116,"Johnson, Darryl",BUF,DL,5.0,2.6,0.2,0.0,0.0,0.0,0.0,0.0,6.8
117,"Ward, Jihad",BAL,DL,4.0,3.6,0.2,0.6,0.0,0.0,0.0,0.0,6.8
118,"Haynes, Marquis",CAR,DL,3.1,5.7,0.2,0.0,0.0,0.0,0.0,0.0,6.4
119,"Gipson, Trevis",CHI,DL,1.6,3.8,0.0,1.5,0.0,0.0,0.0,0.0,5.1
120,"Mayowa, Benson",SEA,DL,1.7,0.9,1.1,0.0,0.0,0.4,0.0,0.0,4.7
121,"Attaochu, Jeremiah",DEN,DL,2.1,0.4,0.6,0.0,0.0,0.0,0.0,0.0,3.4
122,"Orchard, Nate",HOU,DL,1.9,1.4,0.1,0.3,0.0,0.0,0.0,0.0,3.0
123,"Urban, Brent",CHI,DL,1.3,1.1,0.0,0.5,0.0,0.0,0.0,0.0,2.3
124,"Dickerson, Matt",TEN,DL,1.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
125,"Holmes, Jalyn",MIN,DL,0.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.5
126,"Cox, Bryan",BUF,DL,0.9,0.6,0.1,0.0,0.0,0.0,0.0,0.0,1.3
127,"Willis, Jordan",SFO,DL,1.0,0.4,0.1,0.0,0.0,0.1,0.0,0.0,1.3
128,"Moore, Damontre",SEA,DL,0.6,0.9,0.0,0.0,0.0,0.3,0.0,0.0,1.3
129,"Davis, Keionta",NEP,DL,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
130,"Sieler, Zach",MIA,DL,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
131,"Herron, Frank",DET,DL,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1
132,"Ledbetter, Jeremiah",TBB,DL,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
133,"Hector, Bruce",CAR,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"Smith, Chris",LVR,DL,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0

