Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Harris, Shelby",DEN,@NEP,DL,2.5,1.3,0.8,0.5,0.0,0.2,0.0,0.0,5.5
2,"Ngakoue, Yannick",BAL,@PHI,DL,2.7,0.5,0.8,0.1,0.0,0.4,0.1,0.0,5.3
3,"Smith, Aldon",DAL,ARI,DL,2.8,1.4,0.7,0.1,0.0,0.1,0.0,0.0,5.2
4,"Garrett, Myles",CLE,@PIT,DL,2.2,0.7,1.0,0.1,0.0,0.3,0.1,0.0,5.0
5,"Heyward, Cameron",PIT,CLE,DL,2.4,1.8,0.5,0.4,0.1,0.0,0.0,0.0,5.0
6,"Armstead, Arik",SFO,LAR,DL,2.5,1.2,0.6,0.2,0.0,0.2,0.0,0.0,4.7
7,"Dunlap, Carlos",SEA,Bye,DL,2.4,1.3,0.6,0.3,0.0,0.1,0.0,0.0,4.5
8,"Tuitt, Stephon",PIT,CLE,DL,2.0,1.7,0.7,0.1,0.0,0.0,0.0,0.0,4.4
9,"Young, Chase",WAS,@NYG,DL,2.4,0.9,0.6,0.0,0.0,0.1,0.0,0.0,4.3
10,"Campbell, Calais",BAL,@PHI,DL,2.2,1.6,0.3,0.6,0.0,0.1,0.1,0.0,4.2
11,"Burns, Brian",CAR,CHI,DL,2.0,0.7,0.6,0.1,0.0,0.3,0.0,0.0,4.0
12,"Odenigbo, Ifeadi",MIN,ATL,DL,2.1,0.6,0.7,0.0,0.0,0.1,0.1,0.0,4.0
13,"Ogbah, Emmanuel",MIA,NYJ,DL,1.7,1.6,0.5,0.2,0.0,0.2,0.0,0.0,4.0
14,"Flowers, Trey",DET,@JAC,DL,2.3,1.1,0.5,0.0,0.0,0.2,0.0,0.0,4.0
15,"Hicks, Akiem",CHI,@CAR,DL,2.3,1.1,0.5,0.2,0.0,0.0,0.0,0.0,4.0
16,"Watt, J.J.",HOU,@TEN,DL,1.8,1.3,0.5,0.4,0.0,0.1,0.1,0.0,4.0
17,"Sweat, Montez",WAS,@NYG,DL,2.3,1.2,0.4,0.1,0.0,0.0,0.0,0.0,3.8
18,"Clark, Frank",KCC,@BUF,DL,1.8,0.6,0.7,0.1,0.0,0.1,0.1,0.0,3.8
19,"Lawrence, Demarcus",DAL,ARI,DL,2.0,0.9,0.4,0.2,0.0,0.2,0.0,0.0,3.7
20,"Hyder, Kerry",SFO,LAR,DL,1.8,1.5,0.5,0.0,0.0,0.0,0.0,0.0,3.6
21,"Okwara, Romeo",DET,@JAC,DL,2.3,0.8,0.4,0.0,0.0,0.1,0.0,0.0,3.6
22,"Barnett, Derek",PHI,BAL,DL,1.8,0.7,0.6,0.0,0.0,0.1,0.0,0.0,3.5
23,"Simon, John",NEP,DEN,DL,2.2,1.2,0.2,0.1,0.0,0.0,0.0,0.0,3.4
24,"Pierre-Paul, Jason",TBB,GBP,DL,1.6,0.6,0.6,0.1,0.0,0.2,0.1,0.0,3.4
25,"Williams, Leonard",NYG,WAS,DL,1.9,1.5,0.3,0.1,0.0,0.1,0.0,0.0,3.3
26,"Addison, Mario",BUF,KCC,DL,1.5,0.7,0.5,0.3,0.0,0.0,0.0,0.0,3.3
27,"Brockers, Michael",LAR,@SFO,DL,1.9,1.4,0.2,0.0,0.0,0.0,0.0,0.0,3.2
28,"Winovich, Chase",NEP,DEN,DL,1.6,0.9,0.4,0.0,0.0,0.1,0.0,0.0,3.1
29,"Phillips, Jordan",ARI,@DAL,DL,1.8,0.4,0.5,0.1,0.0,0.1,0.0,0.0,3.1
30,"Graham, Brandon",PHI,BAL,DL,1.9,0.3,0.5,0.0,0.0,0.1,0.1,0.0,3.1
31,"Houston, Justin",IND,CIN,DL,1.5,0.4,0.6,0.0,0.0,0.0,0.0,0.0,3.0
32,"Williams, Quinnen",NYJ,@MIA,DL,1.5,1.3,0.3,0.0,0.0,0.1,0.0,0.0,2.8
33,"Murphy, Trent",BUF,KCC,DL,1.6,0.6,0.4,0.0,0.0,0.1,0.1,0.0,2.8
34,"Vernon, Olivier",CLE,@PIT,DL,1.7,0.5,0.3,0.1,0.0,0.1,0.1,0.0,2.8
35,"Gholston, William",TBB,GBP,DL,1.6,0.8,0.3,0.1,0.0,0.0,0.0,0.0,2.7
36,"Griffen, Everson",DET,@JAC,DL,1.3,1.1,0.3,0.1,0.0,0.0,0.0,0.0,2.7
37,"Lawson, Shaq",MIA,NYJ,DL,1.2,1.1,0.3,0.1,0.0,0.1,0.0,0.0,2.6
38,"Fowler, Dante",ATL,@MIN,DL,1.2,1.0,0.3,0.1,0.0,0.1,0.0,0.0,2.6
39,"Alualu, Tyson",PIT,CLE,DL,1.4,1.1,0.1,0.3,0.0,0.0,0.0,0.0,2.6
40,"Banogu, Ben",IND,CIN,DL,1.7,0.9,0.1,0.0,0.0,0.0,0.0,0.0,2.4
41,"Sweat, Josh",PHI,BAL,DL,1.1,0.6,0.4,0.0,0.0,0.1,0.0,0.0,2.4
42,"Weatherly, Stephen",CAR,CHI,DL,1.2,1.0,0.2,0.1,0.0,0.0,0.0,0.0,2.4
43,"Lawson, Carl",CIN,@IND,DL,1.1,0.8,0.3,0.1,0.0,0.0,0.0,0.0,2.3
44,"Anderson, Henry",NYJ,@MIA,DL,1.4,1.0,0.1,0.1,0.0,0.0,0.0,0.0,2.3
45,"Okafor, Alex",KCC,@BUF,DL,1.4,0.7,0.2,0.1,0.0,0.0,0.0,0.0,2.3
46,"Allen, Zach",ARI,@DAL,DL,1.5,0.8,0.1,0.0,0.0,0.0,0.0,0.0,2.2
47,"Bailey, Allen",ATL,@MIN,DL,1.4,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.2
48,"Hughes, Jerry",BUF,KCC,DL,1.2,0.7,0.2,0.2,0.0,0.0,0.0,0.0,2.2
49,"Phillips, Kyle",NYJ,@MIA,DL,1.5,0.8,0.1,0.0,0.0,0.0,0.0,0.0,2.1
50,"Omenihu, Charles",HOU,@TEN,DL,0.9,0.6,0.4,0.1,0.0,0.1,0.0,0.0,2.1
51,"Lowry, Dean",GBP,@TBB,DL,1.3,0.9,0.1,0.2,0.0,0.0,0.0,0.0,2.1
52,"Holmes, Jalyn",MIN,ATL,DL,1.3,0.7,0.1,0.1,0.0,0.0,0.0,0.0,2.0
53,"Kpassagnon, Tanoh",KCC,@BUF,DL,1.0,0.7,0.1,0.3,0.0,0.0,0.0,0.0,1.9
54,"Clowney, Jadeveon",TEN,HOU,DL,1.1,0.6,0.0,0.4,0.0,0.1,0.0,0.0,1.9
55,"Curry, Vinny",PHI,BAL,DL,1.1,0.6,0.2,0.0,0.0,0.0,0.0,0.0,1.9
56,"Robertson-Harris, Roy",CHI,@CAR,DL,1.3,0.5,0.1,0.1,0.0,0.0,0.0,0.0,1.8
