Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Allen, Jonathan",WAS,DAL,DL,3.5,1.7,0.3,0.0,0.0,0.0,0.0,0.0,5.1
2,"Donald, Aaron",LAR,CHI,DL,2.0,1.3,1.0,0.1,0.0,0.2,0.1,0.0,5.1
3,"Simmons, Jeffery",TEN,PIT,DL,2.5,1.4,0.4,0.3,0.0,0.0,0.0,0.0,4.4
4,"Tomlinson, Dalvin",NYG,@PHI,DL,2.1,2.3,0.2,0.2,0.0,0.1,0.0,0.0,4.0
5,"Jones, Chris",KCC,@DEN,DL,1.7,0.9,0.6,0.3,0.0,0.2,0.0,0.0,3.8
6,"Clark, Kenny",GBP,@HOU,DL,2.1,1.4,0.4,0.1,0.0,0.1,0.0,0.0,3.8
7,"Suh, Ndamukong",TBB,@LVR,DL,2.1,1.2,0.3,0.3,0.0,0.1,0.1,0.0,3.8
8,"Reed, Jarran",SEA,@ARI,DL,2.1,1.0,0.4,0.0,0.0,0.2,0.0,0.0,3.7
9,"Jarrett, Grady",ATL,DET,DL,1.9,1.7,0.4,0.0,0.0,0.1,0.1,0.0,3.7
10,"Payne, Da'Ron",WAS,DAL,DL,2.3,1.5,0.2,0.2,0.0,0.0,0.0,0.0,3.6
11,"Ogunjobi, Larry",CLE,@CIN,DL,2.3,1.2,0.1,0.0,0.0,0.1,0.0,0.0,3.4
12,"Kinlaw, Javon",SFO,@NEP,DL,1.9,1.1,0.2,0.4,0.0,0.0,0.0,0.0,3.3
13,"Lawrence, Dexter",NYG,@PHI,DL,2.2,1.5,0.1,0.1,0.0,0.0,0.0,0.0,3.3
14,"Atkins, Geno",CIN,CLE,DL,2.0,1.4,0.3,0.1,0.0,0.0,0.0,0.0,3.3
15,"Williams, DeShawn",DEN,KCC,DL,1.4,1.6,0.1,0.4,0.2,0.1,0.0,0.0,3.2
16,"Richardson, Sheldon",CLE,@CIN,DL,2.0,1.2,0.2,0.2,0.0,0.1,0.0,0.0,3.2
17,"Jones, D.J.",SFO,@NEP,DL,1.6,0.7,0.3,0.1,0.0,0.1,0.0,0.0,2.9
18,"Shelton, Danny",DET,@ATL,DL,1.7,1.9,0.1,0.1,0.0,0.0,0.0,0.0,2.8
19,"Peters, Corey",ARI,SEA,DL,1.5,1.1,0.3,0.1,0.0,0.0,0.0,0.0,2.8
20,"Cox, Fletcher",PHI,NYG,DL,1.5,0.7,0.3,0.1,0.0,0.1,0.0,0.0,2.6
21,"Guy, Lawrence",NEP,SFO,DL,1.8,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.6
22,"Brown, Derrick",CAR,@NOS,DL,1.4,0.8,0.2,0.2,0.0,0.0,0.0,0.0,2.5
23,"Oliver, Ed",BUF,@NYJ,DL,1.6,1.0,0.2,0.1,0.0,0.0,0.0,0.0,2.5
24,"Hurst, Maurice",LVR,TBB,DL,1.4,0.8,0.1,0.2,0.0,0.0,0.0,0.0,2.4
25,"Bryan, Taven",JAC,@LAC,DL,1.6,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.3
26,"Onyemata, David",NOS,CAR,DL,1.3,1.0,0.3,0.0,0.0,0.0,0.0,0.0,2.3
27,"Purcell, Mike",DEN,KCC,DL,1.5,1.0,0.1,0.1,0.0,0.0,0.0,0.0,2.3
28,"Joseph, Sebastian",LAR,CHI,DL,1.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.2
29,"Nnadi, Derrick",KCC,@DEN,DL,1.3,1.3,0.1,0.1,0.0,0.0,0.0,0.0,2.2
30,"Hankins, Johnathan",LVR,TBB,DL,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
31,"Joseph, Linval",LAC,JAC,DL,1.4,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2.1
32,"Pennel, Mike",KCC,@DEN,DL,1.2,1.3,0.1,0.1,0.0,0.0,0.0,0.0,2.0
33,"Jones, DaQuan",TEN,PIT,DL,1.3,0.9,0.1,0.1,0.0,0.0,0.0,0.0,2.0
34,"McLendon, Steve",TBB,@LVR,DL,1.3,1.1,0.1,0.0,0.0,0.0,0.0,0.0,2.0
35,"Nichols, Bilal",CHI,@LAR,DL,1.2,0.6,0.1,0.1,0.0,0.0,0.0,0.0,1.8
36,"Ford, Poona",SEA,@ARI,DL,1.3,0.5,0.0,0.1,0.0,0.0,0.0,0.0,1.7
37,"Jefferson, Quinton",BUF,@NYJ,DL,0.8,0.8,0.1,0.0,0.0,0.1,0.1,0.0,1.7
38,"Butler, Vernon",BUF,@NYJ,DL,1.0,0.9,0.1,0.0,0.0,0.1,0.0,0.0,1.7
39,"Rankins, Sheldon",NOS,CAR,DL,1.0,0.6,0.2,0.1,0.0,0.0,0.0,0.0,1.7
40,"Hargrave, Javon",PHI,NYG,DL,0.8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.6
41,"Nunez-Roches, Rakeem",TBB,@LVR,DL,0.9,0.9,0.1,0.2,0.0,0.0,0.0,0.0,1.6
42,"Tillery, Jerry",LAC,JAC,DL,0.9,0.6,0.1,0.0,0.0,0.0,0.0,0.0,1.5
43,"Hall, P.J.",HOU,GBP,DL,1.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,1.5
44,"Woods, Antwaun",DAL,@WAS,DL,0.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
45,"Tuttle, Shy",NOS,CAR,DL,0.6,0.6,0.1,0.1,0.1,0.0,0.0,0.0,1.4
46,"Dunn, Brandon",HOU,GBP,DL,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
47,"Ridgeway, Hassan",PHI,NYG,DL,0.8,0.3,0.2,0.0,0.0,0.0,0.0,0.0,1.3
48,"Davison, Tyeler",ATL,DET,DL,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
49,"Hamilton, Davon",JAC,@LAC,DL,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2
50,"Settle, Tim",WAS,DAL,DL,0.9,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.2
51,"Butler, Adam",NEP,SFO,DL,0.6,0.3,0.1,0.2,0.0,0.0,0.0,0.0,1.1
52,"Johnson, Austin",NYG,@PHI,DL,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1
53,"Covington, Christian",CIN,CLE,DL,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.1
54,"Brown, Malcolm",NOS,CAR,DL,0.6,0.8,0.0,0.1,0.0,0.0,0.0,0.0,1.1
55,"Square, Damion",LAC,JAC,DL,0.7,0.8,0.0,0.1,0.0,0.0,0.0,0.0,1.1
56,"Jenkins, John",CHI,@LAR,DL,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1
57,"Tuioti-Mariner, Jacob",ATL,DET,DL,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,"Gaines, Greg",LAR,CHI,DL,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9
59,"Collins, Maliek",LVR,TBB,DL,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.9
60,"Blacklock, Ross",HOU,GBP,DL,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7
61,"Givens, Kevin",SFO,@NEP,DL,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7
62,"Mack, Isaiah",NEP,SFO,DL,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6
63,"Kerr, Zach",CAR,@NOS,DL,0.4,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.6
64,"Mone, Bryan",SEA,@ARI,DL,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5
65,"Costin, Doug",JAC,@LAC,DL,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3
66,"Roy, Bravvion",CAR,@NOS,DL,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3
67,"Penisini, John",DET,@ATL,DL,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2
68,"Elliott, Jordan",CLE,@CIN,DL,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1
69,"Gallimore, Neville",DAL,@WAS,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
70,"Taylor, Vincent",CLE,@CIN,DL,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
71,"Peko, Kyle",DEN,KCC,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"Williams, Xavier",CIN,CLE,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

