Rank,Player,Team,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Tucker, Justin",BAL,K,47.6,49.4,31.9,34.1,0.0,10.4,9.2,10.0,2.3,2.2,151.1
2,"Lutz, Wil",NOS,K,50.5,51.3,29.8,33.5,0.8,7.7,7.5,11.3,2.4,3.8,144.5
3,"Butker, Harrison",KCC,K,56.2,60.4,26.4,29.1,0.0,7.6,8.0,8.3,2.4,2.8,140.2
4,"Gould, Robbie",SFO,K,41.0,42.2,31.2,35.4,0.0,10.2,10.6,9.0,1.5,4.2,134.1
5,"Fairbairn, Ka'imi",HOU,K,41.7,44.9,26.7,31.1,0.4,7.0,9.5,7.0,2.8,4.4,121.2
6,"Zuerlein, Greg",DAL,K,47.0,47.0,27.7,36.8,0.0,7.9,7.4,7.1,5.3,9.1,120.7
7,"Koo, Younghoe",ATL,K,28.0,29.5,30.6,35.6,0.0,7.4,10.5,9.8,3.0,5.0,120.3
8,"Lambo, Josh",JAC,K,19.9,21.0,29.3,30.6,0.0,9.7,8.5,6.5,4.6,1.3,119.5
9,"Bailey, Dan",MIN,K,36.2,38.7,26.9,30.4,0.0,8.6,11.2,5.1,2.1,3.5,115.8
10,"McManus, Brandon",DEN,K,31.0,31.4,26.1,30.8,0.0,5.7,7.8,9.4,3.2,4.7,111.2
11,"Prater, Matt",DET,K,33.8,34.3,25.0,29.2,0.0,9.0,6.1,5.8,4.1,4.1,110.5
12,"Hopkins, Dustin",WAS,K,24.2,25.4,26.4,30.1,0.0,6.3,7.6,9.2,3.3,3.7,107.9
13,"Folk, Nick",NEP,K,33.9,36.1,26.8,32.2,0.9,10.9,7.9,5.5,1.7,5.3,107.3
14,"Elliott, Jake",PHI,K,31.4,33.4,25.0,28.4,0.0,6.8,9.1,7.2,1.9,3.5,106.7
15,"Bullock, Randy",CIN,K,30.7,32.1,24.6,28.1,0.0,7.4,6.4,9.1,1.7,3.5,106.7
16,"Crosby, Mason",GBP,K,38.4,39.7,20.9,23.1,0.8,1.6,9.0,7.0,2.5,2.2,106.7
17,"Badgley, Mike",LAC,K,36.8,37.4,23.6,28.3,0.0,8.1,5.0,9.4,1.1,4.8,104.7
18,"Boswell, Chris",PIT,K,34.8,37.0,23.3,26.6,0.4,7.8,6.4,7.8,0.8,3.3,103.9
19,"Slye, Joey",CAR,K,28.5,32.1,22.3,26.6,0.0,4.1,4.5,6.6,7.1,4.3,103.2
20,"Gonzalez, Zane",ARI,K,32.0,34.0,24.3,28.2,0.0,7.9,9.5,4.4,2.5,4.0,102.3
21,"Sloman, Sam",FA,K,43.0,43.8,24.3,33.4,0.4,7.1,9.3,3.6,3.7,9.2,99.4
22,"Seibert, Austin",CIN,K,30.0,35.8,23.1,27.0,0.0,4.8,8.3,8.8,1.3,3.9,99.0
23,"Myers, Jason",SEA,K,35.0,38.9,21.9,27.2,0.0,4.7,9.3,5.8,2.1,5.3,94.9
24,"Sanders, Jason",MIA,K,33.9,35.1,20.6,25.1,0.0,7.1,5.5,6.1,2.0,4.5,92.5
25,"Ficken, Sam",NYJ,K,27.3,31.1,23.7,31.9,0.0,2.7,8.6,8.5,4.0,8.2,90.4
26,"Blankenship, Rodrigo",IND,K,37.2,41.7,18.8,23.9,0.8,6.0,5.2,2.6,4.3,5.1,89.4
27,"Carlson, Daniel",LVR,K,30.8,32.4,22.0,28.2,0.0,7.1,5.5,8.0,1.3,6.2,88.7
28,"Bass, Tyler",BUF,K,24.7,26.5,21.6,26.3,0.0,4.6,7.4,7.9,1.6,4.7,86.4
29,"Santos, Cairo",CHI,K,30.3,31.8,20.9,26.3,0.4,6.8,8.8,4.2,0.7,5.4,82.1
30,"Succop, Ryan",TBB,K,47.6,51.4,15.2,23.3,0.0,2.5,3.7,6.2,2.8,8.0,81.1
31,"Pineiro, Eddy",CHI,K,21.7,23.9,18.5,21.6,0.7,7.0,7.9,2.6,0.4,3.1,71.3
32,"Gostkowski, Stephen",TEN,K,46.0,50.7,9.4,13.4,0.0,2.4,3.7,2.3,1.0,4.0,66.6
33,"Gano, Graham",NYG,K,28.7,31.6,6.9,9.5,0.0,1.8,4.1,1.0,0.0,2.6,42.6

