Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Koo, Younghoe",ATL,TBB,K,1.9,2.1,2.5,2.7,0.0,0.6,0.8,0.6,0.4,0.2,10.2
2,"Bass, Tyler",BUF,@DEN,K,3.0,3.1,2.1,2.5,0.1,0.4,0.5,0.9,0.3,0.4,9.7
3,"Tucker, Justin",BAL,JAC,K,3.0,3.1,2.0,2.1,0.0,0.6,0.5,0.7,0.2,0.1,9.6
4,"Sanders, Jason",MIA,NEP,K,2.4,2.4,1.9,2.1,0.0,0.4,0.3,0.5,0.6,0.2,9.0
5,"Butker, Harrison",KCC,@NOS,K,3.4,3.8,1.7,1.8,0.1,0.4,0.6,0.3,0.2,0.2,8.6
6,"Boswell, Chris",PIT,@CIN,K,2.7,2.9,1.8,1.9,0.0,0.3,0.6,0.8,0.1,0.1,8.6
7,"McManus, Brandon",DEN,BUF,K,1.7,1.8,1.9,2.0,0.0,0.4,0.3,0.7,0.5,0.2,8.5
8,"Gano, Graham",NYG,CLE,K,1.6,1.7,1.9,2.0,0.0,0.3,0.8,0.6,0.2,0.1,8.3
9,"Gonzalez, Zane",ARI,PHI,K,2.8,2.9,1.7,2.0,0.0,0.5,0.4,0.6,0.2,0.3,8.0
10,"Myers, Jason",SEA,@WAS,K,3.0,3.2,1.5,1.7,0.0,0.2,0.5,0.6,0.2,0.2,8.0
11,"Zuerlein, Greg",DAL,SFO,K,1.9,2.1,2.0,2.3,0.1,0.3,0.7,0.7,0.2,0.3,7.9
12,"Lutz, Wil",NOS,KCC,K,2.9,2.9,1.7,2.0,0.0,0.4,0.5,0.6,0.1,0.3,7.8
13,"Succop, Ryan",TBB,@ATL,K,3.0,3.1,1.6,1.8,0.0,0.5,0.5,0.5,0.1,0.2,7.8
14,"Carlson, Daniel",LVR,LAC,K,2.4,2.5,1.7,2.0,0.0,0.7,0.4,0.3,0.2,0.2,7.7
15,"Crosby, Mason",GBP,CAR,K,3.4,3.5,1.2,1.3,0.1,0.1,0.5,0.4,0.1,0.0,7.6
16,"Gay, Matt",LAR,NYJ,K,2.8,3.1,1.6,2.0,0.0,0.4,0.4,0.7,0.1,0.4,7.5
17,"Gould, Robbie",SFO,@DAL,K,2.4,2.5,1.6,1.8,0.0,0.4,0.5,0.6,0.1,0.2,7.2
18,"Blankenship, Rodrigo",IND,HOU,K,2.2,2.5,1.6,1.9,0.0,0.4,0.7,0.5,0.1,0.3,7.0
19,"Parkey, Cody",CLE,@NYG,K,2.4,2.5,1.5,1.7,0.0,0.3,0.4,0.8,0.0,0.2,7.0
20,"Forbath, Kai",LAR,NYJ,K,2.6,2.8,1.6,2.0,0.0,0.6,0.4,0.5,0.1,0.4,7.0
21,"Bullock, Randy",CIN,PIT,K,1.7,1.8,1.7,2.0,0.0,0.4,0.6,0.6,0.2,0.3,6.9
22,"Badgley, Mike",LAC,@LVR,K,2.5,2.7,1.5,1.9,0.0,0.5,0.3,0.5,0.1,0.3,6.8
23,"Slye, Joey",CAR,@GBP,K,2.1,2.2,1.7,2.3,0.0,0.5,0.4,0.6,0.2,0.5,6.7
24,"Fairbairn, Ka'imi",HOU,@IND,K,2.4,2.6,1.5,1.7,0.0,0.4,0.6,0.4,0.2,0.3,6.7
25,"Pineiro, Eddy",CHI,@MIN,K,1.7,1.8,1.6,1.7,0.0,0.6,0.5,0.3,0.1,0.1,6.6
26,"Santos, Cairo",CHI,@MIN,K,1.8,1.8,1.6,1.7,0.0,0.6,0.5,0.4,0.2,0.2,6.6
27,"Bailey, Dan",MIN,CHI,K,2.5,2.6,1.2,1.4,0.0,0.4,0.4,0.3,0.2,0.1,6.4
28,"Prater, Matt",DET,@TEN,K,2.2,2.2,1.5,2.0,0.0,0.4,0.4,0.4,0.3,0.5,6.4
29,"Folk, Nick",NEP,@MIA,K,1.6,1.8,1.5,1.7,0.0,0.5,0.4,0.5,0.2,0.2,6.2
30,"Hopkins, Dustin",WAS,SEA,K,1.8,1.9,1.6,2.0,0.0,0.3,0.5,0.6,0.1,0.4,6.1
31,"Elliott, Jake",PHI,@ARI,K,1.8,2.0,1.3,1.5,0.0,0.2,0.5,0.5,0.1,0.2,5.7
32,"McLaughlin, Chase",JAC,@BAL,K,1.3,1.4,1.4,1.7,0.0,0.4,0.3,0.2,0.4,0.3,5.5
33,"Gostkowski, Stephen",TEN,DET,K,2.8,2.9,1.1,1.7,0.0,0.1,0.1,0.4,0.3,0.6,5.3
34,"Ficken, Sam",NYJ,@LAR,K,1.4,1.7,1.3,1.6,0.0,0.3,0.5,0.3,0.2,0.3,5.0
35,"Castillo, Sergio",NYJ,@LAR,K,0.3,0.3,0.7,0.9,0.0,0.0,0.3,0.2,0.3,0.2,2.6

