Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Thompson, Shaq",CAR,LVR,LB,7.0,3.0,0.3,0.5,0.1,0.0,0.0,0.0,9.5
2,"Smith, Jaylon",DAL,@LAR,LB,6.1,3.9,0.1,0.7,0.1,0.1,0.1,0.0,9.4
3,"Leonard, Darius",IND,@JAC,LB,5.7,3.7,0.3,0.5,0.3,0.2,0.1,0.0,9.1
4,"Kiser, Micah",LAR,DAL,LB,5.9,2.9,0.5,0.6,0.1,0.2,0.1,0.0,8.8
5,"Wagner, Bobby",SEA,@ATL,LB,5.7,4.1,0.1,0.5,0.1,0.1,0.1,0.0,8.6
6,"Johnson, A.J.",DEN,TEN,LB,5.6,4.3,0.2,0.2,0.1,0.1,0.0,0.0,8.4
7,"Littleton, Cory",LVR,@CAR,LB,5.8,3.0,0.2,0.4,0.1,0.1,0.1,0.0,8.1
8,"Vander Esch, Leighton",DAL,@LAR,LB,5.2,3.8,0.1,0.4,0.1,0.1,0.0,0.0,7.9
9,"Hicks, Jordan",ARI,@SFO,LB,5.5,2.9,0.1,0.3,0.1,0.1,0.1,0.0,7.8
10,"Kirksey, Christian",GBP,@MIN,LB,5.2,2.0,0.8,0.2,0.1,0.0,0.0,0.0,7.4
11,"Smith, Roquan",CHI,@DET,LB,5.0,2.3,0.3,0.3,0.2,0.0,0.0,0.0,7.2
12,"David, Lavonte",TBB,@NOS,LB,5.5,1.9,0.1,0.3,0.0,0.2,0.1,0.0,7.2
13,"Edmunds, Tremaine",BUF,NYJ,LB,4.7,3.0,0.1,0.5,0.1,0.0,0.0,0.0,7.1
14,"Murray, Kenneth",LAC,@CIN,LB,5.3,2.5,0.0,0.3,0.1,0.0,0.0,0.0,7.0
15,"Cunningham, Zach",HOU,@KCC,LB,5.2,2.5,0.1,0.4,0.1,0.0,0.0,0.0,7.0
16,"Davis, Demario",NOS,TBB,LB,5.0,1.7,0.3,0.7,0.1,0.0,0.0,0.0,7.0
17,"Wright, K.J.",SEA,@ATL,LB,4.2,3.4,0.1,0.6,0.2,0.0,0.0,0.0,7.0
18,"Whitehead, Tahir",CAR,LVR,LB,5.3,2.4,0.0,0.2,0.0,0.0,0.0,0.0,6.7
19,"Walker, Anthony",IND,@JAC,LB,4.8,2.5,0.1,0.2,0.1,0.1,0.0,0.0,6.6
20,"Schobert, Joe",JAC,IND,LB,4.8,2.5,0.1,0.3,0.1,0.1,0.0,0.0,6.6
21,"Kendricks, Eric",MIN,GBP,LB,4.2,2.8,0.1,0.6,0.1,0.1,0.1,0.0,6.6
22,"Mack, Khalil",CHI,@DET,LB,4.3,0.9,0.9,0.4,0.0,0.3,0.1,0.0,6.6
23,"Queen, Patrick",BAL,CLE,LB,4.5,1.4,0.6,0.2,0.0,0.2,0.0,0.0,6.3
24,"Bush, Devin",PIT,@NYG,LB,4.5,1.9,0.2,0.2,0.1,0.1,0.1,0.0,6.3
25,"Milano, Matt",BUF,NYJ,LB,4.2,2.3,0.1,0.5,0.1,0.1,0.1,0.0,6.3
