Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Way, Tress",WAS,@DET,P,4.7,228.0,17.0,1.8,15.8
2,"O'Donnell, Pat",CHI,MIN,P,4.8,220.0,22.0,1.9,15.6
3,"Dickson, Michael",SEA,@LAR,P,4.2,203.0,15.0,2.0,14.8
4,"Haack, Matt",MIA,LAC,P,4.6,203.0,13.0,1.8,14.6
5,"Johnston, Cam",PHI,@NYG,P,4.2,203.0,15.0,1.5,14.1
6,"Hekker, Johnny",LAR,SEA,P,4.0,192.0,16.0,1.9,14.1
7,"Cooke, Logan",JAC,@GBP,P,4.2,196.0,8.0,1.6,13.9
8,"Berry, Jordan",PIT,CIN,P,4.4,199.0,23.0,1.5,13.8
9,"Fox, Jack",DET,WAS,P,3.9,196.0,7.0,1.4,13.3
10,"Huber, Kevin",CIN,@PIT,P,4.2,191.0,8.0,1.4,13.2
11,"Dixon, Riley",NYG,PHI,P,4.0,176.0,7.0,1.8,12.9
12,"Martin, Sam",DEN,@LVR,P,4.1,190.0,16.0,1.5,12.9
13,"Bailey, Jake",NEP,BAL,P,3.7,168.0,6.0,1.8,12.8
14,"Anger, Bryan",HOU,@CLE,P,3.7,173.0,7.0,1.7,12.7
15,"Lee, Andy",ARI,BUF,P,3.9,183.0,15.0,1.3,12.5
16,"Scott, J.K.",GBP,JAC,P,3.9,174.0,14.0,1.3,11.7
17,"Sanchez, Rigoberto",IND,@TEN,P,3.5,160.0,8.0,1.5,11.4
18,"Morstead, Thomas",NOS,SFO,P,3.4,151.0,7.0,1.6,11.4
19,"Bojorquez, Corey",BUF,@ARI,P,3.5,154.0,11.0,1.4,11.1
20,"Pinion, Bradley",TBB,@CAR,P,3.7,163.0,12.0,1.1,11.1
21,"Koch, Sam",BAL,@NEP,P,3.3,151.0,11.0,1.4,10.9
22,"Cole, A.J.",LVR,DEN,P,3.3,146.0,13.0,1.4,10.8
23,"Wishnowsky, Mitch",SFO,@NOS,P,3.2,151.0,9.0,1.3,10.6
24,"Gillan, Jamie",CLE,HOU,P,3.3,149.0,14.0,1.2,10.4
25,"Colquitt, Britton",MIN,@CHI,P,3.6,165.0,16.0,1.1,10.3
26,"Long, Ty",LAC,@MIA,P,3.4,158.0,21.0,1.0,10.1
27,"Charlton, Joseph",CAR,TBB,P,2.6,116.0,11.0,0.9,8.2

