Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"McCaffrey, Christian",CAR,RB,256.1,1209.0,11.1,8.1,1.2,0.0,0.0,0.5,1.2,12.8,2.9,0.8,0.3,148.0,16.7,110.0,953.0,4.6,12.0,2.0,0.0,0.0,0.4,46.5,419.2
2,"Barkley, Saquon",NYG,RB,250.1,1178.0,8.7,4.0,1.2,0.4,0.0,0.0,3.1,14.0,2.4,0.8,0.3,99.2,11.4,71.0,571.0,2.9,2.3,1.1,0.0,0.0,0.5,31.4,314.6
3,"Elliott, Ezekiel",DAL,RB,289.4,1323.0,9.3,6.8,1.2,0.4,0.8,0.0,0.0,14.3,2.6,0.9,0.3,80.0,12.5,60.0,472.0,2.4,1.9,0.9,0.0,0.0,2.4,31.0,304.4
4,"Henry, Derrick",TEN,RB,309.8,1629.0,15.4,10.1,3.0,0.0,0.0,0.0,2.3,14.5,10.4,1.1,0.4,25.5,2.0,20.1,168.0,1.0,0.7,0.3,0.0,0.0,2.1,37.2,293.6
5,"Kamara, Alvin",NOS,RB,184.1,861.0,9.4,6.8,1.7,0.0,0.0,0.9,0.0,10.2,1.7,0.6,0.2,104.1,16.4,82.2,564.0,2.0,2.2,1.1,47.0,125.0,0.3,33.0,292.5
6,"Cook, Dalvin",MIN,RB,248.2,1148.0,11.5,9.0,1.2,0.7,0.2,0.0,0.5,12.6,2.3,0.8,0.3,75.6,5.3,59.9,470.0,1.0,1.9,0.9,0.0,0.0,3.2,30.2,290.4
7,"Jones, Aaron",GBP,RB,225.1,1062.0,14.4,9.9,2.0,1.2,0.4,0.0,0.8,12.2,2.1,0.7,0.3,64.1,9.6,42.7,370.0,2.9,1.5,0.7,0.0,0.0,1.8,33.3,285.9
8,"Ekeler, Austin",LAC,RB,116.9,505.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,105.2,10.9,83.7,920.0,6.3,11.7,1.8,0.0,0.0,1.6,20.2,272.1
9,"Edwards-Helaire, Clyde",KCC,RB,167.3,805.0,10.4,8.5,0.4,0.0,0.0,0.0,1.5,5.8,1.6,0.5,0.2,60.1,9.7,44.5,424.0,5.0,1.7,0.8,0.0,0.0,1.5,28.5,256.7
10,"Drake, Kenyan",ARI,RB,199.1,951.0,9.7,6.8,0.8,0.9,0.0,0.0,1.3,8.6,1.9,0.6,0.2,75.1,6.1,55.5,426.0,0.9,1.7,0.9,0.0,82.0,0.8,18.1,255.5
