Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"McCaffrey, Christian",CAR,@TBB,RB,14.7,68.0,0.7,0.6,0.1,0.0,0.0,0.0,0.1,7.6,0.8,6.2,53.0,0.2,0.7,0.1,0.0,0.0,0.0,2.3,24.1
2,"Henry, Derrick",TEN,JAC,RB,24.0,123.0,1.1,0.7,0.2,0.0,0.0,0.0,0.2,2.0,0.1,1.6,13.0,0.1,0.1,0.0,0.0,0.0,0.1,2.5,21.8
3,"Elliott, Ezekiel",DAL,ATL,RB,18.6,83.0,0.6,0.5,0.1,0.0,0.1,0.0,0.0,4.8,0.7,3.8,31.0,0.2,0.1,0.1,0.0,0.0,0.1,1.8,20.1
4,"Barkley, Saquon",NYG,@CHI,RB,16.3,71.0,0.5,0.2,0.1,0.0,0.0,0.0,0.2,6.5,0.7,4.8,40.0,0.2,0.2,0.1,0.0,0.0,0.0,1.9,19.9
5,"Kamara, Alvin",NOS,@LVR,RB,11.9,51.0,0.6,0.5,0.1,0.0,0.0,0.1,0.0,6.6,0.9,5.3,38.0,0.2,0.2,0.1,3.0,8.0,0.0,1.9,19.2
6,"Jacobs, Josh",LVR,NOS,RB,17.0,80.0,0.7,0.5,0.2,0.0,0.0,0.0,0.0,3.3,0.3,3.0,28.0,0.0,0.1,0.0,0.0,0.0,0.1,1.3,18.0
7,"Cook, Dalvin",MIN,@IND,RB,15.0,75.0,0.8,0.6,0.1,0.0,0.0,0.0,0.0,3.9,0.3,3.1,24.0,0.1,0.1,0.1,0.0,0.0,0.1,1.6,17.8
8,"Edwards-Helaire, Clyde",KCC,@LAC,RB,14.0,70.0,0.8,0.4,0.1,0.2,0.0,0.0,0.1,3.0,0.5,2.2,20.0,0.2,0.1,0.0,0.0,0.0,0.1,1.4,17.1
9,"Jones, Aaron",GBP,DET,RB,13.7,63.0,0.9,0.6,0.1,0.1,0.0,0.0,0.0,3.9,0.5,2.7,21.0,0.2,0.1,0.0,0.0,0.0,0.1,1.8,17.0
10,"Drake, Kenyan",ARI,WAS,RB,13.9,64.0,0.7,0.5,0.0,0.1,0.0,0.0,0.1,4.7,0.4,3.6,26.0,0.1,0.1,0.1,0.0,5.0,0.0,1.1,17.0
11,"Brown, Malcolm",LAR,@PHI,RB,14.2,60.0,1.1,1.0,0.1,0.0,0.0,0.0,0.0,3.3,0.3,2.1,16.0,0.1,0.1,0.0,0.0,0.0,0.1,1.7,16.7
12,"Mostert, Raheem",SFO,@NYJ,RB,11.6,63.0,0.8,0.4,0.3,0.0,0.0,0.1,0.0,2.0,0.3,1.6,23.0,0.2,0.1,0.1,0.0,-1.1,0.1,1.5,16.4
13,"Mixon, Joe",CIN,@CLE,RB,19.1,84.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,3.3,0.5,2.6,19.0,0.1,0.1,0.0,0.0,0.0,0.1,1.8,16.1
14,"Ekeler, Austin",LAC,KCC,RB,8.6,38.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,5.8,0.6,4.6,49.0,0.3,0.2,0.1,0.0,0.0,0.1,1.1,15.6
15,"Johnson, David",HOU,BAL,RB,14.0,60.0,0.5,0.3,0.2,0.0,0.0,0.0,0.0,2.9,0.3,2.6,27.0,0.2,0.1,0.1,0.0,0.0,0.1,0.7,15.6
16,"Gordon, Melvin",DEN,@PIT,RB,14.0,61.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0,4.1,0.4,3.5,22.0,0.1,0.1,0.0,0.0,0.0,0.3,1.1,15.1
17,"Gurley, Todd",ATL,@DAL,RB,14.0,58.0,0.6,0.6,0.1,0.0,0.0,0.0,0.0,3.2,0.4,2.7,18.0,0.1,0.1,0.0,0.0,0.0,0.1,1.2,14.6
18,"Chubb, Nick",CLE,CIN,RB,16.5,83.0,0.4,0.3,0.0,0.0,0.1,0.0,0.1,2.7,0.3,1.8,15.0,0.1,0.1,0.0,0.0,0.0,0.2,1.7,14.2
19,"Robinson, James",JAC,@TEN,RB,14.0,56.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,4.8,0.5,3.3,29.0,0.1,0.1,0.1,0.0,0.0,0.0,1.3,14.0
20,"Taylor, Jonathan",IND,MIN,RB,12.5,55.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,3.3,0.2,2.8,23.0,0.0,0.1,0.1,1.0,0.0,0.0,1.2,14.0
21,"Gibson, Antonio",WAS,@ARI,RB,13.5,53.0,0.7,0.6,0.1,0.0,0.0,0.0,0.1,2.9,0.2,2.1,18.0,0.1,0.1,0.0,0.0,0.0,0.1,0.8,13.9
22,"Carson, Chris",SEA,NEP,RB,14.0,63.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,2.6,0.1,2.2,16.0,0.2,0.1,0.0,0.0,0.0,0.1,1.4,13.8
23,"Hines, Nyheim",IND,MIN,RB,5.0,27.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,7.0,0.4,5.0,35.0,0.2,0.1,0.0,15.0,7.0,0.1,0.6,13.6
24,"Ingram, Mark",BAL,@HOU,RB,13.0,62.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,2.1,0.4,1.6,14.0,0.3,0.1,0.0,0.0,0.0,0.1,1.8,13.5
25,"Conner, James",PIT,DEN,RB,11.5,48.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,3.9,0.4,3.1,23.0,0.1,0.1,0.1,0.0,1.0,0.1,1.2,13.4
26,"Hunt, Kareem",CLE,CIN,RB,9.0,36.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,5.5,0.4,4.6,35.0,0.1,0.1,0.1,1.0,5.0,0.0,0.6,13.4
27,"White, James",NEP,@SEA,RB,4.8,20.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,6.4,1.1,4.8,43.0,0.2,0.2,0.1,0.0,1.0,0.1,1.3,13.2
28,"Jones, Ronald",TBB,CAR,RB,15.0,62.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,3.0,0.1,2.2,19.0,0.0,0.1,0.0,0.0,0.0,0.1,0.8,13.1
29,"Sanders, Miles",PHI,LAR,RB,9.9,46.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,3.3,0.5,2.7,28.0,0.2,0.1,0.1,1.0,9.0,0.1,1.2,12.9
30,"Singletary, Devin",BUF,@MIA,RB,13.2,59.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,4.2,0.3,3.1,23.0,0.1,0.1,0.1,0.0,0.0,0.1,0.7,12.5
31,"Cohen, Tarik",CHI,NYG,RB,4.8,21.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,5.9,0.7,4.5,32.0,0.2,0.1,0.1,15.0,2.0,0.1,0.6,11.3
32,"Montgomery, David",CHI,NYG,RB,14.2,55.0,0.3,0.3,0.1,0.0,0.0,0.0,0.0,2.4,0.2,1.7,15.0,0.1,0.1,0.0,2.0,0.0,0.1,1.4,11.2
33,"Michel, Sony",NEP,@SEA,RB,15.5,64.0,0.6,0.5,0.1,0.0,0.0,0.0,0.0,1.1,0.3,0.8,6.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,11.0
34,"Peterson, Adrian",DET,@GBP,RB,13.4,61.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.1,0.1,1.5,12.0,0.0,0.1,0.0,0.0,0.0,0.1,0.9,10.7
35,"Dobbins, J.K.",BAL,@HOU,RB,8.5,38.0,0.8,0.7,0.1,0.0,0.0,0.0,0.0,1.4,0.3,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,10.6
36,"Howard, Jordan",FA,Bye,RB,11.0,41.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,2.4,0.2,1.7,13.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,9.7
37,"Kelley, Joshua",LAC,KCC,RB,7.5,34.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,3.6,0.4,2.7,19.0,0.1,0.1,0.0,0.0,0.0,0.2,0.8,9.2
38,"Scott, Boston",PHI,LAR,RB,8.6,35.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,3.0,0.2,2.6,18.0,0.0,0.1,0.0,2.0,18.0,0.0,0.7,8.9
39,"Williams, Jamaal",GBP,DET,RB,5.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.3,2.4,14.0,0.2,0.1,0.0,0.0,0.0,0.0,0.4,7.5
40,"Murray, Latavius",NOS,@LVR,RB,9.3,37.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,1.9,0.3,1.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.5
41,"Burkhead, Rex",NEP,@SEA,RB,5.6,24.0,0.2,0.2,0.0,0.0,0.1,0.0,0.0,2.4,0.3,1.8,19.0,0.0,0.1,0.0,0.0,1.0,0.1,0.6,7.5
42,"McKinnon, Jerick",SFO,@NYJ,RB,3.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.2,3.0,19.0,0.2,0.0,0.0,0.0,3.0,0.0,0.2,7.4
43,"Thompson, Chris",JAC,@TEN,RB,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,3.2,24.0,0.0,0.1,0.0,1.0,0.0,0.0,0.2,7.3
44,"Hyde, Carlos",SEA,NEP,RB,9.7,39.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.6,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,7.2
45,"Gore, Frank",NYJ,SFO,RB,11.0,43.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.7,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,7.2
46,"Samuels, Jaylen",PIT,DEN,RB,3.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.4,3.2,23.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,7.1
47,"Gaskin, Myles",MIA,BUF,RB,7.0,30.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,3.0,0.1,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.0
48,"Swift, D'Andre",DET,@GBP,RB,4.6,21.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.7,0.1,2.2,13.0,0.0,0.1,0.0,0.0,1.0,0.0,0.2,6.7
49,"Coleman, Tevin",SFO,@NYJ,RB,7.7,32.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,1.5,0.3,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,6.7
50,"Fournette, Leonard",TBB,CAR,RB,11.4,41.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.1,0.1,0.0,4.0,0.0,0.8,6.6
51,"Snell Jr., Benny",PIT,DEN,RB,9.0,41.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.2,0.1,0.8,8.0,0.0,0.0,0.0,0.0,1.0,0.1,0.5,6.5
52,"Akers, Cam",LAR,@PHI,RB,8.0,40.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0
53,"Richard, Jalen",LVR,NOS,RB,2.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,2.5,24.0,0.0,0.1,0.1,1.0,8.0,0.1,0.2,6.0
54,"Edmonds, Chase",ARI,WAS,RB,4.7,18.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.2,1.3,9.0,0.1,0.0,0.0,0.0,6.0,0.0,0.4,5.7
55,"Bernard, Giovani",CIN,@CLE,RB,3.4,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.3,2.4,16.0,0.0,0.1,0.0,0.0,1.0,0.0,0.3,5.5
56,"Hill, Brian",ATL,@DAL,RB,5.4,26.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,1.6,0.2,1.2,7.0,0.0,0.0,0.0,0.1,0.0,0.1,0.6,5.3
57,"Adams, Josh",NYJ,SFO,RB,7.0,30.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,5.1
58,"McCoy, LeSean",TBB,CAR,RB,5.1,20.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.1,0.2,1.6,10.0,0.0,0.0,0.0,0.0,5.0,0.1,0.5,5.1
59,"Mattison, Alexander",MIN,@IND,RB,5.8,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.1,1.2,9.0,0.0,0.0,0.0,0.0,1.0,0.1,0.6,4.9
60,"Edwards, Gus",BAL,@HOU,RB,6.6,34.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.1,0.5,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,4.8
61,"Johnson, Kerryon",DET,@GBP,RB,6.9,22.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.5,0.1,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.1,0.7,4.8
62,"Thompson, Darwin",KCC,@LAC,RB,4.0,17.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.6,0.3,1.1,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,4.3
63,"Pollard, Tony",DAL,ATL,RB,3.9,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,1.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.2,4.3
