Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Baker, Budda",ARI,DET,DB,6.6,2.5,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.0,8.3
2,"Simmons, Justin",DEN,TBB,DB,5.4,1.7,0.0,1.1,0.4,0.1,0.1,0.0,0.0,0.0,8.1
3,"Jackson, Eddie",CHI,@ATL,DB,6.1,1.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,7.8
4,"Winfield Jr., Antoine",TBB,@DEN,DB,4.9,1.6,0.2,1.0,0.1,0.2,0.0,0.0,0.0,0.0,7.5
5,"Johnson, John",LAR,@BUF,DB,4.7,2.6,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,7.3
6,"Chinn, Jeremy",CAR,@LAC,DB,5.4,1.8,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,7.2
7,"Bates, Jessie",CIN,@PHI,DB,4.8,2.6,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,7.1
8,"Poyer, Jordan",BUF,LAR,DB,4.6,2.4,0.2,0.3,0.2,0.2,0.1,0.0,0.0,0.0,6.9
9,"Jenkins, Malcolm",NOS,GBP,DB,4.5,1.8,0.2,0.9,0.1,0.2,0.1,0.0,0.0,0.0,6.9
10,"Neal, Keanu",ATL,CHI,DB,4.5,2.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,6.7
11,"Bell, Vonn",CIN,@PHI,DB,4.3,3.3,0.1,0.3,0.1,0.1,0.1,0.0,0.0,3.0,6.6
12,"Walker, Tracy",DET,@ARI,DB,4.6,1.3,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,6.5
13,"Thompson, Darian",DAL,@SEA,DB,4.8,1.4,0.2,0.5,0.1,0.0,0.0,0.0,0.0,0.0,6.4
14,"Willis, Khari",IND,NYJ,DB,4.5,1.3,0.2,0.5,0.3,0.0,0.0,0.0,0.0,0.0,6.3
15,"Jones, Josh",JAC,MIA,DB,4.3,2.8,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,6.3
16,"Williams, Shawn",CIN,@PHI,DB,4.4,1.5,0.1,0.6,0.3,0.0,0.0,0.0,0.0,1.0,6.3
17,"Collins, Landon",WAS,@CLE,DB,4.6,1.7,0.1,0.3,0.1,0.1,0.0,0.0,0.0,0.0,6.2
