Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Kelce, Travis",KCC,ATL,TE,8.6,1.1,6.2,81.0,0.5,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,17.4
2,"Reed, Jordan",SFO,@ARI,TE,9.1,0.7,6.1,72.0,0.6,0.2,0.2,0.0,0.0,0.1,0.0,1.0,0.0,0.0,2.0,0.0,0.8,16.9
3,"Waller, Darren",LVR,MIA,TE,7.3,1.0,5.4,54.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,12.6
4,"Andrews, Mark",BAL,NYG,TE,6.1,0.9,4.0,51.0,0.5,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,12.4
5,"Boyle, Nick",BAL,NYG,TE,5.0,0.7,3.7,45.0,0.6,0.4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,11.8
6,"Engram, Evan",NYG,@BAL,TE,7.6,1.0,4.6,53.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,0.1,0.8,11.5
7,"Ertz, Zach",PHI,@DAL,TE,7.5,1.0,4.7,49.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,11.5
8,"Tonyan, Robert",GBP,TEN,TE,4.2,0.4,3.5,43.0,0.5,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.1
9,"Hockenson, T.J.",DET,TBB,TE,6.2,1.0,3.7,44.0,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,10.2
10,"Higbee, Tyler",LAR,@SEA,TE,5.5,0.7,4.0,45.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,10.1
11,"Hooper, Austin",CLE,@NYJ,TE,5.3,0.8,3.7,37.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,10.0
12,"Gronkowski, Rob",TBB,@DET,TE,5.4,1.0,3.3,44.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.9
