Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Thomas, Michael",NOS,WR,167.6,25.5,126.5,1444.0,7.5,3.9,2.0,1.1,0.0,0.0,0.4,13.8,9.0,1.0,0.4,-4.6,0.0,0.0,0.0,0.0,18.0,315.3
2,"Adams, Davante",GBP,WR,174.1,29.2,109.9,1412.0,9.8,3.5,2.9,2.6,0.2,0.5,0.2,15.3,4.0,0.9,0.4,0.0,0.0,0.0,0.0,1.1,16.0,310.2
3,"Jones, Julio",ATL,WR,165.1,20.3,104.1,1467.0,7.1,3.3,2.2,0.5,0.5,0.0,0.5,13.9,10.4,1.0,0.4,-2.2,0.0,0.0,0.0,0.6,14.9,291.9
4,"Hopkins, DeAndre",ARI,WR,149.5,13.5,103.5,1217.0,7.2,3.3,0.6,0.7,1.4,0.8,0.3,14.6,2.4,0.8,0.3,16.0,0.0,7.0,0.0,1.6,16.0,268.1
5,"Hill, Tyreek",KCC,WR,120.4,12.4,75.9,1155.0,9.3,2.8,1.4,1.1,0.6,1.8,1.6,14.1,2.3,0.8,0.3,84.0,0.9,23.0,16.0,1.1,16.7,258.5
6,"Cooper, Amari",DAL,WR,124.8,9.0,79.3,1123.0,7.5,1.2,2.7,1.1,0.0,1.3,1.1,12.8,2.2,0.7,0.3,10.0,0.0,1.0,0.0,1.3,10.1,235.7
7,"Beckham, Odell",CLE,WR,158.2,22.2,79.8,1096.0,7.1,2.4,0.9,2.0,1.0,0.2,0.5,13.2,2.2,0.7,0.3,13.0,0.2,8.0,2.0,0.3,18.2,234.0
8,"Evans, Mike",TBB,WR,117.5,12.2,66.5,1176.0,7.3,2.2,0.7,1.9,0.4,0.4,1.7,13.1,2.9,0.8,0.3,1.0,0.0,0.0,0.0,0.6,14.1,227.9
9,"Kupp, Cooper",LAR,WR,117.9,19.1,80.9,967.0,8.1,3.8,2.8,1.1,0.0,0.0,0.4,8.1,1.9,0.6,0.2,13.0,0.0,0.0,0.0,0.0,14.2,227.5
10,"Godwin, Chris",TBB,WR,104.7,11.4,71.8,1103.0,7.0,1.8,1.3,1.8,1.2,0.0,1.0,11.6,2.6,0.7,0.3,7.0,0.2,5.0,0.0,0.0,15.8,227.1
11,"Robinson, Allen",CHI,WR,148.0,20.7,85.9,1043.0,6.0,2.6,2.0,0.6,0.8,0.0,0.0,13.0,2.1,0.7,0.3,8.0,0.0,0.0,0.0,0.6,15.6,225.6
12,"Thielen, Adam",MIN,WR,106.8,8.4,72.4,1106.0,6.3,2.0,1.3,1.4,0.6,0.0,1.0,12.4,2.2,0.7,0.3,17.0,0.6,0.0,0.0,1.9,12.1,224.0
13,"Smith-Schuster, JuJu",PIT,WR,128.2,13.7,73.1,1035.0,8.0,2.2,0.8,0.9,1.2,0.2,2.6,12.2,2.1,0.7,0.3,8.0,0.0,55.0,0.0,0.7,13.2,223.8
14,"Woods, Robert",LAR,WR,136.3,9.2,84.3,1059.0,2.8,1.3,1.0,0.0,0.4,0.2,0.0,11.9,2.1,0.7,0.3,108.0,1.0,0.0,0.0,0.0,11.7,223.7
15,"Allen, Keenan",LAC,WR,132.5,15.8,86.9,1020.0,5.0,1.5,2.1,0.4,0.6,0.4,0.0,11.3,2.0,0.7,0.3,34.0,0.0,0.0,0.0,0.4,14.9,223.1
16,"Lockett, Tyler",SEA,WR,106.2,22.3,72.1,1055.0,7.3,2.7,2.9,0.6,0.2,0.5,0.4,12.2,2.1,0.7,0.3,1.0,0.0,54.0,335.0,0.0,14.3,222.5
17,"Moore, D.J.",CAR,WR,132.4,11.7,83.8,1155.0,3.3,1.0,1.2,0.0,0.0,0.0,1.0,14.8,2.3,0.8,0.3,56.0,0.2,35.0,39.0,1.6,10.9,222.4
18,"Green, A.J.",CIN,WR,129.9,19.0,73.6,1051.0,7.7,2.8,2.4,0.2,2.0,0.3,0.0,13.0,2.1,0.7,0.3,5.0,0.0,2.0,19.0,2.1,16.5,221.1
19,"Brown, A.J.",TEN,WR,94.9,7.2,57.4,1100.0,7.3,2.0,1.3,0.6,0.0,0.0,3.4,9.3,2.2,0.7,0.3,25.0,1.1,5.0,0.0,0.0,9.9,220.4
20,"Golladay, Kenny",DET,WR,119.8,17.0,62.6,1079.0,8.4,3.8,1.4,0.2,0.6,1.2,1.3,11.8,2.2,0.7,0.3,4.0,0.0,6.0,0.0,0.6,15.7,219.9
