Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Thomas, Michael",NOS,TBB,WR,10.2,1.6,7.7,88.0,0.5,0.2,0.1,0.1,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,1.1,19.3
2,"Adams, Davante",GBP,@MIN,WR,10.7,1.8,6.8,87.0,0.6,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,19.0
3,"Jones, Julio",ATL,SEA,WR,10.3,1.3,6.5,92.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.9,18.2
4,"Allen, Keenan",LAC,@CIN,WR,10.5,1.3,6.8,81.0,0.4,0.1,0.2,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.2,17.7
5,"Robinson, Allen",CHI,@DET,WR,10.0,1.5,6.3,77.0,0.5,0.2,0.2,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,16.9
6,"Hill, Tyreek",KCC,HOU,WR,8.1,0.8,5.1,70.0,0.6,0.2,0.1,0.1,0.0,0.1,0.1,6.0,0.1,2.0,1.0,0.1,1.1,16.7
7,"Green, A.J.",CIN,LAC,WR,9.2,1.4,5.2,74.0,0.6,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.2,15.8
8,"Diggs, Stefon",BUF,NYJ,WR,8.0,0.6,5.1,79.0,0.4,0.1,0.0,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.7,15.2
9,"Gallup, Michael",DAL,@LAR,WR,7.3,0.6,5.0,68.0,0.4,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.1,0.0,0.5,14.5
10,"Godwin, Chris",TBB,@NOS,WR,6.6,0.7,4.5,69.0,0.5,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,14.3
