Player,Team,Bye,Tackle,Assist,Sack,PD,INT,FF,FR,FPts
Jamal Adams,SEA,6,80,30,4.5,10,3,2,2,148.0
Landon Collins,WAS,8,88,28,1.0,6,2,2,1,136.0
Budda Baker,ARI,8,99,41,0.5,6,0,2,1,135.5
Tracy Walker,DET,5,82,30,0.0,11,2,1,0,121.0
Jordan Poyer,BUF,11,70,33,1.5,7,2,2,2,119.5
Shawn Williams,CIN,9,79,31,1.0,6,2,1,1,119.5
Kevin Byard,TEN,4,64,25,1.0,11,5,0,1,118.5
Harrison Smith,MIN,7,66,20,2.5,9,3,2,1,118.0
John Johnson,LAR,9,74,39,0.0,11,2,0,1,116.5
Tyrann Mathieu,KC,10,68,15,2.5,10,3,1,1,115.5
Logan Ryan,NYG,11,70,21,2.5,11,2,1,0,114.5
Jessie Bates III,CIN,9,72,35,0.0,8,3,0,1,114.5
Justin Simmons,DEN,5,70,27,0.0,12,3,0,0,110.5
Kevin King,GB,5,60,12,1.0,16,4,1,0,109.0
Malcolm Jenkins,NO,6,65,18,1.5,8,2,2,1,106.0
Bradley McDougald,NYJ,10,69,20,0.0,11,2,1,1,105.0
Taylor Rapp,LAR,9,65,33,0.0,8,2,1,1,104.5
Kenny Moore,IND,7,59,11,2.5,11,3,1,0,103.5
Denzel Ward,CLE,9,48,20,0.0,14,4,1,1,103.0
Eddie Jackson,CHI,11,50,15,1.0,10,3,1,2,99.5
Kyle Fuller,CHI,11,60,9,0.0,14,4,0,0,98.5
Justin Reid,HOU,8,60,18,0.0,9,3,1,1,98.0
Terrell Edmunds,PIT,4,70,32,0.0,5,1,0,1,98.0
Shaquill Griffin,SEA,6,48,22,1.0,14,3,0,0,98.0
Adoree Jackson,TEN,4,65,7,0.0,14,2,1,1,97.5
Jeremy Chinn,CAR,13,60,25,1.0,8,1,2,1,97.5
Kenny Vaccaro,TEN,4,58,28,2.5,5,1,1,1,97.0
Tre'Davious White,BUF,11,45,11,1.0,13,4,1,0,96.5
Adrian Amos,GB,5,59,15,1.5,9,2,1,1,96.5
Tre Flowers,SEA,6,60,15,1.0,7,2,2,1,96.5
Jabrill Peppers,NYG,11,58,29,1.0,7,1,2,1,96.5
Marshon Lattimore,NO,6,47,10,0.0,15,3,2,1,96.0
Keanu Neal,ATL,10,66,31,0.0,8,1,0,0,94.5
Sean Davis,PIT,4,60,20,1.0,7,2,1,0,94.0
James Bradberry,NYG,11,55,15,1.0,13,2,1,0,92.5
Ronnie Harrison,JAC,8,45,28,2.0,10,2,1,1,92.0
Byron Murphy,ARI,8,63,15,0.0,11,2,0,0,91.5
Andrew Sendejo,CLE,9,55,25,2.0,6,2,0,0,91.5
