Team,Bye,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,S,KickTD,FPts
Pittsburgh Steelers,4,51,15,16,2,319,206.8,102.9,1,1,133.0
Los Angeles Rams,9,47,11,15,4,359,227.8,115.6,1,1,131.0
San Francisco 49ers,11,48,14,14,3,336,184.1,112.9,0,1,128.0
Kansas City Chiefs,10,44,9,16,3,321,226.9,134.4,0,2,124.0
Philadelphia Eagles,9,42,12,15,3,366,248.9,96.3,1,1,122.0
Baltimore Ravens,7,38,9,14,4,294,207.9,89.7,1,1,116.0
New England Patriots,5,39,10,13,3,315,203.4,109.9,2,1,113.0
Minnesota Vikings,7,46,12,14,1,335,221.7,111.1,1,1,112.0
New Orleans Saints,6,47,11,11,2,361,246.5,98.0,1,1,111.0
Buffalo Bills,11,40,10,15,2,277,184.7,109.1,1,1,110.0
Indianapolis Colts,7,43,9,15,1,384,240.6,101.8,2,1,107.0
Tampa Bay Buccaneers,13,43,10,12,3,426,266.6,84.6,0,0,105.0
Houston Texans,8,34,12,13,3,379,258.6,113.2,0,0,102.0
Denver Broncos,5,42,8,13,2,331,232.2,115.0,1,0,98.0
Cleveland Browns,9,39,10,15,1,394,230.1,140.7,1,0,97.0
Washington Football Team,8,45,10,10,1,430,238.6,139.8,0,1,97.0
Jacksonville Jaguars,8,39,8,11,2,401,228.4,146.1,1,1,97.0
Seattle Seahawks,6,34,12,13,2,372,256.9,115.1,0,0,96.0
Carolina Panthers,13,44,8,13,1,435,243.1,134.7,2,0,96.0
New York Jets,10,33,8,13,3,372,242.5,97.3,1,0,95.0
New York Giants,11,34,7,13,2,435,257.6,116.4,1,1,94.0
Detroit Lions,5,32,10,11,1,424,270.0,118.8,0,2,92.0
Green Bay Packers,5,42,8,14,1,340,233.8,119.9,0,0,92.0
Tennessee Titans,4,37,8,12,2,349,247.9,110.7,0,0,89.0
Arizona Cardinals,8,43,9,7,2,431,257.2,126.4,0,0,87.0
Los Angeles Chargers,6,35,8,12,1,375,226.9,115.4,0,1,87.0
Chicago Bears,11,34,11,11,1,321,228.4,113.8,1,0,86.0
Miami Dolphins,7,28,7,14,1,437,255.5,138.8,1,1,84.0
Cincinnati Bengals,9,33,6,12,2,436,253.6,152.5,1,0,83.0
Dallas Cowboys,10,39,11,8,1,327,229.4,98.8,0,0,83.0
Atlanta Falcons,10,33,6,13,2,407,250.6,114.4,0,0,83.0
Las Vegas Raiders,6,33,7,10,2,425,247.1,114.7,1,0,81.0
