Player,Team,Bye,FGM,FGA,FG%,EPM,EPA,FPts
Harrison Butker,KC,10,28,32,87.5%,51,53,135.0
Justin Tucker,BAL,7,26,29,89.7%,54,56,132.0
Wil Lutz,NO,6,28,31,90.3%,48,49,132.0
Greg Zuerlein,DAL,10,26,30,86.7%,44,45,122.0
Zane Gonzalez,ARI,8,28,33,84.8%,38,38,122.0
Matt Prater,DET,5,27,32,84.4%,40,41,121.0
Robbie Gould,SF,11,25,29,86.2%,44,46,119.0
Dan Bailey,MIN,7,25,29,86.2%,43,45,118.0
Sam Sloman,LAR,9,26,31,83.9%,39,40,117.0
Chris Boswell,PIT,4,25,29,86.2%,41,42,116.0
Jason Myers,SEA,6,24,29,82.8%,44,45,116.0
Stephen Gostkowski,TEN,4,25,30,83.3%,41,42,116.0
Ryan Succop,TB,13,26,31,83.9%,38,39,116.0
Younghoe Koo,ATL,10,25,29,86.2%,39,40,114.0
Brandon McManus,DEN,5,25,29,86.2%,37,39,112.0
Austin Seibert,CLE,9,26,29,89.7%,34,35,112.0
Justin Rohrwasser,NE,5,25,29,86.2%,36,37,111.0
Rodrigo Blankenship,IND,7,24,29,82.8%,39,41,111.0
Mason Crosby,GB,5,23,26,88.5%,41,42,110.0
Jake Elliott,PHI,9,23,27,85.2%,40,41,109.0
Ka'imi Fairbairn,HOU,8,23,28,82.1%,39,40,108.0
Joey Slye,CAR,13,24,29,82.8%,35,36,107.0
Eddy Pineiro,CHI,11,24,28,85.7%,35,37,107.0
Josh Lambo,JAC,8,23,25,92.0%,38,40,107.0
Randy Bullock,CIN,9,24,28,85.7%,34,36,106.0
Tyler Bass,BUF,11,22,28,78.6%,38,40,104.0
Graham Gano,NYG,11,21,26,80.8%,40,40,103.0
Jason Sanders,MIA,7,22,27,81.5%,35,37,101.0
Mike Badgley,LAC,6,22,24,91.7%,33,34,99.0
Daniel Carlson,LV,6,21,26,80.8%,36,37,99.0
Dustin Hopkins,WAS,8,23,27,85.2%,30,31,99.0
Sam Ficken,NYJ,10,21,27,77.8%,32,33,95.0
