Player,Team,Bye,Tackle,Assist,Sack,PD,INT,FF,FR,FPts
Darius Leonard,IND,7,101,55,6.5,8,4,3,2,201.5
Bobby Wagner,SEA,6,89,66,4.0,8,2,1,1,161.0
Joe Schobert,JAC,8,90,52,3.0,7,2,3,1,156.0
Deion Jones,ATL,10,88,46,1.5,8,3,1,1,151.0
Jaylon Smith,DAL,10,86,50,3.5,6,1,3,2,149.0
Cory Littleton,LV,6,86,42,3.5,10,2,2,1,149.0
Blake Martinez,NYG,11,95,52,4.0,3,1,1,0,148.0
Jordan Hicks,ARI,8,90,46,2.0,5,2,1,1,141.0
Khalil Mack,CHI,11,50,14,11.5,4,1,5,2,137.0
DeMario Davis,NO,6,85,35,5.0,9,0,1,1,136.5
Leighton Vander Esch,DAL,10,81,38,2.5,8,2,2,1,136.0
Chandler Jones,ARI,8,44,11,15.5,4,0,5,2,134.5
Shaq Thompson,CAR,13,93,40,3.5,3,0,1,0,133.0
Devin Bush,PIT,4,80,44,2.0,5,3,1,0,133.0
Lavonte David,TB,13,79,39,2.5,6,1,3,2,132.5
T.J. Watt,PIT,4,40,22,12.5,7,1,5,2,132.0
Jerome Baker,MIA,7,77,44,3.5,5,1,2,1,131.0
Devin White,TB,13,66,39,3.5,5,1,3,3,130.5
Tremaine Edmunds,BUF,11,73,45,2.0,11,2,1,1,129.5
Zach Cunningham,HOU,8,90,40,1.5,3,1,1,1,129.0
Christian Kirksey,GB,5,77,45,3.5,4,0,2,1,125.5
Jamie Collins,DET,5,66,25,5.5,5,2,2,1,123.5
Eric Kendricks,MIN,7,75,46,1.0,8,1,2,1,123.0
Roquan Smith,CHI,11,77,36,3.5,5,1,1,0,122.0
Isaiah Simmons,ARI,8,71,32,2.5,7,2,2,1,122.0
Jarrad Davis,DET,5,71,31,4.5,4,1,2,1,121.5
De'Vondre Campbell,ARI,8,77,30,2.0,3,1,3,2,121.0
Fred Warner,SF,11,80,30,2.0,7,0,2,1,118.0
Rashaan Evans,TEN,4,70,38,5.5,2,0,1,1,118.0
Shaquil Barrett,TB,13,44,11,12.5,3,0,4,1,116.5
Alexander Johnson,DEN,5,63,48,2.5,6,1,2,1,116.0
Patrick Queen,BAL,7,75,40,2.0,3,1,1,0,114.0
Von Miller,DEN,5,40,12,12.5,3,0,3,2,112.0
Neville Hewitt,NYJ,10,62,36,3.5,7,1,1,1,111.0
Danny Trevathan,CHI,11,72,28,2.0,4,2,0,1,110.0
Jayon Brown,TEN,4,66,34,2.5,7,1,1,1,110.0
K.J. Wright,SEA,6,68,52,0.0,7,1,1,0,109.0
Kenneth Murray,LAC,6,61,39,2.5,5,1,2,1,108.5
Anthony Walker Jr.,IND,7,70,38,2.0,3,1,1,0,108.0
Matt Milano,BUF,11,59,30,1.5,9,2,1,2,106.0
Thomas Davis,WAS,8,64,39,2.5,3,1,1,0,104.5
Matt Judon,BAL,7,48,14,9.0,1,0,3,1,103.0
Bradley Chubb,DEN,5,45,18,9.5,3,0,2,1,103.0
Benardrick McKinney,HOU,8,62,41,2.5,3,0,1,2,102.5
Tahir Whitehead,CAR,13,82,37,0.0,2,0,0,0,102.5
Avery Williamson,NYJ,10,54,33,3.5,5,1,2,1,102.5
Myles Jack,JAC,8,68,30,1.5,3,1,1,1,102.0
Malik Harrison,BAL,7,74,45,1.0,1,0,0,0,101.5
Anthony Hitchens,KC,10,66,40,2.0,1,0,1,0,98.0
Kyle Van Noy,MIA,7,48,22,5.0,4,1,2,2,98.0
Harold Landry,TEN,4,40,23,9.5,2,0,1,1,96.5
Za'Darius Smith,GB,5,38,17,11.0,1,0,1,0,94.5
Cole Holcomb,WAS,8,66,30,1.0,1,0,2,1,94.0
