Player,Team,Bye,Comp,PassAtt,PassYard,PassTD,INT,RushAtt,RushYard,RushTD,FPts
Lamar Jackson,BAL,7,282,440,"3,255",30,12,165,988,6,417.6
Patrick Mahomes,KC,10,373,566,"4,582",34,9,56,229,2,400.0
Dak Prescott,DAL,10,387,596,"4,530",28,12,71,304,4,392.9
Kyler Murray,ARI,8,374,585,"4,154",25,13,97,513,3,377.0
Russell Wilson,SEA,6,321,494,"3,950",30,8,74,361,3,371.6
Deshaun Watson,HOU,8,341,525,"3,834",25,13,89,482,5,369.9
Matt Ryan,ATL,10,430,642,"4,686",28,13,37,134,1,365.7
Josh Allen,BUF,11,310,517,"3,622",22,11,105,535,7,364.6
Carson Wentz,PHI,9,357,549,"4,118",26,7,70,251,2,347.0
Drew Brees,NO,6,378,517,"4,138",32,8,29,23,1,343.2
Matthew Stafford,DET,5,377,581,"4,355",28,11,23,69,1,342.7
Aaron Rodgers,GB,5,366,582,"4,130",26,6,44,194,1,335.9
Jared Goff,LAR,9,378,591,"4,433",25,14,39,75,1,335.2
Tom Brady,TB,13,366,564,"4,170",27,10,24,33,1,325.8
Daniel Jones,NYG,11,332,535,"3,637",25,14,59,303,2,324.2
Cam Newton,NE,5,296,478,"3,440",22,12,122,377,4,321.7
Gardner Minshew,JAC,8,320,533,"3,675",23,11,70,321,2,319.9
Joe Burrow,CIN,9,321,518,"3,727",23,17,66,259,2,316.3
Ben Roethlisberger,PIT,4,333,512,"3,940",27,14,19,39,1,314.9
Ryan Tannehill,TEN,4,304,468,"3,651",24,11,48,211,2,311.7
Jimmy Garoppolo,SF,11,321,494,"3,855",26,12,31,55,1,308.3
Philip Rivers,IND,7,353,543,"4,180",24,16,12,19,0,306.9
Kirk Cousins,MIN,7,348,520,"3,845",25,9,28,74,1,305.7
Baker Mayfield,CLE,9,323,522,"3,756",24,15,28,148,1,304.6
Drew Lock,DEN,5,329,522,"3,548",22,12,59,225,2,299.9
Teddy Bridgewater,CAR,13,338,528,"3,751",22,15,34,85,1,290.1
Sam Darnold,NYJ,10,298,497,"3,482",22,14,47,117,1,279.8
Derek Carr,LV,6,308,481,"3,559",20,10,26,65,1,270.5
Dwayne Haskins,WAS,8,265,449,"3,050",16,12,43,189,1,241.4
Tyrod Taylor,LAC,6,218,346,"2,425",14,7,56,245,2,213.8
Nick Foles,CHI,11,229,358,"2,612",17,9,18,42,0,202.8
Ryan Fitzpatrick,MIA,7,219,348,"2,436",15,11,35,141,1,201.9
Tua Tagovailoa,MIA,7,148,247,"1,756",9,6,35,126,1,142.4
Mitchell Trubisky,CHI,11,131,205,"1,453",8,6,24,105,1,121.2
Justin Herbert,LAC,6,116,197,"1,356",7,6,30,116,1,113.4
Marcus Mariota,LV,6,39,66,459,4,2,8,37,0,42.7
Jarrett Stidham,NE,5,42,68,490,3,2,9,27,0,39.2
Jalen Hurts,PHI,9,19,35,256,1,0,13,65,1,29.3
Taysom Hill,NO,6,4,9,61,0,0,31,174,1,26.5
Mason Rudolph,PIT,4,30,51,355,2,1,1,6,0,26.4
Will Grier,CAR,13,31,51,354,2,1,1,6,0,26.3
Jake Luton,JAC,8,28,51,339,1,2,4,16,0,22.6
Alex Smith,WAS,8,22,35,245,2,0,2,8,0,21.1
Colt McCoy,NYG,11,26,43,288,1,1,0,0,0,18.4
Jeff Driskel,DEN,5,25,40,265,1,2,1,6,0,17.9
Sean Mannion,MIN,7,21,36,272,1,1,0,2,0,17.8
Jordan Love,GB,5,13,20,155,1,0,7,34,0,15.2
AJ McCarron,HOU,8,19,31,215,1,1,1,4,0,15.2
Ryan Finley,CIN,9,16,25,189,1,0,4,16,0,15.1
Case Keenum,CLE,9,20,31,209,1,1,1,3,0,14.8
Logan Woodside,TEN,4,15,24,178,1,1,0,2,0,13.1
Robert Griffin III,BAL,7,12,19,145,1,1,4,13,0,12.6
Matt Barkley,BUF,11,13,20,141,1,1,1,1,0,11.2
Blaine Gabbert,TB,13,11,19,131,1,0,1,5,0,11.1
Nick Mullens,SF,11,17,28,186,0,1,0,0,0,9.3
Jameis Winston,NO,6,12,19,155,0,0,2,6,0,8.4
Chase Daniel,DET,5,11,19,136,0,0,1,4,0,7.2
Andy Dalton,DAL,10,9,14,103,0,0,0,1,0,5.3
Chad Henne,KC,10,7,11,77,0,0,0,2,0,4.1
