Player,Team,Bye,RushAtt,RushYard,RushTD,Rec,RecYard,RecTD,FPts
Christian McCaffrey,CAR,13,242,"1,161",10,107,884,4,288.5
Dalvin Cook,MIN,7,246,"1,180",11,63,551,2,251.1
Saquon Barkley,NYG,11,268,"1,260",10,64,517,2,249.7
Ezekiel Elliott,DAL,10,292,"1,316",10,59,446,2,248.2
Derrick Henry,TEN,4,288,"1,440",13,23,195,1,247.5
Alvin Kamara,NO,6,178,856,8,82,629,3,214.5
Clyde Edwards-Helaire,KC,10,212,955,8,57,475,3,209.0
Joe Mixon,CIN,9,267,"1,176",7,45,335,2,205.1
Aaron Jones,GB,5,208,979,9,51,385,2,202.4
Kenyan Drake,ARI,8,216,"1,013",7,55,416,2,196.9
Miles Sanders,PHI,9,237,"1,067",5,56,474,2,196.1
Josh Jacobs,LV,6,257,"1,208",8,27,201,1,194.9
Nick Chubb,CLE,9,297,"1,189",8,29,211,1,194.0
Todd Gurley,ATL,10,217,953,8,49,356,2,190.9
Chris Carson,SEA,6,247,"1,111",8,32,241,1,189.2
James Conner,PIT,4,220,945,6,46,346,2,177.1
Austin Ekeler,LAC,6,150,645,3,71,675,4,174.0
David Johnson,HOU,8,214,854,5,47,399,3,173.3
Le'Veon Bell,NYJ,10,209,815,5,56,406,2,164.1
Melvin Gordon,DEN,5,212,846,6,39,288,1,155.4
Mark Ingram,BAL,7,182,855,6,27,217,2,155.2
Jonathan Taylor,IND,7,186,837,7,20,135,1,145.2
Leonard Fournette,TB,13,194,815,5,39,285,0,140.0
Raheem Mostert,SF,11,159,796,6,20,165,1,138.1
Antonio Gibson,WAS,8,150,645,4,54,359,2,136.4
Cam Akers,LAR,9,184,735,5,35,235,1,133.0
Devin Singletary,BUF,11,175,841,3,33,237,1,131.8
David Montgomery,CHI,11,191,744,5,24,183,1,128.7
Tevin Coleman,SF,11,150,677,5,30,239,1,127.6
Marlon Mack,IND,7,175,789,5,15,94,1,124.3
D'Andre Swift,DET,5,154,677,4,32,245,1,122.2
Kareem Hunt,CLE,9,113,495,4,52,402,1,119.7
James White,NE,5,65,275,2,65,547,4,118.2
Matt Breida,MIA,7,138,606,3,36,245,2,115.1
Phillip Lindsay,DEN,5,129,567,4,38,255,1,112.2
J.K. Dobbins,BAL,7,146,655,5,17,129,0,108.4
Duke Johnson,HOU,8,94,387,2,43,386,3,107.3
Tarik Cohen,CHI,11,85,339,2,68,465,2,104.4
Jordan Howard,MIA,7,159,635,5,15,98,0,103.3
Latavius Murray,NO,6,120,515,4,27,179,1,99.4
Kerryon Johnson,DET,5,122,526,3,28,221,1,98.7
Zack Moss,BUF,11,131,604,4,16,111,0,95.5
Ronald Jones,TB,13,120,515,3,24,186,1,94.1
Chris Thompson,JAC,8,64,249,1,52,385,2,81.4
Boston Scott,PHI,9,96,414,3,28,217,0,81.1
Alexander Mattison,MIN,7,115,531,3,12,73,0,78.4
Sony Michel,NE,5,124,497,3,12,86,0,76.3
Chase Edmonds,ARI,8,93,426,2,20,145,1,75.1
Damien Harris,NE,5,94,442,3,15,125,0,74.7
Jamaal Williams,GB,5,75,299,2,34,245,1,72.4
Justin Jackson,LAC,6,111,465,3,12,79,0,72.4
