Player,Team,Bye,Rec,RecYard,RecTD,RushAtt,RushYard,RushTD,FPts
Michael Thomas,NO,6,130,"1,558",8,0,0,0,203.8
Davante Adams,GB,5,100,"1,282",11,0,0,0,194.2
Julio Jones,ATL,10,98,"1,421",7,0,0,0,184.1
Tyreek Hill,KC,10,76,"1,150",8,8,44,0,167.4
DeAndre Hopkins,ARI,8,95,"1,145",8,0,0,0,162.5
Kenny Golladay,DET,5,77,"1,134",8,0,0,0,161.4
Adam Thielen,MIN,7,82,"1,128",7,0,0,0,154.8
Robert Woods,LAR,9,86,"1,099",5,11,84,1,154.3
Chris Godwin,TB,13,79,"1,104",7,0,0,0,152.4
JuJu Smith-Schuster,PIT,4,84,"1,101",7,0,0,0,152.1
A.J. Brown,TEN,4,70,"1,099",6,7,51,0,151.0
Amari Cooper,DAL,10,79,"1,085",7,0,0,0,150.5
DeVante Parker,MIA,7,78,"1,134",6,0,0,0,149.4
Odell Beckham Jr.,CLE,9,80,"1,110",6,3,20,0,149.0
Cooper Kupp,LAR,9,78,"1,066",7,0,0,0,148.6
Calvin Ridley,ATL,10,77,"1,015",7,0,31,0,146.6
Tyler Lockett,SEA,6,73,"1,007",7,4,30,0,145.7
D.J. Moore,CAR,13,83,"1,085",6,0,0,0,144.5
Allen Robinson,CHI,11,83,"1,085",6,0,0,0,144.5
Mike Evans,TB,13,65,"1,021",7,0,0,0,144.1
Courtland Sutton,DEN,5,73,"1,066",6,0,0,0,142.6
T.Y. Hilton,IND,7,73,"1,107",5,0,0,0,140.7
Keenan Allen,LAC,6,84,"1,047",6,0,0,0,140.7
A.J. Green,CIN,9,73,"1,026",6,0,0,0,138.6
DK Metcalf,SEA,6,63,957,7,0,0,0,137.7
D.J. Chark,JAC,8,72,959,6,0,0,0,131.9
Terry McLaurin,WAS,8,67,955,6,0,0,0,131.5
Michael Gallup,DAL,10,61,955,6,0,0,0,131.5
Julian Edelman,NE,5,85,965,5,10,42,0,130.7
Stefon Diggs,BUF,11,62,914,6,4,26,0,130.0
Jarvis Landry,CLE,9,71,935,6,0,0,0,129.5
Brandin Cooks,HOU,8,67,913,5,0,0,0,121.3
Tyler Boyd,CIN,9,73,896,5,0,0,0,119.6
Marquise Brown,BAL,7,64,831,6,0,0,0,119.1
Jamison Crowder,NYJ,10,75,835,5,0,0,0,113.5
Christian Kirk,ARI,8,66,776,5,8,58,0,113.4
DeSean Jackson,PHI,9,53,814,5,0,0,0,111.4
Henry Ruggs III,LV,6,59,773,5,4,29,0,110.2
Sterling Shepard,NYG,11,66,751,5,6,42,0,109.3
Marvin Jones,DET,5,61,782,5,0,0,0,108.2
Diontae Johnson,PIT,4,58,734,5,5,35,0,106.9
Will Fuller,HOU,8,53,754,5,0,0,0,105.4
John Brown,BUF,11,50,746,5,0,0,0,104.6
Deebo Samuel,SF,11,46,624,4,10,82,1,100.6
Emmanuel Sanders,NO,6,54,701,5,0,0,0,100.1
Anthony Miller,CHI,11,59,751,4,0,0,0,99.1
Golden Tate,NYG,11,54,655,5,0,0,0,95.5
Corey Davis,TEN,4,50,651,5,0,0,0,95.1
Darius Slayton,NYG,11,44,645,5,0,0,0,94.5
Michael Pittman Jr.,IND,7,53,691,4,0,0,0,93.1
Allen Lazard,GB,5,51,685,4,0,0,0,92.5
Curtis Samuel,CAR,13,46,532,4,12,88,1,92.0
Preston Williams,MIA,7,52,675,4,0,0,0,91.5
Mike Williams,LAC,6,40,667,4,0,0,0,90.7
Cole Beasley,BUF,11,58,665,4,0,0,0,90.5
Sammy Watkins,KC,10,48,637,4,0,0,0,87.7
Jerry Jeudy,DEN,5,50,627,4,0,0,0,86.7
CeeDee Lamb,DAL,10,44,616,4,0,0,0,85.6
Danny Amendola,DET,5,61,645,3,0,0,0,82.5
Breshad Perriman,NYJ,10,42,583,4,0,0,0,82.3
Jalen Reagor,PHI,9,45,582,4,0,0,0,82.2
Robby Anderson,CAR,13,43,614,3,0,0,0,79.4
N'Keal Harry,NE,5,43,595,3,0,0,0,77.5
Bryan Edwards,LV,6,42,535,4,0,0,0,77.5
Justin Jefferson,MIN,7,45,555,3,0,0,0,73.5
Larry Fitzgerald,ARI,8,51,535,3,0,0,0,71.5
Mecole Hardman,KC,10,26,449,4,4,26,0,71.5
Parris Campbell,IND,7,38,509,3,0,0,0,68.9
Chris Conley,JAC,8,37,506,3,0,0,0,68.6
Steven Sims,WAS,8,37,466,3,5,35,0,68.1
Brandon Aiyuk,SF,11,32,435,4,0,0,0,67.5
Hunter Renfrow,LV,6,39,487,3,0,0,0,66.7
Tee Higgins,CIN,9,36,482,3,0,0,0,66.2
Russell Gage,ATL,10,33,435,3,0,0,0,61.5
Laviska Shenault,JAC,8,29,345,2,14,82,1,60.7
Randall Cobb,HOU,8,44,482,2,0,0,0,60.2
John Ross,CIN,9,26,385,3,4,26,0,59.1
Kendrick Bourne,SF,11,34,406,3,0,0,0,58.6
Jakeem Grant,MIA,7,32,389,3,0,0,0,56.9
James Washington,PIT,4,26,355,3,0,0,0,53.5
Olabisi Johnson,MIN,7,34,415,2,0,0,0,53.5
Alshon Jeffery,PHI,9,27,344,3,0,0,0,52.4
Adam Humphries,TEN,4,39,401,2,0,0,0,52.1
Marquez Valdes-Scantling,GB,5,28,377,2,0,0,0,49.7
Jakobi Meyers,NE,5,30,376,2,0,0,0,49.6
Miles Boykin,BAL,7,25,365,2,0,0,0,48.5
Willie Snead,BAL,7,28,355,2,0,0,0,47.5
Van Jefferson,LAR,9,28,349,2,0,0,0,46.9
Kenny Stills,HOU,8,25,345,2,0,0,0,46.5
Josh Reynolds,LAR,9,24,335,2,0,0,0,45.5
Phillip Dorsett,SEA,6,26,329,2,0,0,0,44.9
Dede Westbrook,JAC,8,36,384,1,0,0,0,44.4
Chase Claypool,PIT,4,24,322,2,0,0,0,44.2
Keelan Cole,JAC,8,21,313,2,0,0,0,43.3
Tim Patrick,DEN,5,30,313,2,0,0,0,43.3
Dontrelle Inman,WAS,8,25,288,2,0,0,0,40.8
Tre'Quan Smith,NO,6,20,277,2,0,0,0,39.7
Chris Hogan,NYJ,10,22,276,2,0,0,0,39.6
Riley Ridley,CHI,11,21,256,2,0,0,0,37.6
Damiere Byrd,NE,5,21,256,2,0,0,0,37.6
