Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass TDs,Ints Thrown,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Derek Carr,LV,482.0,344.0,"3,796.0",23.0,11.0,24.0,63.0,2.0,5.0,240.1
Cam Newton,NE,522.0,311.0,"3,349.0",21.0,12.0,124.0,499.0,4.0,2.0,267.9
Philip Rivers,IND,528.0,320.0,"3,528.0",25.0,12.0,21.0,43.0,0.0,3.0,221.4
Lamar Jackson,BAL,468.0,300.0,"3,527.0",34.0,14.0,147.0,950.0,4.0,3.0,368.1
Drew Brees,NO,517.0,367.0,"3,836.0",30.0,10.0,22.0,32.0,2.0,1.0,268.6
Jeff Driskel,DEN,22.0,12.0,137.0,1.0,1.0,4.0,22.0,0.0,0.0,9.7
Kyler Murray,ARI,560.0,365.0,"3,816.0",25.0,15.0,85.0,555.0,3.0,2.0,296.1
Jacob Eason,IND,10.0,6.0,64.0,0.0,0.0,1.0,2.0,0.0,0.0,2.8
Josh Allen,BUF,542.0,310.0,"3,568.0",23.0,17.0,106.0,699.0,8.0,4.0,318.6
Joe Burrow,CIN,588.0,361.0,"3,989.0",24.0,14.0,26.0,153.0,1.0,6.0,248.9
Justin Herbert,LAC,26.0,16.0,205.0,1.0,1.0,2.0,6.0,0.0,0.0,10.8
Andy Dalton,DAL,23.0,15.0,184.0,1.0,1.0,5.0,21.0,0.0,0.0,11.5
Kirk Cousins,MIN,456.0,313.0,"3,612.0",25.0,11.0,43.0,103.0,1.0,6.0,238.8
Logan Woodside,TEN,12.0,8.0,105.0,1.0,0.0,1.0,4.0,0.0,0.0,8.6
Nathan Peterman,LV,4.0,3.0,30.0,0.0,0.0,1.0,4.0,0.0,0.0,1.6
Ryan Tannehill,TEN,404.0,267.0,"3,438.0",24.0,11.0,64.0,259.0,3.0,4.0,255.4
Jarrett Stidham,NE,8.0,5.0,50.0,0.0,0.0,2.0,2.0,0.0,0.0,2.2
Jalen Hurts,PHI,18.0,11.0,121.0,1.0,0.0,41.0,217.0,2.0,6.0,42.5
Brett Hundley,ARI,23.0,14.0,148.0,1.0,0.0,4.0,16.0,0.0,0.0,11.5
Colt McCoy,NYG,24.0,15.0,164.0,1.0,1.0,2.0,11.0,0.0,0.0,9.7
Sean Mannion,MIN,18.0,11.0,130.0,0.0,0.0,5.0,4.0,0.0,0.0,5.6
John Wolford,LAR,19.0,12.0,136.0,1.0,0.0,1.0,3.0,0.0,0.0,9.7
Tom Brady,TB,543.0,337.0,"4,517.0",29.0,13.0,24.0,37.0,2.0,1.0,286.4
Gardner Minshew II,JAC,558.0,346.0,"3,773.0",21.0,11.0,80.0,387.0,1.0,8.0,257.6
Jimmy Garoppolo,SF,456.0,307.0,"3,729.0",26.0,19.0,51.0,73.0,1.0,4.0,228.5
Taysom Hill,NO,12.0,7.0,77.0,1.0,0.0,1.0,4.0,1.0,0.0,13.5
Jacoby Brissett,IND,11.0,6.0,71.0,0.0,0.0,2.0,10.0,0.0,0.0,3.8
Ryan Finley,CIN,24.0,14.0,152.0,1.0,1.0,4.0,15.0,0.0,0.0,9.6
Jake Luton,JAC,17.0,11.0,116.0,1.0,0.0,1.0,3.0,0.0,0.0,8.9
Tyrod Taylor,LAC,488.0,315.0,"3,891.0",23.0,17.0,48.0,226.0,1.0,2.0,242.2
Mason Rudolph,PIT,22.0,15.0,158.0,1.0,1.0,4.0,14.0,0.0,0.0,9.7
Jameis Winston,NO,23.0,15.0,157.0,1.0,0.0,4.0,18.0,0.0,0.0,12.1
Mitchell Trubisky,CHI,463.0,302.0,"3,076.0",19.0,12.0,25.0,119.0,1.0,1.0,192.9
Dak Prescott,DAL,579.0,382.0,"4,698.0",29.0,14.0,65.0,294.0,5.0,4.0,335.3
Jared Goff,LAR,607.0,382.0,"4,516.0",24.0,16.0,40.0,65.0,1.0,4.0,257.1
Dwayne Haskins,WAS,437.0,272.0,"2,900.0",18.0,17.0,25.0,99.0,0.0,3.0,163.9
Tua Tagovailoa,MIA,387.0,248.0,"2,760.0",17.0,14.0,16.0,66.0,1.0,3.0,163.0
Teddy Bridgewater,CAR,599.0,381.0,"4,092.0",22.0,15.0,12.0,13.0,0.0,0.0,223.0
Matt Ryan,ATL,642.0,432.0,"4,794.0",28.0,17.0,34.0,127.0,2.0,5.0,294.5
Matthew Stafford,DET,560.0,351.0,"4,130.0",25.0,16.0,34.0,103.0,0.0,5.0,243.5
Phillip Walker,CAR,18.0,12.0,125.0,1.0,0.0,1.0,4.0,0.0,0.0,9.4
AJ McCarron,HOU,21.0,14.0,163.0,1.0,1.0,1.0,6.0,0.0,0.0,9.1
Kyle Allen,WAS,19.0,11.0,122.0,1.0,1.0,2.0,7.0,0.0,0.0,7.6
