Player,Team,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Tanner Hudson,TB,10.0,124.0,1.0,0.0,18.4
O.J. Howard,TB,36.0,548.0,3.0,1.0,72.8
Logan Thomas,WAS,26.0,208.0,1.0,0.0,26.8
Eric Ebron,PIT,46.0,521.0,5.0,0.0,82.1
Rob Gronkowski,TB,52.0,906.0,3.0,1.0,108.6
Dalton Schultz,DAL,21.0,236.0,1.0,0.0,29.6
Nick Boyle,BAL,32.0,329.0,3.0,0.0,50.9
Ryan Izzo,NE,9.0,123.0,1.0,0.0,18.3
Will Dissly,SEA,18.0,241.0,3.0,0.0,42.1
Jason Witten,LV,11.0,92.0,1.0,0.0,15.2
Andrew Beck,DEN,17.0,184.0,2.0,0.0,30.4
Greg Olsen,SEA,38.0,489.0,4.0,0.0,72.9
Joshua Perkins,PHI,12.0,129.0,1.0,0.0,18.9
Tyler Eifert,JAC,44.0,464.0,3.0,0.0,64.4
Dawson Knox,BUF,38.0,528.0,3.0,0.0,70.8
Tyler Kroft,BUF,22.0,239.0,2.0,0.0,35.9
David Njoku,CLE,51.0,585.0,5.0,1.0,88.5
Nick Vannett,DEN,22.0,211.0,1.0,0.0,27.1
Darren Waller,LV,82.0,"1,022.0",4.0,1.0,126.2
Donald Parham Jr.,LAC,10.0,113.0,1.0,0.0,17.3
Josh Hill,NO,25.0,227.0,2.0,0.0,34.7
Adam Trautman,NO,16.0,149.0,1.0,0.0,20.9
Chris Herndon IV,NYJ,44.0,562.0,6.0,0.0,92.2
J.P. Holtz,CHI,11.0,123.0,1.0,0.0,18.3
Foster Moreau,LV,11.0,92.0,1.0,0.0,15.2
Cameron Brate,TB,27.0,278.0,4.0,0.0,51.8
Ryan Griffin,NYJ,35.0,372.0,3.0,0.0,55.2
Vance McDonald,PIT,44.0,442.0,3.0,0.0,62.2
Austin Hooper,CLE,65.0,739.0,5.0,1.0,103.9
Ian Thomas,CAR,61.0,576.0,4.0,1.0,81.6
Tommy Sweeney,BUF,10.0,127.0,1.0,0.0,18.7
Dan Arnold,ARI,23.0,287.0,2.0,0.0,40.7
Noah Fant,DEN,53.0,788.0,5.0,1.0,108.8
Jordan Akins,HOU,28.0,339.0,1.0,0.0,39.9
T.J. Hockenson,DET,55.0,646.0,3.0,1.0,82.6
Jerell Adams,BAL,9.0,99.0,1.0,0.0,15.9
Jared Cook,NO,48.0,679.0,7.0,0.0,109.9
Pharaoh Brown,HOU,10.0,116.0,1.0,0.0,17.6
Jeremy Sprinkle,WAS,24.0,216.0,1.0,0.0,27.6
Anthony Firkser,TEN,27.0,362.0,3.0,0.0,54.2
Kyle Rudolph,MIN,44.0,457.0,5.0,0.0,75.7
