Player,Team,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Tanner Hudson,TB,,,,0.0,0.0
Brandon Dillon,MIN,0.0,0.0,0.0,0.0,0.0
Tommy Stevens,CAR,0.0,0.0,0.0,0.0,0.0
Jason Croom,PHI,,,,0.0,0.0
O.J. Howard,TB,22.6,305.8,2.2,0.2,43.2
Logan Thomas,WAS,32.7,351.4,2.1,0.2,47.1
Eric Ebron,PIT,43.4,504.0,3.9,0.2,73.5
Rob Gronkowski,TB,47.5,649.3,4.6,0.3,91.9
Dalton Schultz,DAL,15.4,167.4,1.2,0.1,23.8
Darrell Daniels,ARI,3.4,38.9,0.4,0.0,6.0
Nick Boyle,BAL,33.3,306.5,2.9,0.1,47.8
Ryan Izzo,NE,6.9,81.1,0.6,0.0,11.5
Zach Gentry,PIT,3.8,41.5,0.4,0.0,6.4
Jared Pinkney,ATL,0.0,0.0,0.0,0.0,0.0
Eric Saubert,JAC,2.0,21.2,0.1,0.0,2.8
Will Dissly,SEA,32.6,389.1,3.7,0.2,61.0
Caleb Wilson,PHI,0.0,0.0,0.0,0.0,0.0
Jason Witten,LV,7.8,71.8,0.6,0.1,10.9
Andrew Beck,DEN,6.0,50.1,0.2,0.0,6.4
Sean Culkin,BAL,0.0,0.0,0.0,0.0,0.0
Greg Olsen,SEA,27.4,324.8,3.1,0.1,51.1
Joshua Perkins,PHI,,,,0.0,0.0
Tyler Eifert,JAC,41.7,471.2,3.1,0.2,65.2
Dawson Knox,BUF,37.1,442.5,2.9,0.2,61.1
Tyler Kroft,BUF,13.0,131.1,1.3,0.1,20.6
David Njoku,CLE,15.3,179.5,1.9,0.1,28.9
Nick Vannett,DEN,5.5,54.2,0.4,0.0,7.6
Sean McKeon,DAL,3.7,39.5,0.3,0.0,5.5
Colby Parkinson,SEA,0.0,0.0,0.0,0.0,0.0
Darren Waller,LV,72.7,853.8,5.2,0.4,115.5
Donald Parham Jr.,LAC,3.2,33.6,0.2,0.0,4.5
Josh Hill,NO,15.2,146.3,1.7,0.1,24.9
Chris Herndon IV,NYJ,49.1,599.6,3.8,0.3,82.3
Adam Trautman,NO,3.6,42.2,0.4,0.0,6.4
J.P. Holtz,CHI,2.0,21.4,0.1,0.0,2.7
Foster Moreau,LV,14.8,144.2,1.3,0.1,22.0
Cameron Brate,TB,13.7,136.6,1.5,0.1,22.7
Ryan Griffin,NYJ,14.1,136.1,1.1,0.1,19.9
Temarrick Hemingway,WAS,0.0,0.0,0.0,0.0,0.0
Jake Butt,DEN,1.7,17.9,0.1,0.0,2.5
Blake Bell,DAL,11.3,123.0,1.0,0.1,18.1
Lee Smith,BUF,3.5,32.9,0.3,0.0,5.0
Vance McDonald,PIT,23.3,238.7,2.0,0.2,35.4
Austin Hooper,CLE,48.4,515.9,4.9,0.1,80.9
Ian Thomas,CAR,43.3,423.9,2.4,0.2,56.4
Thaddeus Moss,WAS,0.0,0.0,0.0,0.0,0.0
Tommy Sweeney,BUF,,,,0.0,0.0
Daniel Brown,NYJ,3.6,37.6,0.3,0.0,5.3
Xavier Grimble,BAL,,,,0.0,0.0
Dan Arnold,ARI,27.8,348.9,3.2,0.2,53.6
Noah Fant,DEN,56.2,640.4,4.2,0.3,90.2
Jordan Akins,HOU,32.3,350.0,2.5,0.2,49.6
Taysom Hill,NO,14.9,165.4,1.3,0.3,57.5
T.J. Hockenson,DET,53.9,617.9,4.4,0.3,87.6
Stephen Carlson,CLE,1.7,19.0,0.2,0.0,2.8
Jared Cook,NO,46.2,656.5,6.4,0.3,103.3
Pharaoh Brown,HOU,,,,0.0,0.0
Jeremy Sprinkle,WAS,22.1,230.3,1.3,0.1,30.7
Anthony Firkser,TEN,21.3,255.9,2.0,0.1,37.5
Kyle Rudolph,MIN,32.2,323.3,3.3,0.1,51.6
Irv Smith Jr.,MIN,45.8,482.9,2.9,0.3,65.0
Chris Manhertz,CAR,7.8,86.5,0.6,0.1,12.0
Hunter Bryant,DET,5.3,57.6,0.4,0.0,8.0
Antony Auclair,TB,2.0,20.9,0.2,0.0,3.2
Mo Alie-Cox,IND,11.9,149.9,1.3,0.1,22.6
Blake Jarwin,DAL,43.8,493.3,3.6,0.3,70.2
Hayden Hurst,ATL,54.1,619.3,4.4,0.3,87.9
Evan Baylis,ARI,,,,0.0,0.0
Jordan Reed,SF,20.3,215.6,1.8,0.2,31.7
Stephen Sullivan,SEA,0.0,0.0,0.0,0.0,0.0
Stephen Anderson,LAC,,,,0.0,0.0
MyCole Pruitt,TEN,9.5,103.9,0.9,0.1,15.5
Jacob Hollister,SEA,6.5,64.1,0.6,0.0,10.1
Derek Carrier,LV,3.6,37.7,0.3,0.0,5.4
Jace Sternberger,GB,31.5,338.6,2.7,0.2,49.7
Ross Dwelley,SF,3.2,35.3,0.3,0.0,5.4
Garrett Griffin,NO,,,,0.0,0.0
Adam Shaheen,MIA,2.0,20.3,0.2,0.0,3.0
Jordan Thomas,NE,,,,0.0,0.0
C.J. Uzomah,CIN,37.0,341.3,2.6,0.2,49.6
Codey McElroy,TB,,,,0.0,0.0
Travis Kelce,KC,91.0,"1,132.0",9.8,0.5,173.0
Kahale Warring,HOU,6.9,72.5,0.6,0.1,10.6
Deon Yelder,KC,2.1,24.2,0.2,0.0,3.7
Evan Engram,NYG,64.0,692.1,5.0,0.3,102.5
Drew Sample,CIN,18.2,197.7,1.2,0.1,26.8
Mike Gesicki,MIA,53.9,602.1,4.3,0.4,84.9
Jesper Horsted,CHI,,,,,0.0
George Kittle,SF,80.3,998.4,6.4,0.4,142.3
Marcedes Lewis,GB,10.7,109.4,1.1,0.1,17.3
James O'Shaughnessy,JAC,22.6,225.2,1.3,0.1,30.1
Jack Doyle,IND,49.9,525.0,4.7,0.4,80.1
Troy Fumagalli,DEN,,,,0.0,0.0
Kendall Blanton,LAR,0.0,0.0,0.0,0.0,0.0
Ross Travis,NYJ,,,,0.0,0.0
Jimmy Graham,CHI,41.8,498.0,3.1,0.3,67.8
Geoff Swaim,TEN,3.3,30.3,0.3,0.0,4.6
Trey Burton,IND,17.3,176.8,1.4,0.1,25.8
Josiah Deguara,GB,7.5,72.1,0.6,0.1,10.6
Mason Schreck,CIN,0.0,0.0,0.0,0.0,0.0
Dallas Goedert,PHI,49.9,504.2,4.2,0.5,74.5
Ricky Seals-Jones,KC,6.0,79.1,0.8,0.0,12.4
Jaeden Graham,ATL,8.4,94.9,0.7,0.1,13.5
Brycen Hopkins,LAR,3.7,40.8,0.2,0.0,5.4
Hale Hentges,IND,,,0.0,0.0,0.0
Jordan Leggett,DEN,,,,0.0,0.0
