Player,Team,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Mike Williams,LAC,42.3,723.0,3.8,,,,0.1,95.1
Terry Godwin,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Jones Jr.,DET,62.3,887.2,7.1,2.0,11.5,0.1,0.2,132.3
Freddie Swain,SEA,1.9,23.1,0.2,0.0,0.0,0.0,0.0,3.3
Trishton Jackson,LAR,1.7,21.9,0.1,0.0,0.0,0.0,0.0,2.8
Antonio Callaway,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakeem Butler,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randall Cobb,HOU,46.5,584.5,3.4,3.8,19.7,0.1,0.4,80.6
Golden Tate,NYG,61.8,757.5,4.1,3.7,20.8,0.1,0.5,102.2
Olamide Zaccheaus,ATL,11.4,150.4,0.9,0.0,0.0,0.0,0.1,20.2
Jaron Brown,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Wesley,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakeem Grant,MIA,45.4,535.3,2.3,6.9,38.2,0.2,0.3,72.3
Penny Hart,SEA,0.5,5.5,0.0,0.0,0.0,0.0,0.0,0.8
Lil'Jordan Humphrey,NO,,,,0.0,0.0,0.0,0.0,0.0
Christian Blake,ATL,15.4,179.8,1.2,0.0,0.0,0.0,0.1,25.2
DeSean Jackson,PHI,46.5,737.9,3.9,,,,0.2,97.0
Gabriel Davis,BUF,9.5,132.3,0.7,0.0,0.0,0.0,0.1,17.4
Keenan Allen,LAC,83.6,985.0,4.8,4.1,25.2,0.1,0.4,129.6
Tyreek Hill,KC,78.4,"1,113.6",8.6,10.5,66.0,0.6,0.3,172.4
Allen Robinson II,CHI,85.1,"1,042.9",5.5,1.8,10.6,0.0,0.4,138.2
Juwann Winfree,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robby Anderson,CAR,57.2,834.6,4.5,1.8,10.4,0.1,0.5,111.0
Quez Watkins,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Reed,LAC,9.2,112.4,0.6,8.1,48.8,0.2,0.1,20.8
Larry Fitzgerald,ARI,55.8,601.6,4.6,0.0,0.0,0.0,0.4,87.2
Steven Mitchell Jr.,HOU,,,,0.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown,GB,22.1,300.7,1.8,,,0.0,0.1,40.3
Odell Beckham Jr.,CLE,72.0,"1,007.7",6.7,4.1,24.0,0.1,0.4,143.7
Ryan Switzer,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,PIT,80.4,"1,033.6",6.6,,,0.0,0.5,142.2
Robert Davis,LV,,,,0.0,0.0,0.0,0.0,0.0
Fred Brown,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodney Adams,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deebo Samuel,SF,58.5,774.0,4.5,16.2,140.3,0.8,0.5,122.4
DaeSean Hamilton,DEN,16.4,175.3,1.0,0.0,0.0,0.0,0.1,23.2
KhaDarel Hodge,CLE,5.8,78.8,0.6,0.0,0.0,0.0,0.0,11.3
Richie James Jr.,SF,1.8,24.8,0.2,4.7,22.8,0.2,0.0,6.8
Josh Malone,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Godwin,TB,83.6,"1,149.6",7.4,,,,0.6,158.3
Trenton Irwin,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daurice Fountain,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davante Adams,GB,92.3,"1,166.8",7.5,0.0,0.0,0.0,0.6,160.5
Kenny Stills,HOU,26.6,379.2,2.8,0.0,0.0,0.0,0.2,54.0
DeAndre Hopkins,ARI,89.3,"1,100.2",7.3,3.8,22.9,0.1,0.6,155.7
Sammy Watkins,KC,48.8,689.7,4.1,3.5,22.2,0.1,0.5,95.7
Antonio Gandy-Golden,WAS,35.1,494.9,2.1,7.0,42.3,0.2,0.2,67.0
Devin Duvernay,BAL,18.9,214.7,1.4,2.5,15.0,0.1,0.1,31.7
Mack Hollins,MIA,3.7,46.7,0.2,0.0,0.0,0.0,0.0,6.0
Keith Kirkwood,CAR,4.4,57.3,0.3,0.0,0.0,0.0,0.0,7.3
Nelson Agholor,LV,19.3,211.0,1.6,,,0.0,0.1,30.2
Cole Beasley,BUF,57.9,631.4,3.3,0.0,0.0,0.0,0.2,82.3
Auden Tate,CIN,9.8,128.8,0.8,0.0,0.0,0.0,0.1,17.2
Allen Lazard,GB,46.4,618.4,3.9,1.9,10.3,0.1,0.3,85.8
Demarcus Robinson,KC,17.0,225.2,1.9,0.0,0.0,0.0,0.1,33.9
Quintez Cephus,DET,9.7,122.1,0.7,0.0,0.0,0.0,0.1,16.2
Diontae Johnson,PIT,65.8,785.4,4.8,4.1,22.8,0.1,0.8,108.6
Krishawn Hogan,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mecole Hardman,KC,41.9,578.9,4.4,5.2,26.3,0.2,0.3,87.7
Cordarrelle Patterson,CHI,6.4,59.9,0.3,25.0,151.9,0.6,0.1,26.4
JoJo Natson,CLE,,,,0.0,0.0,0.0,0.0,0.0
Donte Moncrief,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,78.4,"1,108.2",6.4,4.4,24.7,0.2,0.6,151.7
Robert Foster,WAS,,,,0.0,0.0,0.0,0.0,0.0
Trey Quinn,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad Williams,KC,,,,0.0,0.0,0.0,0.0,0.0
Henry Ruggs III,LV,53.5,721.8,4.4,4.0,24.1,0.1,0.3,100.9
Mike Thomas,CIN,1.6,20.9,0.1,3.9,23.6,0.1,0.0,5.7
D.J. Moore,CAR,87.3,"1,127.8",4.3,7.1,49.5,0.2,1.0,142.5
Stefon Diggs,BUF,63.1,950.9,4.9,4.2,26.5,0.1,0.7,126.1
Marcus Johnson,IND,,,,0.0,0.0,0.0,0.0,0.0
Mike Evans,TB,73.1,"1,123.0",8.9,,,0.0,0.4,164.7
Parris Campbell,IND,44.4,550.0,3.6,13.1,72.2,0.4,0.3,85.0
Darnell Mooney,CHI,4.9,60.5,0.3,0.0,0.0,0.0,0.0,7.5
Dante Pettis,NYG,3.4,46.9,0.4,0.0,0.0,0.0,0.0,6.9
Darrius Shepherd,GB,,,,0.0,0.0,0.0,0.0,0.0
Mohamed Sanu,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalif Raymond,TEN,10.8,150.5,1.1,0.0,0.0,0.0,0.1,21.6
Jarvis Landry,CLE,74.7,974.1,6.1,,,,0.4,133.5
Alexander Hollins,MIN,,,,0.0,0.0,0.0,0.0,0.0
