Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass TDs,Ints Thrown,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Derek Carr,LV,481.0,308.0,"3,559.0",20.0,10.0,26.0,65.0,1.0,,270.5
Cam Newton,NE,478.0,296.0,"3,440.0",22.0,12.0,122.0,377.0,4.0,,321.7
Philip Rivers,IND,543.0,353.0,"4,180.0",24.0,16.0,12.0,19.0,0.0,,306.9
Lamar Jackson,BAL,440.0,282.0,"3,255.0",30.0,12.0,165.0,988.0,6.0,,417.6
Drew Brees,NO,517.0,378.0,"4,138.0",32.0,8.0,29.0,23.0,1.0,,343.2
Jeff Driskel,DEN,40.0,25.0,265.0,1.0,2.0,1.0,6.0,0.0,,17.9
Kyler Murray,ARI,585.0,374.0,"4,154.0",25.0,13.0,97.0,513.0,3.0,,377.0
Josh Allen,BUF,517.0,310.0,"3,622.0",22.0,11.0,105.0,535.0,7.0,,364.6
Joe Burrow,CIN,518.0,321.0,"3,727.0",23.0,17.0,66.0,259.0,2.0,,316.3
Justin Herbert,LAC,197.0,116.0,"1,356.0",7.0,6.0,30.0,116.0,1.0,,113.4
Logan Woodside,TEN,24.0,15.0,178.0,1.0,1.0,0.0,2.0,0.0,,13.1
Kirk Cousins,MIN,520.0,348.0,"3,845.0",25.0,9.0,28.0,74.0,1.0,,305.7
Andy Dalton,DAL,14.0,9.0,103.0,0.0,0.0,0.0,1.0,0.0,,5.3
Ryan Tannehill,TEN,468.0,304.0,"3,651.0",24.0,11.0,48.0,211.0,2.0,,311.7
Jarrett Stidham,NE,68.0,42.0,490.0,3.0,2.0,9.0,27.0,0.0,,39.2
Colt McCoy,NYG,43.0,26.0,288.0,1.0,1.0,0.0,0.0,0.0,,18.4
Jalen Hurts,PHI,35.0,19.0,256.0,1.0,0.0,13.0,65.0,1.0,,29.3
Sean Mannion,MIN,36.0,21.0,272.0,1.0,1.0,0.0,2.0,0.0,,17.8
Tom Brady,TB,564.0,366.0,"4,170.0",27.0,10.0,24.0,33.0,1.0,,325.8
Gardner Minshew II,JAC,533.0,320.0,"3,675.0",23.0,11.0,70.0,321.0,2.0,,319.9
Jordan Love,GB,20.0,13.0,155.0,1.0,0.0,7.0,34.0,0.0,,15.2
Jimmy Garoppolo,SF,494.0,321.0,"3,855.0",26.0,12.0,31.0,55.0,1.0,,308.3
Taysom Hill,NO,9.0,4.0,61.0,0.0,0.0,31.0,174.0,1.0,,26.5
