Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Miles Sanders,PHI,237.0,"1,067.0",5.0,56.0,474.0,2.0,,196.1
Josh Jacobs,LV,257.0,"1,208.0",8.0,27.0,201.0,1.0,,194.9
Malcolm Brown,LAR,104.0,425.0,2.0,11.0,71.0,0.0,0.0,61.6
Carlos Hyde,SEA,94.0,387.0,3.0,6.0,38.0,0.0,,60.5
Damien Harris,NE,94.0,442.0,3.0,15.0,125.0,0.0,,74.7
Patrick Laird,MIA,25.0,84.0,0.0,8.0,65.0,0.0,0.0,14.9
Adrian Peterson,DET,100.0,418.0,4.0,10.0,64.0,0.0,,72.2
Raheem Mostert,SF,159.0,796.0,6.0,20.0,165.0,1.0,,138.1
Nyheim Hines,IND,36.0,135.0,1.0,50.0,344.0,2.0,,65.9
Mike Boone,MIN,49.0,197.0,1.0,4.0,33.0,0.0,,29.0
Kyle Juszczyk,SF,,,,,,,,
Devine Ozigbo,JAC,89.0,348.0,2.0,16.0,115.0,0.0,,58.3
Corey Clement,PHI,35.0,131.0,1.0,5.0,33.0,0.0,,22.4
Alex Armah,CAR,,,,,,,0.0,
Jeff Wilson Jr.,SF,30.0,127.0,1.0,3.0,21.0,0.0,,20.8
J.D. McKissic,WAS,,,,,,,,
La'Mical Perine,NYJ,35.0,141.0,1.0,12.0,82.0,0.0,,28.3
Alvin Kamara,NO,178.0,856.0,8.0,82.0,629.0,3.0,,214.5
Boston Scott,PHI,96.0,414.0,3.0,28.0,217.0,0.0,,81.1
Joshua Kelley,LAC,87.0,365.0,2.0,9.0,65.0,0.0,,55.0
T.J. Yeldon,BUF,23.0,88.0,0.0,9.0,55.0,0.0,,14.3
Ezekiel Elliott,DAL,292.0,"1,316.0",10.0,59.0,446.0,2.0,,248.2
Anthony McFarland Jr.,PIT,38.0,181.0,1.0,30.0,237.0,1.0,,53.8
Tevin Coleman,SF,150.0,677.0,5.0,30.0,239.0,1.0,,127.6
Marlon Mack,IND,175.0,789.0,5.0,15.0,94.0,1.0,,124.3
Mark Ingram II,BAL,182.0,855.0,6.0,27.0,217.0,2.0,,155.2
Bryce Love,WAS,37.0,164.0,1.0,6.0,44.0,0.0,,26.8
Aaron Jones,GB,208.0,979.0,9.0,51.0,385.0,2.0,,202.4
Brian Hill,ATL,64.0,275.0,2.0,21.0,135.0,0.0,,53.0
Jamaal Williams,GB,75.0,299.0,2.0,34.0,245.0,1.0,,72.4
Zack Moss,BUF,131.0,604.0,4.0,16.0,111.0,0.0,,95.5
Ryquell Armstead,JAC,81.0,325.0,2.0,14.0,115.0,1.0,,62.0
Le'Veon Bell,KC,209.0,815.0,5.0,56.0,406.0,2.0,,164.1
James Conner,PIT,220.0,945.0,6.0,46.0,346.0,2.0,,177.1
Clyde Edwards-Helaire,KC,212.0,955.0,8.0,57.0,475.0,3.0,,209.0
Phillip Lindsay,DEN,129.0,567.0,4.0,38.0,255.0,1.0,,112.2
Jordan Howard,PHI,159.0,635.0,5.0,15.0,98.0,0.0,,103.3
Benny Snell Jr.,PIT,79.0,355.0,2.0,7.0,61.0,0.0,,53.6
Rex Burkhead,NE,45.0,181.0,1.0,24.0,175.0,1.0,,47.6
Devin Singletary,BUF,175.0,841.0,3.0,33.0,237.0,1.0,,131.8
Tarik Cohen,CHI,85.0,339.0,2.0,68.0,465.0,2.0,,104.4
Justice Hill,BAL,20.0,85.0,1.0,7.0,45.0,0.0,,19.0
James White,NE,65.0,275.0,2.0,65.0,547.0,4.0,,118.2
Kenyan Drake,ARI,216.0,"1,013.0",7.0,55.0,416.0,2.0,,196.9
Antonio Gibson,WAS,150.0,645.0,4.0,54.0,359.0,2.0,,136.4
Alexander Mattison,MIN,115.0,531.0,3.0,12.0,73.0,0.0,,78.4
Dion Lewis,NYG,62.0,247.0,1.0,26.0,187.0,1.0,,55.4
Lynn Bowden Jr.,MIA,17.0,75.0,0.0,24.0,186.0,1.0,,32.1
Sony Michel,NE,124.0,497.0,3.0,12.0,86.0,0.0,,76.3
Royce Freeman,DEN,60.0,245.0,1.0,24.0,137.0,0.0,,44.2
Christian McCaffrey,CAR,242.0,"1,161.0",10.0,107.0,884.0,4.0,,288.5
Austin Ekeler,LAC,150.0,645.0,3.0,71.0,675.0,4.0,,174.0
Travis Homer,SEA,21.0,85.0,1.0,12.0,104.0,0.0,,24.9
Chris Thompson,JAC,64.0,249.0,1.0,52.0,385.0,2.0,,81.4
Kareem Hunt,CLE,113.0,495.0,4.0,52.0,402.0,1.0,,119.7
Qadree Ollison,ATL,,,,,,,,
Mike Davis,CAR,56.0,239.0,1.0,10.0,86.0,0.0,,38.5
Peyton Barber,WAS,121.0,386.0,2.0,10.0,76.0,0.0,,58.2
Ty Montgomery,NO,,,,,,,,
Tyler Ervin,GB,13.0,42.0,0.0,13.0,86.0,0.0,0.0,12.8
Devontae Booker,LV,,,,,,,,
Cam Akers,LAR,184.0,735.0,5.0,35.0,235.0,1.0,,133.0
Saquon Barkley,NYG,268.0,"1,260.0",10.0,64.0,517.0,2.0,,249.7
Giovani Bernard,CIN,67.0,255.0,1.0,31.0,217.0,1.0,,59.2
D'Andre Swift,DET,154.0,677.0,4.0,32.0,245.0,1.0,,122.2
Darrell Henderson,LAR,76.0,287.0,2.0,28.0,204.0,1.0,,67.1
Ke'Shawn Vaughn,TB,21.0,85.0,0.0,6.0,46.0,0.0,,13.1
AJ Dillon,GB,110.0,449.0,3.0,13.0,86.0,0.0,,71.5
David Montgomery,CHI,191.0,744.0,5.0,24.0,183.0,1.0,,128.7
Derrick Henry,TEN,288.0,"1,440.0",13.0,23.0,195.0,1.0,,247.5
Dalvin Cook,MIN,246.0,"1,180.0",11.0,63.0,551.0,2.0,,251.1
