Player,Team,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Mike Williams,LAC,40.0,667.0,4.0,0.0,0.0,0.0,,90.7
Marvin Jones Jr.,DET,61.0,782.0,5.0,0.0,0.0,0.0,,108.2
Randall Cobb,HOU,44.0,482.0,2.0,0.0,0.0,0.0,,60.2
Golden Tate,NYG,54.0,655.0,5.0,0.0,0.0,0.0,,95.5
Jakeem Grant,MIA,32.0,389.0,3.0,0.0,0.0,0.0,,56.9
Christian Blake,ATL,14.0,204.0,1.0,0.0,0.0,0.0,,26.4
DeSean Jackson,PHI,53.0,814.0,5.0,0.0,0.0,0.0,,111.4
Keenan Allen,LAC,84.0,"1,047.0",6.0,0.0,0.0,0.0,,140.7
Tyreek Hill,KC,76.0,"1,150.0",8.0,8.0,44.0,0.0,,167.4
Allen Robinson II,CHI,83.0,"1,085.0",6.0,0.0,0.0,0.0,,144.5
Robby Anderson,CAR,43.0,614.0,3.0,0.0,0.0,0.0,,79.4
Joe Reed,LAC,18.0,242.0,2.0,0.0,0.0,0.0,,36.2
Larry Fitzgerald,ARI,51.0,535.0,3.0,0.0,0.0,0.0,,71.5
Equanimeous St. Brown,GB,18.0,216.0,2.0,0.0,0.0,0.0,,33.6
Odell Beckham Jr.,CLE,80.0,"1,110.0",6.0,3.0,20.0,0.0,,149.0
JuJu Smith-Schuster,PIT,84.0,"1,101.0",7.0,0.0,0.0,0.0,,152.1
Deebo Samuel,SF,46.0,624.0,4.0,10.0,82.0,1.0,,100.6
Chris Godwin,TB,79.0,"1,104.0",7.0,0.0,0.0,0.0,,152.4
Davante Adams,GB,100.0,"1,282.0",11.0,0.0,0.0,0.0,,194.2
Kenny Stills,HOU,25.0,345.0,2.0,0.0,0.0,0.0,,46.5
DeAndre Hopkins,ARI,95.0,"1,145.0",8.0,0.0,0.0,0.0,,162.5
Sammy Watkins,KC,48.0,637.0,4.0,0.0,0.0,0.0,,87.7
Devin Duvernay,BAL,21.0,284.0,1.0,0.0,0.0,0.0,,34.4
Antonio Gandy-Golden,WAS,19.0,245.0,1.0,0.0,0.0,0.0,,30.5
Nelson Agholor,LV,15.0,189.0,1.0,0.0,0.0,0.0,,24.9
Cole Beasley,BUF,58.0,665.0,4.0,0.0,0.0,0.0,,90.5
Auden Tate,CIN,14.0,177.0,1.0,0.0,0.0,0.0,,23.7
Allen Lazard,GB,51.0,685.0,4.0,0.0,0.0,0.0,,92.5
