Player,Team,FG,FGA,XPT,FPoints
Jason Sanders,MIA,25.8,30.7,34.4,123.6
Austin Seibert,CIN,26.5,31.5,31.6,124.9
Sam Sloman,TEN,25.2,30.9,36.9,122.1
Younghoe Koo,ATL,22.8,26.9,33.8,112.4
Brandon McManus,DEN,26.5,32.4,27.5,118.3
Mason Crosby,GB,25.8,29.9,40.8,131.2
Graham Gano,NYG,23.7,28.5,26.5,105.9
Jason Myers,SEA,27.0,32.6,39.4,132.7
Wil Lutz,NO,27.2,30.7,46.7,143.6
Jake Elliott,PHI,26.6,32.4,34.4,125.4
Stephen Gostkowski,TEN,26.7,31.8,37.2,127.2
Dan Bailey,MIN,27.2,31.1,37.2,130.5
Zane Gonzalez,ARI,25.1,31.5,33.6,120.3
Tyler Bass,BUF,26.5,31.8,29.9,120.6
Ka'imi Fairbairn,HOU,28.4,33.0,35.0,134.9
Dustin Hopkins,WAS,26.0,31.2,30.8,122.8
Josh Lambo,JAC,27.2,30.2,29.3,125.4
Harrison Butker,KC,29.1,32.8,46.7,147.9
Randy Bullock,CIN,23.3,28.4,30.5,109.5
Justin Tucker,BAL,24.4,28.2,48.0,134.5
Joey Slye,CAR,25.1,29.6,25.6,117.2
Sam Ficken,NYJ,23.3,30.9,24.6,103.7
Rodrigo Blankenship,IND,25.6,31.1,32.1,119.4
Cairo Santos,CHI,4.0,5.7,7.5,20.6
Eddy Pineiro,CHI,20.6,24.6,25.4,95.1
Robbie Gould,SF,26.4,31.9,38.3,126.8
Chris Boswell,PIT,25.3,30.0,32.2,118.7
Nick Folk,NE,24.0,29.2,38.8,120.6
Matt Prater,DET,25.7,30.8,34.2,121.8
Ryan Succop,TB,23.3,32.2,32.7,112.4
Greg Zuerlein,DAL,26.4,31.2,45.6,134.7
Michael Badgley,LAC,23.7,28.1,40.8,120.0
Daniel Carlson,LV,22.0,30.1,31.2,104.8
