Player,Team,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Tanner Hudson,TB,2.4,20.7,0.2,0.0,3.1
Jason Croom,PHI,2.3,23.2,0.2,0.0,3.3
O.J. Howard,TB,30.9,357.5,2.3,,49.1
Logan Thomas,WAS,10.1,103.9,0.8,,14.9
Eric Ebron,PIT,39.3,446.0,3.8,,67.1
Rob Gronkowski,TB,45.3,524.0,5.6,,85.6
Dalton Schultz,DAL,4.2,44.9,0.4,,6.8
Darrell Daniels,ARI,0.8,9.4,0.0,0.0,1.3
Nick Boyle,BAL,31.1,270.0,2.7,,43.5
Ryan Izzo,NE,10.4,113.6,1.0,0.0,17.1
Zach Gentry,PIT,2.0,20.9,0.2,0.0,3.2
Eric Saubert,JAC,4.6,45.0,0.3,0.0,6.5
Will Dissly,SEA,25.4,284.3,2.7,,44.4
Jason Witten,LV,26.5,226.1,1.7,,32.3
Greg Olsen,SEA,41.8,461.9,3.9,,69.8
Joshua Perkins,PHI,7.0,68.9,0.6,0.0,10.7
Tyler Eifert,JAC,23.0,260.0,1.8,,37.0
Dawson Knox,BUF,34.9,383.3,2.5,,53.2
Tyler Kroft,BUF,13.4,129.0,1.1,,19.1
David Njoku,CLE,23.8,265.2,2.2,,39.7
Nick Vannett,DEN,6.5,62.7,0.5,0.0,8.9
Darren Waller,LV,71.4,806.2,4.4,,107.5
Josh Hill,NO,4.4,40.4,0.5,,6.6
Chris Herndon IV,NYJ,48.6,527.6,3.7,,74.6
Adam Trautman,NO,13.5,138.6,1.3,0.0,21.3
J.P. Holtz,CHI,1.9,19.2,0.2,0.0,2.8
Foster Moreau,LV,8.9,85.9,0.7,,12.8
Cameron Brate,TB,18.7,155.2,1.6,,25.2
Ryan Griffin,NYJ,13.4,134.4,1.1,,19.8
Temarrick Hemingway,WAS,0.0,0.0,0.0,0.0,0.0
Jake Butt,DEN,12.5,124.9,0.9,0.0,17.7
Blake Bell,DAL,3.8,41.5,0.3,,6.2
Lee Smith,BUF,3.7,30.6,0.3,0.0,4.7
Vance McDonald,PIT,22.3,227.6,2.1,,34.7
Austin Hooper,CLE,53.1,572.4,4.7,,85.4
Ian Thomas,CAR,52.7,537.9,3.8,,76.8
Tommy Sweeney,BUF,2.0,20.0,0.2,0.0,2.9
Daniel Brown,NYJ,2.5,23.3,0.2,0.0,3.5
Xavier Grimble,BAL,3.7,41.3,0.3,0.0,6.2
Dan Arnold,ARI,16.3,191.0,1.3,,26.6
Noah Fant,DEN,54.2,614.6,4.0,,85.5
Jordan Akins,HOU,29.2,310.2,2.4,,45.1
Taysom Hill,NO,21.0,216.8,2.1,,53.0
T.J. Hockenson,DET,55.5,605.2,3.7,,82.7
Stephen Carlson,CLE,4.1,42.2,0.3,0.0,6.4
Jared Cook,NO,47.9,624.7,4.0,,85.9
Isaac Nauta,DET,4.4,44.2,0.3,0.0,6.2
Pharaoh Brown,HOU,3.6,37.3,0.3,0.0,5.6
Jeremy Sprinkle,WAS,10.0,103.2,0.8,,14.8
Anthony Firkser,TEN,20.3,225.0,1.7,,32.6
Kyle Rudolph,MIN,41.8,435.5,4.1,,68.1
Irv Smith Jr.,MIN,35.6,384.6,2.9,,55.7
Chris Manhertz,CAR,4.0,41.8,0.3,,5.9
Antony Auclair,TB,2.0,17.4,0.2,0.0,2.6
Mo Alie-Cox,IND,11.8,138.0,1.1,,20.2
Blake Jarwin,DAL,51.2,570.3,4.3,,82.6
Hayden Hurst,ATL,53.3,591.7,4.1,,83.3
Evan Baylis,ARI,1.1,11.9,0.2,0.0,1.8
Jordan Reed,SF,7.8,72.8,0.7,,11.1
Stephen Anderson,LAC,3.5,33.8,0.3,0.0,5.1
MyCole Pruitt,TEN,16.4,172.5,1.4,,25.5
Jacob Hollister,SEA,21.3,209.5,2.2,0.0,33.8
Derek Carrier,LV,4.5,41.8,0.3,0.0,6.6
Jace Sternberger,GB,42.9,462.5,3.6,,67.5
Ross Dwelley,SF,1.2,11.3,0.2,0.0,1.8
Adam Shaheen,MIA,17.6,174.3,1.2,,24.9
Jordan Thomas,NE,8.4,83.9,0.7,0.0,12.7
C.J. Uzomah,CIN,37.5,339.9,2.5,,48.7
Codey McElroy,TB,1.9,17.5,0.2,0.0,2.6
Travis Kelce,KC,92.5,"1,118.3",9.2,,166.1
Deon Yelder,KC,3.2,33.8,0.3,0.0,5.5
Evan Engram,NYG,67.7,781.9,5.3,,112.0
Drew Sample,CIN,2.8,27.2,0.2,,3.8
Mike Gesicki,MIA,62.5,650.6,4.5,,91.7
Jesper Horsted,CHI,2.3,22.8,0.2,,3.3
George Kittle,SF,92.2,"1,084.5",8.1,,158.0
Marcedes Lewis,GB,10.1,119.2,0.9,,17.2
James O'Shaughnessy,JAC,12.8,131.2,0.9,,18.4
Jack Doyle,IND,46.9,480.1,3.8,,70.1
Troy Fumagalli,DEN,5.6,54.8,0.4,0.0,7.9
Ross Travis,NYJ,3.6,35.0,0.3,0.0,5.2
Jimmy Graham,CHI,31.8,339.8,2.8,,50.9
Trey Burton,IND,27.5,293.3,2.5,,44.4
Dallas Goedert,PHI,54.9,529.9,5.0,,82.0
Ricky Seals-Jones,KC,7.3,84.8,0.9,0.0,13.7
Jaeden Graham,ATL,24.8,274.4,1.9,,38.7
Hale Hentges,IND,1.0,10.8,0.0,0.0,1.6
Jordan Leggett,DEN,2.7,23.3,0.2,0.0,3.6
Jonnu Smith,TEN,49.8,569.5,4.3,,83.2
Mark Andrews,BAL,73.2,922.1,7.6,,137.0
Trevon Wesco,NYJ,6.5,65.3,0.5,0.0,12.8
Khari Lee,DET,4.7,49.4,0.3,0.0,7.1
Charles Jones,PIT,0.0,0.0,0.0,0.0,0.0
Luke Stocker,ATL,0.3,2.5,0.0,,0.4
Tyler Conklin,MIN,4.3,47.6,0.3,0.0,7.0
Cole Hikutini,DAL,1.0,10.3,0.1,0.0,1.6
Luke Willson,BAL,3.5,39.0,0.4,0.0,6.1
Richard Rodgers,PHI,6.7,63.7,0.5,0.0,9.5
Robert Tonyan,GB,3.7,40.9,0.3,,6.0
Johnny Mundt,LAR,4.7,48.6,0.4,0.0,7.4
Hunter Henry,LAC,67.0,733.8,5.9,,107.9
Devin Asiasi,NE,18.5,205.2,1.7,,30.7
Tyler Higbee,LAR,55.8,605.0,4.6,,87.7
Cole Kmet,CHI,28.8,283.4,2.1,,40.5
Cethan Carter,CIN,2.8,27.7,0.2,0.0,3.9
Darren Fells,HOU,23.8,242.3,2.2,,37.1
Jordan Franks,CLE,1.5,14.9,0.2,0.0,2.1
Gerald Everett,LAR,31.2,345.3,2.8,,51.5
Demetrius Harris,CHI,10.3,101.4,0.8,,14.9
Virgil Green,LAC,9.4,91.9,0.7,,13.5
Eric Tomlinson,BAL,3.8,40.9,0.3,0.0,5.9
Jesse James,DET,17.2,174.5,1.1,,24.2
Zach Ertz,PHI,79.0,753.3,6.1,,110.9
Maxx Williams,ARI,19.6,198.1,1.4,,28.1
Kaden Smith,NYG,6.1,62.2,0.5,,9.1
Durham Smythe,MIA,0.8,7.5,0.0,0.0,1.1
Levine Toilolo,NYG,4.1,43.4,0.3,0.0,6.3
