Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Carlton Davis,TB,CB,,,,,,,,,,,65.0,0.0,1.0,1.0,3.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,1836
Stephon Gilmore,NE,CB,,,,,,,,,,,56.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,1837
Jamel Dean,TB,CB,,,,,,,,,,,54.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,1838
Tre'Davious White,Buf,CB,,,,,,,,,,,63.0,0.0,2.0,1.0,3.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,1839
Kevin King,GB,CB,,,,,,,,,,,69.0,0.0,1.0,1.0,2.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,1840
Joe Haden,Pit,CB,,,,,,,,,,,64.0,0.0,1.0,1.0,3.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,1841
Marshon Lattimore,NO,CB,,,,,,,,,,,70.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,1842
Jaire Alexander,GB,CB,,,,,,,,,,,64.0,0.0,1.0,1.0,2.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,1843
Pierre Desir,NYJ,CB,,,,,,,,,,,76.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,1844
Malcolm Butler,Ten,CB,,,,,,,,,,,63.0,0.0,1.0,1.0,2.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,1845
Ronald Darby,Wsh,CB,,,,,,,,,,,56.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,1846
Mike Hughes,Min,CB,,,,,,,,,,,67.0,0.0,1.0,1.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1847
Denzel Ward,Cle,CB,,,,,,,,,,,61.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1848
Troy Hill,LAR,CB,,,,,,,,,,,73.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1849
Darius Slay,Phi,CB,,,,,,,,,,,53.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1850
Marcus Peters,Bal,CB,,,,,,,,,,,54.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1851
Logan Ryan,NYG,"CB, S",,,,,,,,,,,90.0,2.0,2.0,1.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1852
Marlon Humphrey,Bal,CB,,,,,,,,,,,68.0,2.0,2.0,1.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1853
Trayvon Mullen,LV,CB,,,,,,,,,,,67.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1854
Avonte Maddox,Phi,CB,,,,,,,,,,,63.0,0.0,1.0,1.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1855
Janoris Jenkins,NO,CB,,,,,,,,,,,61.0,0.0,1.0,1.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1856
Shaquill Griffin,Sea,CB,,,,,,,,,,,71.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1857
Emmanuel Moseley,SF,CB,,,,,,,,,,,64.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,1858
CJ Henderson,Jax,CB,,,,,,,,,,,67.0,1.0,1.0,0.0,2.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,1859
Desmond Trufant,Det,CB,,,,,,,,,,,46.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,1860
Chidobe Awuzie,Dal,CB,,,,,,,,,,,72.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,1861
Adoree' Jackson,Ten,CB,,,,,,,,,,,63.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,1862
Jeff Gladney,Min,CB,,,,,,,,,,,64.0,1.0,1.0,0.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1863
Bradley Roby,Hou,CB,,,,,,,,,,,61.0,0.0,1.0,1.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1864
James Bradberry,NYG,CB,,,,,,,,,,,67.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1865
Darius Phillips,Cin,CB,,,,,,,,,,,44.0,0.0,1.0,1.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1866
Tre Herndon,Jax,CB,,,,,,,,,,,53.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1867
Gareon Conley,Hou,CB,,,,,,,,,,,47.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1868
J.C. Jackson,NE,CB,,,,,,,,,,,45.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1869
Jaylon Johnson,Chi,CB,,,,,,,,,,,63.0,0.0,1.0,0.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1870
Xavien Howard,Mia,CB,,,,,,,,,,,46.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1871
Richard Sherman,SF,CB,,,,,,,,,,,63.0,0.0,1.0,1.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1872
Kyle Fuller,Chi,CB,,,,,,,,,,,78.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1873
Jimmy Smith,Bal,"CB, S",,,,,,,,,,,48.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,1874
Damon Arnette,LV,CB,,,,,,,,,,,56.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,1875
A.J. Terrell,Atl,CB,,,,,,,,,,,56.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,1876
Dre Kirkpatrick,Ari,CB,,,,,,,,,,,61.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,1877
Patrick Peterson,Ari,CB,,,,,,,,,,,66.0,0.0,1.0,1.0,2.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,1878
Mike Hilton,Pit,CB,,,,,,,,,,,61.0,2.0,1.0,1.0,2.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,1879
Donte Jackson,Car,CB,,,,,,,,,,,59.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,1880
Isaiah Oliver,Atl,CB,,,,,,,,,,,58.0,0.0,1.0,1.0,2.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,1881
Justin Coleman,Det,CB,,,,,,,,,,,44.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,1882
Sean Murphy-Bunting,TB,CB,,,,,,,,,,,57.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,1883
Jeff Okudah,Det,CB,,,,,,,,,,,52.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,1884
Quinton Dunbar,Sea,CB,,,,,,,,,,,49.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,1885
Bryce Callahan,Den,CB,,,,,,,,,,,55.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1886
Charvarius Ward,KC,CB,,,,,,,,,,,69.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1887
A.J. Bouye,Den,CB,,,,,,,,,,,70.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1888
Kristian Fulton,Ten,CB,,,,,,,,,,,48.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1889
Jonathan Jones,NE,CB,,,,,,,,,,,54.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1890
Casey Hayward Jr.,LAC,CB,,,,,,,,,,,39.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1891
Michael Davis,LAC,CB,,,,,,,,,,,41.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1892
Steven Nelson,Pit,CB,,,,,,,,,,,63.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,1893
