Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Preston Smith,GB,"DE, EDR",,,,,,,,,,,54.0,8.0,1.0,1.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1272
Chandler Jones,Ari,"DE, EDR",,,,,,,,,,,49.0,10.0,6.0,4.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1273
Leonard Floyd,LAR,"DE, EDR",,,,,,,,,,,41.0,7.0,1.0,1.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1274
Khalil Mack,Chi,"DE, EDR",,,,,,,,,,,51.0,9.0,5.0,3.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1275
Dante Fowler Jr.,Atl,"DE, EDR",,,,,,,,,,,52.0,8.0,2.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1276
Carlos Dunlap,Sea,"DE, EDR",,,,,,,,,,,62.0,8.0,2.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1277
Sam Hubbard,Cin,"DE, EDR",,,,,,,,,,,72.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1278
Harold Landry III,Ten,"DE, EDR",,,,,,,,,,,53.0,8.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1279
Tarell Basham,NYJ,"DE, EDR",,,,,,,,,,,25.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1280
Bradley Chubb,Den,"DE, EDR",,,,,,,,,,,67.0,9.0,3.0,2.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1281
Montez Sweat,Wsh,"DE, EDR",,,,,,,,,,,45.0,5.0,2.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1282
Malik Reed,Den,"DE, EDR",,,,,,,,,,,39.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1283
T.J. Watt,Pit,"DE, EDR",,,,,,,,,,,56.0,11.0,5.0,3.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1284
Melvin Ingram III,LAC,"DE, EDR",,,,,,,,,,,61.0,9.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1285
Matthew Judon,Bal,"DE, EDR",,,,,,,,,,,59.0,8.0,3.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1286
Lorenzo Carter,NYG,"DE, EDR",,,,,,,,,,,38.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1287
Shaquil Barrett,TB,"DE, EDR",,,,,,,,,,,57.0,10.0,5.0,3.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1288
Jordan Jenkins,NYJ,"DE, EDR",,,,,,,,,,,37.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1289
Chase Young,Wsh,"DE, EDR",,,,,,,,,,,42.0,8.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1290
Markus Golden,Ari,"DE, EDR",,,,,,,,,,,60.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1291
Ryan Kerrigan,Wsh,"DE, EDR",,,,,,,,,,,29.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1292
Brennan Scarlett,Hou,"DE, EDR",,,,,,,,,,,33.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1293
K'Lavon Chaisson,Jax,"DE, EDR",,,,,,,,,,,40.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1294
Devon Kennard,Ari,"DE, EDR",,,,,,,,,,,43.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1295
Samson Ebukam,LAR,"DE, EDR",,,,,,,,,,,42.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1296
Bud Dupree,Pit,"DE, EDR",,,,,,,,,,,64.0,8.0,3.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1297
Olivier Vernon,Cle,"DE, EDR",,,,,,,,,,,42.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1298
Josh Allen,Jax,"DE, EDR",,,,,,,,,,,52.0,8.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1299
Haason Reddick,Ari,"DE, EDR",,,,,,,,,,,17.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1300
Trey Flowers,Det,"DE, EDR",,,,,,,,,,,53.0,8.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1301
Vic Beasley Jr.,FA,"DE, EDR",,,,,,,,,,,20.0,4.0,1.0,1.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,1302
Takkarist McKinley,Cin,"DE, EDR",,,,,,,,,,,34.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1303
Yetur Gross-Matos,Car,"DE, EDR",,,,,,,,,,,32.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1304
Mike Danna,KC,"DE, EDR",,,,,,,,,,,35.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1305
Shaq Lawson,Mia,"DE, EDR",,,,,,,,,,,44.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1306
Jason Pierre-Paul,TB,"DE, EDR",,,,,,,,,,,46.0,8.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1307
Whitney Mercilus,Hou,"DE, EDR",,,,,,,,,,,49.0,8.0,4.0,3.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1308
Jadeveon Clowney,Ten,"DE, EDR",,,,,,,,,,,49.0,11.0,3.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1309
Romeo Okwara,Det,"DE, EDR",,,,,,,,,,,33.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1310
