Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Steelers D/ST,Pit,D/ST,,,,,,,,,,,954.0,42.0,18.0,12.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2289
Bills D/ST,Buf,D/ST,,,,,,,,,,,927.0,41.0,18.0,12.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2290
49ers D/ST,SF,D/ST,,,,,,,,,,,933.0,42.0,19.0,13.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2291
Ravens D/ST,Bal,D/ST,,,,,,,,,,,899.0,41.0,15.0,10.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2292
Patriots D/ST,NE,D/ST,,,,,,,,,,,934.0,39.0,12.0,8.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2293
Colts D/ST,Ind,D/ST,,,,,,,,,,,987.0,41.0,15.0,10.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2294
Bears D/ST,Chi,D/ST,,,,,,,,,,,884.0,38.0,17.0,11.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2295
Vikings D/ST,Min,D/ST,,,,,,,,,,,911.0,38.0,20.0,13.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2296
Broncos D/ST,Den,D/ST,,,,,,,,,,,940.0,38.0,13.0,8.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2297
Saints D/ST,NO,D/ST,,,,,,,,,,,888.0,41.0,15.0,9.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2298
Buccaneers D/ST,TB,D/ST,,,,,,,,,,,874.0,40.0,19.0,12.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2299
Chargers D/ST,LAC,D/ST,,,,,,,,,,,905.0,36.0,10.0,7.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2300
Cowboys D/ST,Dal,D/ST,,,,,,,,,,,985.0,42.0,14.0,9.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2301
Seahawks D/ST,Sea,D/ST,,,,,,,,,,,968.0,41.0,16.0,10.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2302
Titans D/ST,Ten,D/ST,,,,,,,,,,,896.0,40.0,11.0,7.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2303
Rams D/ST,LAR,D/ST,,,,,,,,,,,968.0,41.0,13.0,9.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2304
Eagles D/ST,Phi,D/ST,,,,,,,,,,,885.0,41.0,16.0,10.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2305
Lions D/ST,Det,D/ST,,,,,,,,,,,887.0,38.0,15.0,10.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2306
Browns D/ST,Cle,D/ST,,,,,,,,,,,923.0,40.0,14.0,9.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2307
Chiefs D/ST,KC,D/ST,,,,,,,,,,,900.0,41.0,13.0,9.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2308
Bengals D/ST,Cin,D/ST,,,,,,,,,,,975.0,38.0,12.0,8.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2309
Dolphins D/ST,Mia,D/ST,,,,,,,,,,,887.0,37.0,14.0,9.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2310
Texans D/ST,Hou,D/ST,,,,,,,,,,,913.0,38.0,16.0,10.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2311
Packers D/ST,GB,D/ST,,,,,,,,,,,906.0,38.0,12.0,8.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2312
Jets D/ST,NYJ,D/ST,,,,,,,,,,,914.0,38.0,12.0,8.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2313
Raiders D/ST,LV,D/ST,,,,,,,,,,,917.0,37.0,13.0,8.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2314
Cardinals D/ST,Ari,D/ST,,,,,,,,,,,990.0,39.0,15.0,10.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2315
Washington D/ST,Wsh,D/ST,,,,,,,,,,,1023.0,35.0,14.0,9.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2316
Jaguars D/ST,Jax,D/ST,,,,,,,,,,,904.0,38.0,13.0,9.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2317
Falcons D/ST,Atl,D/ST,,,,,,,,,,,969.0,37.0,14.0,9.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2318
Giants D/ST,NYG,D/ST,,,,,,,,,,,1023.0,38.0,13.0,8.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2319
Panthers D/ST,Car,D/ST,,,,,,,,,,,896.0,37.0,12.0,7.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2320
