Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Daron Payne,Wsh,DT,,,,,,,,,,,52.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,952
Jaleel Johnson,Min,DT,,,,,,,,,,,34.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,953
Linval Joseph,LAC,DT,,,,,,,,,,,58.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,954
Akiem Hicks,Chi,DT,,,,,,,,,,,50.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,955
Shelby Harris,Den,DT,,,,,,,,,,,47.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,956
D.J. Reader,Cin,DT,,,,,,,,,,,52.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,957
DaQuan Jones,Ten,DT,,,,,,,,,,,41.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,958
Sheldon Richardson,Cle,DT,,,,,,,,,,,59.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,959
Abry Jones,Jax,DT,,,,,,,,,,,32.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,960
Christian Wilkins,Mia,DT,,,,,,,,,,,54.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,961
Fletcher Cox,Phi,DT,,,,,,,,,,,44.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,962
Derrick Nnadi,KC,DT,,,,,,,,,,,39.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,963
DeForest Buckner,Ind,DT,,,,,,,,,,,62.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,964
Sheldon Rankins,NO,DT,,,,,,,,,,,28.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,965
Jonathan Allen,Wsh,DT,,,,,,,,,,,63.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,966
Grady Jarrett,Atl,DT,,,,,,,,,,,67.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,967
Bilal Nichols,Chi,DT,,,,,,,,,,,39.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,968
Jeffery Simmons,Ten,DT,,,,,,,,,,,47.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,969
Tyeler Davison,Atl,DT,,,,,,,,,,,47.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,970
Derrick Brown,Car,DT,,,,,,,,,,,42.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,971
Armon Watts,Min,DT,,,,,,,,,,,35.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,972
A'Shawn Robinson,LAR,DT,,,,,,,,,,,39.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,973
David Onyemata,NO,DT,,,,,,,,,,,32.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,974
Jordan Phillips,Ari,DT,,,,,,,,,,,32.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,975
Geno Atkins,Cin,DT,,,,,,,,,,,46.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,976
Javon Kinlaw,SF,DT,,,,,,,,,,,37.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,977
Chris Jones,KC,DT,,,,,,,,,,,43.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,978
Jarran Reed,Sea,DT,,,,,,,,,,,46.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,979
Kenny Clark,GB,DT,,,,,,,,,,,62.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,980
Davon Godchaux,Mia,DT,,,,,,,,,,,59.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,981
Jack Crawford,Ten,DT,,,,,,,,,,,28.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,982
Cameron Heyward,Pit,DT,,,,,,,,,,,71.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,983
Nick Williams,Det,DT,,,,,,,,,,,34.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,984
Roy Robertson-Harris,Chi,DT,,,,,,,,,,,34.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,985
Corey Peters,Ari,DT,,,,,,,,,,,39.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,986
Malik Jackson,Phi,DT,,,,,,,,,,,25.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,987
Brandon Dunn,Hou,DT,,,,,,,,,,,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,988
Da'Shawn Hand,Det,DT,,,,,,,,,,,42.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,989
Vita Vea,TB,DT,,,,,,,,,,,41.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,990
Michael Brockers,LAR,DT,,,,,,,,,,,55.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,991
Brandon Williams,Bal,DT,,,,,,,,,,,41.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,992
Ndamukong Suh,TB,DT,,,,,,,,,,,41.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,993
Khalen Saunders,KC,DT,,,,,,,,,,,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,994
Zach Allen,Ari,DT,,,,,,,,,,,40.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,995
Justin Jones,LAC,DT,,,,,,,,,,,42.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,996
Raekwon Davis,Mia,DT,,,,,,,,,,,30.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,997
Johnathan Hankins,LV,DT,,,,,,,,,,,49.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,998
Dean Lowry,GB,DT,,,,,,,,,,,44.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,999
Henry Anderson,NYJ,DT,,,,,,,,,,,32.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1000
Dre'Mont Jones,Den,DT,,,,,,,,,,,35.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1001
Sheldon Day,Ind,DT,,,,,,,,,,,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1002
Matt Ioannidis,Wsh,DT,,,,,,,,,,,47.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1003
Ross Blacklock,Hou,DT,,,,,,,,,,,28.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1004
Poona Ford,Sea,DT,,,,,,,,,,,41.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1005
Shamar Stephen,Min,DT,,,,,,,,,,,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1006
Allen Bailey,Atl,DT,,,,,,,,,,,25.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1007
Malcom Brown,NO,DT,,,,,,,,,,,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1008
Harrison Phillips,Buf,DT,,,,,,,,,,,30.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1009
