Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Saints Coach,NO,HC,,,,,,,,,,,,,,,,,,,,,,,,11.0,92.0,,,,,,,,,,,2424
Chiefs Coach,KC,HC,,,,,,,,,,,,,,,,,,,,,,,,11.0,95.0,,,,,,,,,,,2425
Ravens Coach,Bal,HC,,,,,,,,,,,,,,,,,,,,,,,,11.0,77.0,,,,,,,,,,,2426
Steelers Coach,Pit,HC,,,,,,,,,,,,,,,,,,,,,,,,10.0,67.0,,,,,,,,,,,2427
49ers Coach,SF,HC,,,,,,,,,,,,,,,,,,,,,,,,10.0,72.0,,,,,,,,,,,2428
Buccaneers Coach,TB,HC,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,,,,,,,,2429
Cowboys Coach,Dal,HC,,,,,,,,,,,,,,,,,,,,,,,,10.0,45.0,,,,,,,,,,,2430
Seahawks Coach,Sea,HC,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,,,,,,,,2431
Colts Coach,Ind,HC,,,,,,,,,,,,,,,,,,,,,,,,10.0,53.0,,,,,,,,,,,2432
Eagles Coach,Phi,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,28.0,,,,,,,,,,,2433
Titans Coach,Ten,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,36.0,,,,,,,,,,,2434
Vikings Coach,Min,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,23.0,,,,,,,,,,,2435
Browns Coach,Cle,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,29.0,,,,,,,,,,,2436
Bills Coach,Buf,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,26.0,,,,,,,,,,,2437
Broncos Coach,Den,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,,,,,,,,,,,2438
Packers Coach,GB,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,,,,,,,,,,,2439
Lions Coach,Det,HC,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0,,,,,,,,,,,2440
Patriots Coach,NE,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,,,,,,,,,,,2441
Falcons Coach,Atl,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,-11.0,,,,,,,,,,,2442
Texans Coach,Hou,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,-10.0,,,,,,,,,,,2443
Chargers Coach,LAC,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,-13.0,,,,,,,,,,,2444
Rams Coach,LAR,HC,,,,,,,,,,,,,,,,,,,,,,,,7.0,-16.0,,,,,,,,,,,2445
Cardinals Coach,Ari,HC,,,,,,,,,,,,,,,,,,,,,,,,8.0,-13.0,,,,,,,,,,,2446
Raiders Coach,LV,HC,,,,,,,,,,,,,,,,,,,,,,,,7.0,-33.0,,,,,,,,,,,2447
Giants Coach,NYG,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-45.0,,,,,,,,,,,2448
Bears Coach,Chi,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-57.0,,,,,,,,,,,2449
Bengals Coach,Cin,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-66.0,,,,,,,,,,,2450
Dolphins Coach,Mia,HC,,,,,,,,,,,,,,,,,,,,,,,,6.0,-64.0,,,,,,,,,,,2451
Washington Coach,Wsh,HC,,,,,,,,,,,,,,,,,,,,,,,,5.0,-104.0,,,,,,,,,,,2452
Jets Coach,NYJ,HC,,,,,,,,,,,,,,,,,,,,,,,,4.0,-104.0,,,,,,,,,,,2453
Panthers Coach,Car,HC,,,,,,,,,,,,,,,,,,,,,,,,4.0,-113.0,,,,,,,,,,,2454
Jaguars Coach,Jax,HC,,,,,,,,,,,,,,,,,,,,,,,,3.0,-139.0,,,,,,,,,,,2455
