Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Justin Tucker,Bal,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,8.0,10.0,3.0,5.0,43.0,44.0,2321
Harrison Butker,KC,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,10.0,3.0,5.0,51.0,53.0,2322
Wil Lutz,NO,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,8.0,10.0,3.0,5.0,46.0,48.0,2323
Matt Prater,Det,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,10.0,3.0,5.0,38.0,40.0,2324
Chris Boswell,Pit,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,8.0,10.0,3.0,5.0,38.0,40.0,2325
Greg Zuerlein,Dal,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,17.0,7.0,10.0,3.0,5.0,39.0,43.0,2326
Robbie Gould,SF,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,10.0,3.0,5.0,39.0,42.0,2327
Zane Gonzalez,Ari,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,10.0,3.0,5.0,38.0,42.0,2328
Jake Elliott,Phi,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,10.0,3.0,5.0,38.0,40.0,2329
Austin Seibert,Cle,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,10.0,3.0,5.0,39.0,41.0,2330
Rodrigo Blankenship,Ind,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,10.0,3.0,5.0,38.0,41.0,2331
Ka'imi Fairbairn,Hou,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,5.0,39.0,42.0,2332
Brandon McManus,Den,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,8.0,10.0,3.0,5.0,33.0,34.0,2333
Chase McLaughlin,FA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2334
Younghoe Koo,Atl,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,10.0,3.0,5.0,35.0,37.0,2335
Sam Sloman,LAR,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,8.0,10.0,3.0,5.0,35.0,37.0,2336
Dan Bailey,Min,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,7.0,9.0,3.0,5.0,36.0,38.0,2337
