Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Eric Kendricks,Min,LB,,,,,,,,,,,116.0,1.0,2.0,1.0,2.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,1481
Demario Davis,NO,LB,,,,,,,,,,,113.0,3.0,0.0,0.0,2.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,1482
Fred Warner,SF,LB,,,,,,,,,,,121.0,1.0,2.0,2.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1483
Jaylon Smith,Dal,LB,,,,,,,,,,,146.0,1.0,2.0,1.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1484
Jayon Brown,Ten,LB,,,,,,,,,,,119.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1485
Matt Milano,Buf,LB,,,,,,,,,,,115.0,2.0,1.0,1.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1486
Tremaine Edmunds,Buf,LB,,,,,,,,,,,124.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1487
Joe Schobert,Jax,LB,,,,,,,,,,,124.0,2.0,2.0,1.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,1488
Darius Leonard,Ind,LB,,,,,,,,,,,148.0,1.0,3.0,2.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,1489
Cory Littleton,LV,LB,,,,,,,,,,,126.0,2.0,2.0,1.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,1490
K.J. Wright,Sea,LB,,,,,,,,,,,103.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,1491
Kwon Alexander,SF,LB,,,,,,,,,,,84.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,1492
Nathan Gerry,Phi,LB,,,,,,,,,,,104.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,1493
Leighton Vander Esch,Dal,LB,,,,,,,,,,,140.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1494
Bobby Wagner,Sea,LB,,,,,,,,,,,147.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1495
Jamie Collins Sr.,Det,LB,,,,,,,,,,,84.0,4.0,2.0,2.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1496
Lavonte David,TB,LB,,,,,,,,,,,112.0,2.0,3.0,2.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1497
Myles Jack,Jax,LB,,,,,,,,,,,100.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,1498
Mack Wilson,Cle,LB,,,,,,,,,,,67.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1499
Deion Jones,Atl,LB,,,,,,,,,,,116.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1500
Christian Kirksey,GB,LB,,,,,,,,,,,112.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1501
Jordan Hicks,Ari,LB,,,,,,,,,,,134.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1502
Nick Kwiatkoski,LV,LB,,,,,,,,,,,104.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1503
Josh Bynes,Cin,LB,,,,,,,,,,,74.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,1504
Ja'Whaun Bentley,NE,LB,,,,,,,,,,,105.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1505
Devin Bush,Pit,LB,,,,,,,,,,,119.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1506
Anthony Barr,Min,LB,,,,,,,,,,,92.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1507
Josh Uche,NE,LB,,,,,,,,,,,72.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1508
Jerome Baker,Mia,LB,,,,,,,,,,,115.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1509
Avery Williamson,NYJ,LB,,,,,,,,,,,99.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1510
Alexander Johnson,Den,LB,,,,,,,,,,,122.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1511
Isaiah Simmons,Ari,LB,,,,,,,,,,,118.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1512
Devin White,TB,LB,,,,,,,,,,,118.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1513
Patrick Queen,Bal,LB,,,,,,,,,,,117.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1514
Jacob Phillips,Cle,LB,,,,,,,,,,,68.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1515
Shaq Thompson,Car,LB,,,,,,,,,,,116.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,1516
Zach Cunningham,Hou,LB,,,,,,,,,,,131.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1517
Kenneth Murray,LAC,LB,,,,,,,,,,,103.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1518
L.J. Fort,Bal,LB,,,,,,,,,,,52.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1519
Davion Taylor,Phi,LB,,,,,,,,,,,60.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1520
Benardrick McKinney,Hou,LB,,,,,,,,,,,113.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1521
Sione Takitaki,Cle,LB,,,,,,,,,,,70.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1522
Jordyn Brooks,Sea,LB,,,,,,,,,,,51.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1523
Danny Trevathan,Chi,LB,,,,,,,,,,,119.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1524
Logan Wilson,Cin,LB,,,,,,,,,,,56.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1525
Josey Jewell,Den,LB,,,,,,,,,,,96.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1526
Roquan Smith,Chi,LB,,,,,,,,,,,129.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1527
De'Vondre Campbell,Ari,LB,,,,,,,,,,,72.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1528
Brandon Copeland,NE,LB,,,,,,,,,,,48.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1529
T.J. Edwards,Phi,LB,,,,,,,,,,,65.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1530
Germaine Pratt,Cin,LB,,,,,,,,,,,107.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,1531
Willie Gay Jr.,KC,LB,,,,,,,,,,,83.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1532
Kamu Grugier-Hill,Mia,LB,,,,,,,,,,,63.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1533
Zack Baun,NO,LB,,,,,,,,,,,42.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1534
Sean Lee,Dal,LB,,,,,,,,,,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1535
Craig Robertson,NO,LB,,,,,,,,,,,39.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1536
Blake Martinez,NYG,LB,,,,,,,,,,,152.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1537
Patrick Onwuasor,NYJ,LB,,,,,,,,,,,80.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1538
Cody Barton,Sea,LB,,,,,,,,,,,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1539
Bobby Okereke,Ind,LB,,,,,,,,,,,64.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1540
Alex Anzalone,NO,LB,,,,,,,,,,,52.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1541
Jahlani Tavai,Det,LB,,,,,,,,,,,65.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1542
Dre Greenlaw,SF,LB,,,,,,,,,,,75.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1543
Devante Downs,NYG,LB,,,,,,,,,,,64.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1544
Anthony Walker,Ind,LB,,,,,,,,,,,100.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1545
Thomas Davis Sr.,Wsh,LB,,,,,,,,,,,85.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1546
Micah Kiser,LAR,LB,,,,,,,,,,,62.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1547
Drue Tranquill,LAC,LB,,,,,,,,,,,75.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1548
Kyzir White,LAC,LB,,,,,,,,,,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1549
B.J. Goodson,Cle,LB,,,,,,,,,,,49.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1550
Mykal Walker,Atl,LB,,,,,,,,,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,1551
