Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Patrick Ricard,Bal,"DT, RB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,125
Alvin Kamara,NO,RB,0.0,0.0,0.0,195.0,878.0,8.0,98.0,79.0,605.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,126
Derrick Henry,Ten,RB,0.0,0.0,0.0,299.0,1353.0,11.0,31.0,25.0,208.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,127
Christian McCaffrey,Car,RB,0.0,0.0,0.0,236.0,1060.0,8.0,110.0,90.0,741.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,128
Aaron Jones,GB,RB,0.0,0.0,0.0,205.0,906.0,9.0,58.0,45.0,368.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,129
Ezekiel Elliott,Dal,RB,0.0,0.0,0.0,280.0,1233.0,10.0,73.0,58.0,462.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,130
Josh Jacobs,LV,RB,0.0,0.0,0.0,263.0,1146.0,9.0,47.0,37.0,288.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,131
Dalvin Cook,Min,RB,0.0,0.0,0.0,248.0,1061.0,10.0,81.0,65.0,539.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,132
Joe Mixon,Cin,RB,0.0,0.0,0.0,269.0,1141.0,7.0,48.0,38.0,295.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,133
James Conner,Pit,RB,0.0,0.0,0.0,198.0,836.0,7.0,47.0,38.0,292.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,134
Chris Carson,Sea,RB,0.0,0.0,0.0,253.0,1098.0,8.0,44.0,36.0,266.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,135
David Montgomery,Chi,RB,0.0,0.0,0.0,212.0,849.0,5.0,35.0,26.0,216.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,136
Myles Gaskin,Mia,RB,0.0,0.0,0.0,14.0,58.0,0.0,11.0,9.0,68.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,137
Miles Sanders,Phi,RB,0.0,0.0,0.0,248.0,1083.0,8.0,56.0,43.0,360.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,138
Antonio Gibson,Wsh,RB,0.0,0.0,0.0,141.0,606.0,4.0,62.0,44.0,426.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,139
Ronald Jones II,TB,RB,0.0,0.0,0.0,160.0,665.0,5.0,42.0,32.0,254.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,140
James Robinson,Jax,RB,0.0,0.0,0.0,131.0,535.0,3.0,24.0,17.0,138.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,141
Kareem Hunt,Cle,RB,0.0,0.0,0.0,90.0,404.0,3.0,66.0,52.0,457.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,142
David Johnson,Hou,RB,0.0,0.0,0.0,241.0,974.0,7.0,58.0,42.0,407.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,143
Todd Gurley II,Atl,RB,0.0,0.0,0.0,214.0,869.0,7.0,61.0,45.0,373.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,144
Jonathan Taylor,Ind,RB,0.0,0.0,0.0,194.0,857.0,7.0,36.0,28.0,237.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,145
D'Andre Swift,Det,RB,0.0,0.0,0.0,148.0,621.0,4.0,48.0,38.0,307.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,146
Kenyan Drake,Ari,RB,0.0,0.0,0.0,200.0,932.0,8.0,71.0,54.0,404.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,147
Clyde Edwards-Helaire,KC,RB,0.0,0.0,0.0,220.0,987.0,9.0,67.0,52.0,433.0,4.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,148
James White,NE,RB,0.0,0.0,0.0,59.0,255.0,2.0,75.0,55.0,498.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,149
Melvin Gordon III,Den,RB,0.0,0.0,0.0,171.0,688.0,6.0,62.0,48.0,376.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,150
Devonta Freeman,NYG,RB,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,151
Darrell Henderson Jr.,LAR,RB,0.0,0.0,0.0,90.0,370.0,3.0,45.0,34.0,282.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,152
J.D. McKissic,Wsh,RB,0.0,0.0,0.0,28.0,121.0,1.0,36.0,28.0,221.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,153
Devin Singletary,Buf,RB,0.0,0.0,0.0,179.0,816.0,3.0,50.0,37.0,291.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,154
Jerick McKinnon,SF,RB,0.0,0.0,0.0,84.0,318.0,2.0,29.0,22.0,174.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,155
Nick Chubb,Cle,RB,0.0,0.0,0.0,278.0,1305.0,10.0,35.0,26.0,210.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,156
Austin Ekeler,LAC,RB,0.0,0.0,0.0,162.0,715.0,4.0,82.0,64.0,605.0,3.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,157
Justin Jackson,LAC,RB,0.0,0.0,0.0,109.0,465.0,3.0,30.0,23.0,171.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,158
Le'Veon Bell,KC,RB,0.0,0.0,0.0,195.0,774.0,4.0,70.0,56.0,414.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,159
Latavius Murray,NO,RB,0.0,0.0,0.0,132.0,544.0,5.0,32.0,25.0,188.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,160
Chase Edmonds,Ari,RB,0.0,0.0,0.0,79.0,341.0,3.0,21.0,16.0,127.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,161
Adrian Peterson,Det,RB,0.0,0.0,0.0,84.0,341.0,2.0,11.0,8.0,68.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,162
Jamaal Williams,GB,RB,0.0,0.0,0.0,80.0,329.0,2.0,37.0,30.0,224.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,163
Nyheim Hines,Ind,RB,0.0,0.0,0.0,52.0,217.0,2.0,63.0,48.0,393.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,164
Damien Harris,NE,RB,0.0,0.0,0.0,100.0,418.0,3.0,17.0,13.0,106.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,165
Leonard Fournette,TB,RB,0.0,0.0,0.0,152.0,627.0,5.0,36.0,27.0,193.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,166
Raheem Mostert,SF,RB,0.0,0.0,0.0,173.0,808.0,7.0,24.0,18.0,159.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,167
La'Mical Perine,NYJ,RB,0.0,0.0,0.0,44.0,180.0,1.0,20.0,15.0,116.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,168
Phillip Lindsay,Den,RB,0.0,0.0,0.0,156.0,697.0,4.0,42.0,32.0,216.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,169
Rex Burkhead,NE,RB,0.0,0.0,0.0,47.0,198.0,2.0,23.0,18.0,163.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,170
Malcolm Brown,LAR,RB,0.0,0.0,0.0,46.0,187.0,2.0,10.0,7.0,59.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,171
Mark Ingram II,Bal,RB,0.0,0.0,0.0,159.0,736.0,7.0,28.0,24.0,186.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,172
Joshua Kelley,LAC,RB,0.0,0.0,0.0,92.0,381.0,3.0,20.0,15.0,115.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,173
Frank Gore,NYJ,RB,0.0,0.0,0.0,88.0,334.0,2.0,17.0,13.0,100.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,174
Brian Hill,Atl,RB,0.0,0.0,0.0,61.0,255.0,1.0,21.0,16.0,131.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,175
J.K. Dobbins,Bal,RB,0.0,0.0,0.0,134.0,605.0,4.0,33.0,25.0,206.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,176
Alexander Mattison,Min,RB,0.0,0.0,0.0,117.0,487.0,3.0,20.0,15.0,130.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,177
Matt Breida,Mia,RB,0.0,0.0,0.0,125.0,571.0,2.0,46.0,35.0,277.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,178
Cordarrelle Patterson,Chi,"WR, RB",0.0,0.0,0.0,25.0,152.0,1.0,9.0,6.0,60.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,179
Jalen Richard,LV,RB,0.0,0.0,0.0,40.0,182.0,1.0,41.0,34.0,286.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,180
Duke Johnson,Hou,RB,0.0,0.0,0.0,94.0,432.0,2.0,58.0,44.0,385.0,2.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,181
Jeremy McNichols,Ten,RB,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,182
Benny Snell Jr.,Pit,RB,0.0,0.0,0.0,92.0,375.0,3.0,23.0,18.0,139.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,183
Zack Moss,Buf,RB,0.0,0.0,0.0,150.0,645.0,5.0,30.0,23.0,177.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,184
Chris Thompson,Jax,RB,0.0,0.0,0.0,58.0,252.0,1.0,63.0,47.0,402.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,185
Tony Pollard,Dal,RB,0.0,0.0,0.0,80.0,351.0,2.0,33.0,26.0,205.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,186
Giovani Bernard,Cin,RB,0.0,0.0,0.0,62.0,255.0,1.0,38.0,29.0,221.0,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,187
