Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Logan Ryan,NYG,"CB, S",,,,,,,,,,,90.0,2.0,2.0,1.0,2.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,2158
Justin Simmons,Den,S,,,,,,,,,,,89.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,2159
Marcus Williams,NO,S,,,,,,,,,,,65.0,0.0,1.0,1.0,3.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,2160
Tyrann Mathieu,KC,S,,,,,,,,,,,76.0,1.0,0.0,0.0,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,2161
Jimmy Smith,Bal,"CB, S",,,,,,,,,,,48.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,2162
Anthony Harris,Min,S,,,,,,,,,,,68.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,2163
Kareem Jackson,Den,S,,,,,,,,,,,82.0,0.0,1.0,1.0,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,2164
Jalen Mills,Phi,S,,,,,,,,,,,70.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,2165
Chuck Clark,Bal,S,,,,,,,,,,,85.0,3.0,2.0,1.0,2.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,2166
Tre Boston,Car,S,,,,,,,,,,,65.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,2167
Harrison Smith,Min,S,,,,,,,,,,,94.0,1.0,2.0,2.0,2.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,2168
Tracy Walker,Det,S,,,,,,,,,,,109.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,2169
Minkah Fitzpatrick,Pit,S,,,,,,,,,,,68.0,0.0,2.0,1.0,3.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,2170
Taylor Rapp,LAR,S,,,,,,,,,,,100.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,2171
Jessie Bates III,Cin,S,,,,,,,,,,,92.0,0.0,1.0,1.0,3.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2172
Jimmie Ward,SF,S,,,,,,,,,,,77.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2173
Adrian Amos,GB,S,,,,,,,,,,,81.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2174
Johnathan Abram,LV,S,,,,,,,,,,,76.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2175
John Johnson III,LAR,S,,,,,,,,,,,116.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2176
Tashaun Gipson Sr.,Chi,S,,,,,,,,,,,53.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2177
Kevin Byard,Ten,S,,,,,,,,,,,76.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2178
Ronnie Harrison Jr.,Cle,S,,,,,,,,,,,62.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,2179
Jamal Adams,Sea,S,,,,,,,,,,,82.0,2.0,2.0,1.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2180
Malcolm Jenkins,NO,S,,,,,,,,,,,84.0,2.0,2.0,2.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2181
Duron Harmon,Det,S,,,,,,,,,,,45.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2182
Eric Rowe,Mia,S,,,,,,,,,,,74.0,0.0,1.0,1.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2183
Devin McCourty,NE,S,,,,,,,,,,,67.0,0.0,2.0,1.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2184
Jabrill Peppers,NYG,S,,,,,,,,,,,100.0,1.0,2.0,2.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2185
Marcus Maye,NYJ,S,,,,,,,,,,,61.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,2186
