Name,Team,Pos,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Tar,Rec,RecYds,Rec Tds,Tackles,Sack,FF,FR,Int,IntTD,FumTD,Pass Def,Pnt,PntAvg,PntBlk,Pnt20,TB,Win,WinMarg,Pass Cmp,Pass Att,FGM_0_40,FGA_0_40,FGM_40_49,FGA_40_49,FGM_50,FGA_50,XPM,XPA,PlayerID
Davante Adams,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,140.0,92.0,1167.0,8.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,393
DeAndre Hopkins,Ari,WR,0.0,0.0,0.0,4.0,23.0,0.0,136.0,89.0,1100.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,394
Keenan Allen,LAC,WR,0.0,0.0,0.0,4.0,25.0,0.0,128.0,84.0,984.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,395
DK Metcalf,Sea,WR,0.0,0.0,0.0,2.0,11.0,0.0,103.0,63.0,911.0,8.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,396
Michael Thomas,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,153.0,114.0,1359.0,9.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,397
Tyler Lockett,Sea,WR,0.0,0.0,0.0,4.0,27.0,0.0,103.0,72.0,981.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,398
Julio Jones,Atl,WR,0.0,0.0,0.0,2.0,11.0,0.0,139.0,89.0,1241.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,399
Stefon Diggs,Buf,WR,0.0,0.0,0.0,4.0,26.0,0.0,100.0,63.0,951.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,400
Allen Robinson II,Chi,WR,0.0,0.0,0.0,2.0,11.0,0.0,139.0,85.0,1043.0,6.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,401
Calvin Ridley,Atl,WR,0.0,0.0,0.0,2.0,12.0,0.0,114.0,76.0,1010.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,402
Kenny Golladay,Det,WR,0.0,0.0,0.0,0.0,0.0,0.0,109.0,62.0,1041.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,403
A.J. Brown,Ten,WR,0.0,0.0,0.0,4.0,27.0,0.0,108.0,65.0,1023.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,404
Adam Thielen,Min,WR,0.0,0.0,0.0,4.0,25.0,0.0,121.0,78.0,1108.0,6.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,405
Jamison Crowder,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,118.0,77.0,842.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,406
Terry McLaurin,Wsh,WR,0.0,0.0,0.0,0.0,0.0,0.0,123.0,74.0,1060.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,407
Robby Anderson,Car,WR,0.0,0.0,0.0,2.0,10.0,0.0,103.0,57.0,835.0,5.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,408
Tyreek Hill,KC,WR,0.0,0.0,0.0,10.0,66.0,1.0,123.0,79.0,1114.0,9.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,409
Chris Godwin,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,126.0,84.0,1158.0,7.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,410
